Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
023915.668   662201888   778566605
023927.666   663748419   780384822
023939.672   665255854   782160344
023951.672   666769958   783940107
024003.668   668386615   785844991
024015.672   670106341   787866581
024027.666   671659697   789692634
024039.668   673200812   791505277
024051.672   674725164   793298634
024103.668   676276359   795120312
024115.672   677787284   796899675
024127.672   679297985   798674220
024139.668   680809759   800450356
024151.666   682326575   802233105
024203.672   683839657   804011147
024215.668   685350424   805786566
024227.672   686862016   807563009
024239.668   688375003   809340815
024251.672   689890970   811120827
024303.672   691406958   812901994
024315.672   693127549   814926063
024327.672   694860316   816961475
024339.668   696585118   818991601
024351.672   698318707   821026952
024403.668   699862222   822839914
024415.672   701372830   824614944
024427.672   702891572   826398287
024439.668   704408236   828182292
024451.672   705926611   829965745
024503.666   707439031   831743015
024515.668   708953746   833525265
024527.672   710462457   835296671
024539.668   711973094   837072855
024551.668   713485323   838852153
024603.672   714999295   840631663
024615.668   716513912   842412864
024627.668   718021709   844187639
024639.668   719533111   845964227
024651.668   721044075   847741526
024703.672   722553383   849516130
024715.672   724065226   851295489
024727.668   725577072   853073946
024739.672   727088561   854850683
024751.668   728601036   856628820
024803.668   730117818   858412500
024815.672   731635412   860196003
024827.672   733145079   861968842
024839.668   734657713   863747032
024851.672   736173342   865530584
024903.672   737689775   867311671
024915.668   739206826   869095813
024927.672   740715697   870870939
024939.668   742228118   872650717
024951.668   743741901   874429881
025003.668   745256825   876210900
025015.672   746766560   877986279
025027.668   748275715   879762123
025039.672   749787863   881539828
025051.672   751299520   883319096
025103.668   752813790   885099031
025115.672   754324369   886877026
025127.666   755837371   888657795
025139.668   757347040   890432896
025151.672   758859379   892212100
025203.668   760371325   893990618
025215.668   761884922   895770282
025227.672   763392214   897544801
025239.668   764899773   899317158
025251.668   766415493   901099960
025303.672   767936145   902886298
025315.668   769453847   904669858
025327.672   770966283   906451751
025339.668   772476759   908227701
025351.668   773993039   910012151
025403.672   775505853   911791531
025415.672   777015122   913565829
025427.668   778533777   915352655
025439.668   780050315   917133615
025451.672   781558388   918908966
025503.668   783072157   920687650
025515.672   784585010   922465811
025527.668   786099900   924245342
025539.668   787615326   926024730
025551.672   789128263   927804376
025603.668   790644451   929585956
025615.668   792159457   931364973
025627.672   793667694   933139128
025639.668   795184280   934922354
025651.668   796700683   936705935
025703.672   798216518   938489339
025715.672   799735492   940277663
025727.668   801249481   942057432
025739.668   802761954   943834337
025751.666   804279155   945617641
025803.668   805791508   947394744
025815.672   807305775   949173555
025827.668   808813008   950947316
025839.668   810323164   952721697
025851.672   811835974   954501489
025903.668   813349952   956283091
025915.668   814864263   958062777
025927.672   816375787   959840628
025939.668   817885403   961615879
025951.672   819402207   963398300
030003.668   820917209   965179876
030015.668   822434060   966961649
030027.672   823945277   968737938
030039.668   825456544   970513809
030051.668   826969057   972291875
030103.672   828476388   974065676
030115.672   829985913   975839602
030127.668   831496419   977616200
030139.672   833002515   979389298
030151.674   834518798   981171313
030203.668   836035039   982954795
030215.672   837553411   984738450
030227.668   839065245   986515814
030239.668   840572333   988286860
030251.668   842086114   990065476
