       Q,      F(Q)_RMC,  F(Q)_Expt
      8.7999998 ,       0.0475741 ,       0.0836437
      8.8199998 ,       0.0528126 ,       0.0804097
      8.8399998 ,       0.0590259 ,       0.0778033
      8.8599998 ,       0.0661151 ,       0.0759168
      8.8799998 ,       0.0739424 ,       0.0748016
      8.8999998 ,       0.0823343 ,       0.0744670
      8.9199998 ,       0.0910865 ,       0.0748805
      8.9399998 ,       0.0999686 ,       0.0759696
      8.9599998 ,       0.1087311 ,       0.0776242
      8.9799998 ,       0.1171120 ,       0.0797014
      8.9999998 ,       0.1248442 ,       0.0820302
      9.0199998 ,       0.1316631 ,       0.0844173
      9.0399998 ,       0.1373142 ,       0.0866542
      9.0599998 ,       0.1415610 ,       0.0885238
      9.0799998 ,       0.1441912 ,       0.0898082
      9.0999998 ,       0.1450239 ,       0.0902952
      9.1199998 ,       0.1439146 ,       0.0897864
      9.1399998 ,       0.1407602 ,       0.0881028
      9.1599998 ,       0.1355024 ,       0.0850916
      9.1799998 ,       0.1281299 ,       0.0806310
      9.1999998 ,       0.1186797 ,       0.0746345
      9.2199998 ,       0.1072366 ,       0.0670542
      9.2399998 ,       0.0939320 ,       0.0578827
      9.2599998 ,       0.0789408 ,       0.0471541
      9.2799998 ,       0.0624777 ,       0.0349434
      9.2999998 ,       0.0447921 ,       0.0213653
      9.3199998 ,       0.0261622 ,       0.0065708
      9.3399998 ,       0.0068882 ,      -0.0092556
      9.3599998 ,      -0.0127147 ,      -0.0259018
      9.3799998 ,      -0.0323242 ,      -0.0431324
      9.3999998 ,      -0.0516187 ,      -0.0606958
      9.4199998 ,      -0.0702849 ,      -0.0783300
      9.4399998 ,      -0.0880255 ,      -0.0957700
      9.4599998 ,      -0.1045660 ,      -0.1127543
      9.4799998 ,      -0.1196615 ,      -0.1290317
      9.4999998 ,      -0.1331020 ,      -0.1443675
      9.5199998 ,      -0.1447173 ,      -0.1585495
      9.5399998 ,      -0.1543804 ,      -0.1713930
      9.5599998 ,      -0.1620097 ,      -0.1827454
      9.5799998 ,      -0.1675708 ,      -0.1924887
      9.5999998 ,      -0.1710759 ,      -0.2005429
      9.6199998 ,      -0.1725825 ,      -0.2068661
      9.6399998 ,      -0.1721912 ,      -0.2114553
      9.6599998 ,      -0.1700420 ,      -0.2143452
      9.6799998 ,      -0.1663094 ,      -0.2156055
      9.6999998 ,      -0.1611972 ,      -0.2153385
      9.7199998 ,      -0.1549321 ,      -0.2136745
      9.7399998 ,      -0.1477573 ,      -0.2107671
      9.7599998 ,      -0.1399248 ,      -0.2067881
      9.7799998 ,      -0.1316885 ,      -0.2019208
      9.7999998 ,      -0.1232970 ,      -0.1963543
      9.8199998 ,      -0.1149867 ,      -0.1902772
      9.8399998 ,      -0.1069747 ,      -0.1838711
      9.8599998 ,      -0.0994536 ,      -0.1773049
      9.8799998 ,      -0.0925861 ,      -0.1707292
      9.8999998 ,      -0.0865004 ,      -0.1642714
      9.9199998 ,      -0.0812875 ,      -0.1580318
      9.9399998 ,      -0.0769988 ,      -0.1520802
      9.9599998 ,      -0.0736450 ,      -0.1464537
      9.9799998 ,      -0.0711967 ,      -0.1411560
      9.9999998 ,      -0.0695855 ,      -0.1361566
     10.0199998 ,      -0.0687065 ,      -0.1313928
     10.0399998 ,      -0.0684222 ,      -0.1267710
     10.0599998 ,      -0.0685663 ,      -0.1221706
     10.0799998 ,      -0.0689497 ,      -0.1174475
     10.0999998 ,      -0.0693662 ,      -0.1124397
     10.1199998 ,      -0.0695990 ,      -0.1069723
     10.1399998 ,      -0.0694275 ,      -0.1008644
     10.1599998 ,      -0.0686341 ,      -0.0939347
     10.1799998 ,      -0.0670117 ,      -0.0860092
     10.1999998 ,      -0.0643694 ,      -0.0769269
     10.2199998 ,      -0.0605395 ,      -0.0665472
     10.2399998 ,      -0.0553831 ,      -0.0547549
     10.2599998 ,      -0.0487943 ,      -0.0414666
     10.2799998 ,      -0.0407050 ,      -0.0266349
     10.2999998 ,      -0.0310874 ,      -0.0102520
     10.3199998 ,      -0.0199564 ,       0.0076468
     10.3399998 ,      -0.0073700 ,       0.0269823
     10.3599998 ,       0.0065708 ,       0.0476300
     10.3799998 ,       0.0217235 ,       0.0694218
     10.3999998 ,       0.0379066 ,       0.0921470
     10.4199998 ,       0.0549034 ,       0.1155560
     10.4399998 ,       0.0724661 ,       0.1393642
     10.4599998 ,       0.0903218 ,       0.1632575
     10.4799998 ,       0.1081781 ,       0.1868982
     10.4999998 ,       0.1257296 ,       0.2099320
     10.5199998 ,       0.1426656 ,       0.2319957
     10.5399998 ,       0.1586762 ,       0.2527247
     10.5599998 ,       0.1734607 ,       0.2717614
     10.5799998 ,       0.1867333 ,       0.2887633
     10.5999998 ,       0.1982310 ,       0.3034108
     10.6199998 ,       0.2077188 ,       0.3154149
     10.6399998 ,       0.2149960 ,       0.3245241
     10.6599998 ,       0.2199003 ,       0.3305307
     10.6799998 ,       0.2223118 ,       0.3332758
     10.6999998 ,       0.2221562 ,       0.3326540
     10.7199998 ,       0.2194059 ,       0.3286161
     10.7399998 ,       0.2140815 ,       0.3211712
     10.7599998 ,       0.2062507 ,       0.3103872
     10.7799998 ,       0.1960271 ,       0.2963898
     10.7999998 ,       0.1835678 ,       0.2793611
     10.8199998 ,       0.1690698 ,       0.2595356
     10.8399998 ,       0.1527657 ,       0.2371963
     10.8599998 ,       0.1349185 ,       0.2126689
     10.8799998 ,       0.1158162 ,       0.1863155
     10.8999998 ,       0.0957651 ,       0.1585274
     10.9199998 ,       0.0750840 ,       0.1297172
     10.9399998 ,       0.0540968 ,       0.1003107
     10.9599998 ,       0.0331264 ,       0.0707382
     10.9799998 ,       0.0124877 ,       0.0414263
     10.9999998 ,      -0.0075181 ,       0.0127896
     11.0199998 ,      -0.0266098 ,      -0.0147775
     11.0399998 ,      -0.0445309 ,      -0.0409081
     11.0599998 ,      -0.0610546 ,      -0.0652693
     11.0799998 ,      -0.0759869 ,      -0.0875684
     11.0999998 ,      -0.0891702 ,      -0.1075573
     11.1199998 ,      -0.1004850 ,      -0.1250368
     11.1399998 ,      -0.1098506 ,      -0.1398587
     11.1599998 ,      -0.1172259 ,      -0.1519276
     11.1799998 ,      -0.1226085 ,      -0.1612012
     11.1999998 ,      -0.1260329 ,      -0.1676890
     11.2199998 ,      -0.1275683 ,      -0.1714508
     11.2399998 ,      -0.1273158 ,      -0.1725928
     11.2599998 ,      -0.1254042 ,      -0.1712644
     11.2799998 ,      -0.1219865 ,      -0.1676527
     11.2999998 ,      -0.1172349 ,      -0.1619770
     11.3199998 ,      -0.1113364 ,      -0.1544829
     11.3399998 ,      -0.1044876 ,      -0.1454355
     11.3599998 ,      -0.0968901 ,      -0.1351128
     11.3799998 ,      -0.0887455 ,      -0.1237992
     11.3999998 ,      -0.0802514 ,      -0.1117782
