 Q (1/Ang),S-S  ,S-F  ,F-F  
   1.17000 ,    -0.512353814212974E+01 ,     0.108420362850870E+01 ,    -0.756379100574973E+00 , 
   1.19000 ,    -0.398601764105802E+01 ,     0.157310880024516E+01 ,    -0.588157935470008E+00 , 
   1.21000 ,    -0.278157391940891E+01 ,     0.206798229623002E+01 ,    -0.421092267616668E+00 , 
   1.23000 ,    -0.152487935736839E+01 ,     0.256131647296634E+01 ,    -0.257613090323571E+00 , 
   1.25000 ,    -0.231962462569195E+00 ,     0.304563572746180E+01 ,    -0.100031167789029E+00 , 
   1.27000 ,     0.108003380522179E+01 ,     0.351362983805771E+01 ,     0.494990724436811E-01 , 
   1.29000 ,     0.239305599668792E+01 ,     0.395826248621453E+01 ,     0.189004582750522E+00 , 
   1.31000 ,     0.368869566683481E+01 ,     0.437298346966454E+01 ,     0.316748053266763E+00 , 
   1.33000 ,     0.494810506881006E+01 ,     0.475171129158395E+01 ,     0.431207784402067E+00 , 
   1.35000 ,     0.615258469731871E+01 ,     0.508903006942660E+01 ,     0.531122784364043E+00 , 
   1.37000 ,     0.728384841195272E+01 ,     0.538026102089997E+01 ,     0.615496772517525E+00 , 
   1.39000 ,     0.832435511146592E+01 ,     0.562154300201428E+01 ,     0.683604132786644E+00 , 
   1.41000 ,     0.925763476735291E+01 ,     0.580989769773411E+01 ,     0.734990730546050E+00 , 
   1.43000 ,     0.100686023405221E+02 ,     0.594327821287288E+01 ,     0.769469846453267E+00 , 
   1.45000 ,     0.107438531754156E+02 ,     0.602060011133757E+01 ,     0.787113568550371E+00 , 
   1.47000 ,     0.112719336739120E+02 ,     0.604175427374736E+01 ,     0.788240059762977E+00 , 
   1.49000 ,     0.116435813962056E+02 ,     0.600760128123247E+01 ,     0.773397180449928E+00 , 
   1.51000 ,     0.118519292139071E+02 ,     0.591994738084931E+01 ,     0.743342994083116E+00 , 
   1.53000 ,     0.118926687450464E+02 ,     0.578150243916115E+01 ,     0.699023718014703E+00 , 
   1.55000 ,     0.117641690216084E+02 ,     0.559582063853346E+01 ,     0.641549700546424E+00 , 
   1.57000 ,     0.114675471648854E+02 ,     0.536722500887048E+01 ,     0.572170010441428E+00 , 
   1.59000 ,     0.110066887567915E+02 ,     0.510071720917617E+01 ,     0.492246216243865E+00 , 
   1.61000 ,     0.103882165784142E+02 ,     0.480187427190499E+01 ,     0.403225911237611E+00 , 
   1.63000 ,     0.962140742050394E+01 ,     0.447673429230570E+01 ,     0.306616506800537E+00 , 
   1.65000 ,     0.871805773265824E+01 ,     0.413167327899264E+01 ,     0.203959773746340E+00 , 
   1.67000 ,     0.769229994584463E+01 ,     0.377327557549948E+01 ,     0.968075596300750E-01 , 
   1.69000 ,     0.656037235309139E+01 ,     0.340820041093984E+01 ,    -0.133009482986164E-01 , 
   1.71000 ,     0.534034644202829E+01 ,     0.304304723727977E+01 ,    -0.124860107917918E+00 , 
   1.73000 ,     0.405181651722022E+01 ,     0.268422255817072E+01 ,    -0.236416614284992E+00 , 
   1.75000 ,     0.271555730763463E+01 ,     0.233781094784629E+01 ,    -0.346586025443858E+00 , 
   1.77000 ,     0.135315600434165E+01 ,     0.200945289735582E+01 ,    -0.454066914829724E+00 , 
   1.79000 ,    -0.133742030715619E-01 ,     0.170423200961652E+01 ,    -0.557652606959916E+00 , 
   1.81000 ,    -0.136199154210346E+01 ,     0.142657389577656E+01 ,    -0.656240512946309E+00 , 
   1.83000 ,    -0.267102615076171E+01 ,     0.118015890571409E+01 ,    -0.748839136845880E+00 , 
   1.85000 ,    -0.391957561547905E+01 ,     0.967850558795595E+00 ,    -0.834572871844674E+00 , 
   1.87000 ,    -0.508788753315672E+01 ,     0.791641232018244E+00 ,    -0.912684745843820E+00 , 
   1.89000 ,    -0.615772126448243E+01 ,     0.652616317109364E+00 ,    -0.982537308536422E+00 , 
   1.91000 ,    -0.711268140619414E+01 ,     0.550937682718406E+00 ,    -0.104361187614272E+01 , 
   1.93000 ,    -0.793851603794112E+01 ,     0.485846879972318E+00 ,    -0.109550636548094E+01 , 
   1.95000 ,    -0.862337348530722E+01 ,     0.455688117486724E+00 ,    -0.113793195611866E+01 , 
   1.97000 ,    -0.915801217108018E+01 ,     0.457950614036794E+00 ,    -0.117070881833924E+01 , 
   1.99000 ,    -0.953595908508567E+01 ,     0.489329522402434E+00 ,    -0.119376113615468E+01 , 
   2.01000 ,    -0.975361346875670E+01 ,     0.545804215445211E+00 ,    -0.120711163937764E+01 , 
   2.03000 ,    -0.981029346118546E+01 ,     0.622732344192264E+00 ,    -0.121087583777369E+01 , 
   2.05000 ,    -0.970822466353225E+01 ,     0.714957726254085E+00 ,    -0.120525612462009E+01 , 
   2.07000 ,    -0.945247082144409E+01 ,     0.816929809451404E+00 ,    -0.119053588776658E+01 , 
   2.09000 ,    -0.905080807256894E+01 ,     0.922832187543123E+00 ,    -0.116707373474576E+01 , 
   2.11000 ,    -0.851354542988576E+01 ,     0.102671742902533E+01 ,    -0.113529790585735E+01 , 
   2.13000 ,    -0.785329534318576E+01 ,     0.112264532164932E+01 ,    -0.109570091666923E+01 , 
   2.15000 ,    -0.708469927331614E+01 ,     0.120482153892198E+01 ,    -0.104883444020637E+01 , 
   2.17000 ,    -0.622411420099066E+01 ,     0.126773370340957E+01 ,    -0.995304410312052E+00 , 
   2.19000 ,    -0.528926685054567E+01 ,     0.130628185674094E+01 ,    -0.935766302224867E+00 , 
   2.21000 ,    -0.429888311825034E+01 ,     0.131590044788089E+01 ,    -0.870920525138033E+00 , 
   2.23000 ,    -0.327230073726841E+01 ,     0.129266911806679E+01 ,    -0.801507845048123E+00 , 
   2.25000 ,    -0.222907357352176E+01 ,     0.123340978980290E+01 ,    -0.728304745036570E+00 , 
   2.27000 ,    -0.118857611908406E+01 ,     0.113576785402650E+01 ,    -0.652118624547281E+00 , 
   2.29000 ,    -0.169616727335240E+00 ,     0.998275588138769E+00 ,    -0.573782739326080E+00 , 
   2.31000 ,     0.809932083468089E+00 ,     0.820396320874214E+00 ,    -0.494150789379624E+00 , 
   2.33000 ,     0.173343382005743E+01 ,     0.602560152268525E+00 ,    -0.414095072407509E+00 , 
   2.35000 ,     0.258598238484299E+01 ,     0.346121255042351E+00 ,    -0.334484098010608E+00 , 
   2.37000 ,     0.335446963845241E+01 ,     0.533741712165724E-01 ,    -0.256192048678549E+00 , 
   2.39000 ,     0.402770383058755E+01 ,    -0.272405928164743E+00 ,    -0.180106476202277E+00 , 
   2.41000 ,     0.459700442467859E+01 ,    -0.627188396767624E+00 ,    -0.107077179937621E+00 , 
   2.43000 ,     0.505601207942197E+01 ,    -0.100615102926171E+01 ,    -0.379392062363027E-01 , 
   2.45000 ,     0.540084222204666E+01 ,    -0.140380235247570E+01 ,     0.265040783610911E-01 , 
   2.47000 ,     0.563010153712502E+01 ,    -0.181409145862488E+01 ,     0.854903824296639E-01 , 
   2.49000 ,     0.574484894907554E+01 ,    -0.223053049207383E+01 ,     0.138308144881414E+00 , 
   2.51000 ,     0.574850271037771E+01 ,    -0.264632710660309E+01 ,     0.184306306718509E+00 , 
   2.53000 ,     0.564669644888118E+01 ,    -0.305452398073443E+01 ,     0.222904033532943E+00 , 
   2.55000 ,     0.544708819671667E+01 ,    -0.344814231592479E+01 ,     0.253600204409397E+00 , 
   2.57000 ,     0.515912749201739E+01 ,    -0.382032615057864E+01 ,     0.275982468868829E+00 , 
   2.59000 ,     0.479378658714607E+01 ,    -0.416448430439005E+01 ,     0.289735664575764E+00 , 
   2.61000 ,     0.436326259064408E+01 ,    -0.447442682327643E+01 ,     0.294649385142878E+00 , 
   2.63000 ,     0.388065799555351E+01 ,    -0.474449292407248E+01 ,     0.290624489769077E+00 , 
   2.65000 ,     0.335964748910042E+01 ,    -0.496966763738373E+01 ,     0.277678354744642E+00 , 
   2.67000 ,     0.281413918747053E+01 ,    -0.514568461197941E+01 ,     0.255948680990215E+00 , 
   2.69000 ,     0.225793848884262E+01 ,    -0.526911286861489E+01 ,     0.225695691543235E+00 , 
   2.71000 ,     0.170442258720064E+01 ,    -0.533742566749008E+01 ,     0.187302577889673E+00 , 
   2.73000 ,     0.116623334293838E+01 ,    -0.534905007262501E+01 ,     0.141274083740659E+00 , 
   2.75000 ,     0.654995672996784E+00 ,    -0.530339624811694E+01 ,     0.882331486221500E-01 , 
   2.77000 ,     0.181067917007566E+00 ,    -0.520086599452617E+01 ,     0.289155707196844E-01 , 
   2.79000 ,    -0.246650120742542E+00 ,    -0.504284977054783E+01 ,    -0.358339537857755E-01 , 
   2.81000 ,    -0.620970301897513E+00 ,    -0.483165973620317E+01 ,    -0.105084324510367E+00 , 
   2.83000 ,    -0.936411503900016E+00 ,    -0.457052545511591E+01 ,    -0.177809661057677E+00 , 
   2.85000 ,    -0.118936418516847E+01 ,    -0.426349510683201E+01 ,    -0.252914891451699E+00 , 
   2.87000 ,    -0.137809492701364E+01 ,    -0.391535598054794E+01 ,    -0.329247075760378E+00 , 
   2.89000 ,    -0.150272466738664E+01 ,    -0.353153440575197E+01 ,    -0.405611213704072E+00 , 
   2.91000 ,    -0.156515941421972E+01 ,    -0.311798410275622E+01 ,    -0.480787193011074E+00 , 
   2.93000 ,    -0.156897602620587E+01 ,    -0.268106564877221E+01 ,    -0.553547614485727E+00 , 
   2.95000 ,    -0.151926676512087E+01 ,    -0.222741992868274E+01 ,    -0.622676204634787E+00 , 
   2.97000 ,    -0.142244733716063E+01 ,    -0.176383854052892E+01 ,    -0.686986507072359E+00 , 
   2.99000 ,    -0.128603402578755E+01 ,    -0.129713415172498E+01 ,    -0.745340530301408E+00 , 
   3.01000 ,    -0.111839625313345E+01 ,    -0.834013752850363E+00 ,    -0.796667022226542E+00 , 
   3.03000 ,    -0.928491472889855E+00 ,    -0.380957633217645E+00 ,    -0.839979041120930E+00 , 
   3.05000 ,    -0.725589681004899E+00 ,     0.558932901278217E-01 ,    -0.874390498836979E+00 , 
   3.07000 ,    -0.518995022326843E+00 ,     0.470839415324876E+00 ,    -0.899131364756370E+00 , 
   3.09000 ,    -0.317771967485251E+00 ,     0.858711610219252E+00 ,    -0.913561238115642E+00 , 
   3.11000 ,    -0.130483335771071E+00 ,     0.121494588122157E+01 ,    -0.917181021576731E+00 , 
   3.13000 ,     0.350529473897089E-01 ,     0.153564226104883E+01 ,    -0.909642459765787E+00 , 
   3.15000 ,     0.171982034633677E+00 ,     0.181760704955515E+01 ,    -0.890755342387849E+00 , 
   3.17000 ,     0.274599685790246E+00 ,     0.205837798768221E+01 ,    -0.860492211745697E+00 , 
   3.19000 ,     0.338504414583568E+00 ,     0.225623239447077E+01 ,    -0.818990458265045E+00 , 
   3.21000 ,     0.360710550366512E+00 ,     0.241018533085801E+01 ,    -0.766548845780436E+00 , 
   3.23000 ,     0.339717165478463E+00 ,     0.251993692669433E+01 ,    -0.703635265313913E+00 , 
   3.25000 ,     0.275542800888585E+00 ,     0.258588009650958E+01 ,    -0.630865002292260E+00 , 
   3.27000 ,     0.169703121980338E+00 ,     0.260901627245032E+01 ,    -0.549002133306044E+00 , 
   3.29000 ,     0.251546217557444E-01 ,     0.259090213709499E+01 ,    -0.458946133326234E+00 , 
   3.31000 ,    -0.153804642478450E+00 ,     0.253357890010685E+01 ,    -0.361718529852677E+00 , 
   3.33000 ,    -0.361672024966096E+00 ,     0.243949526098743E+01 ,    -0.258447465811961E+00 , 
   3.35000 ,    -0.591910896003289E+00 ,     0.231142650376357E+01 ,    -0.150350424165518E+00 , 
   3.37000 ,    -0.837149904669503E+00 ,     0.215239220129435E+01 ,    -0.387154021685536E-01 , 
   3.39000 ,    -0.108940518093896E+01 ,     0.196557496642440E+01 ,     0.751191469128979E-01 , 
   3.41000 ,    -0.134031916745662E+01 ,     0.175424257612007E+01 ,     0.189785262636655E+00 , 
   3.43000 ,    -0.158140935319854E+01 ,     0.152167561670034E+01 ,     0.303906956742961E+00 , 
   3.45000 ,    -0.180431994656230E+01 ,     0.127110255892335E+01 ,     0.416121851466198E+00 , 
   3.47000 ,    -0.200106947981711E+01 ,     0.100564387838281E+01 ,     0.525102600407924E+00 , 
   3.49000 ,    -0.216428748088211E+01 ,     0.728266498337416E+00 ,     0.629577717587357E+00 , 
   3.51000 ,    -0.228743367761276E+01 ,     0.441749458982734E+00 ,     0.728351449104201E+00 , 
   3.53000 ,    -0.236499370471981E+01 ,     0.148661320547531E+00 ,     0.820322337339366E+00 , 
   3.55000 ,    -0.239264594998768E+01 ,    -0.148650600569770E+00 ,     0.904500149523271E+00 , 
   3.57000 ,    -0.236739498614867E+01 ,    -0.448059470771165E+00 ,     0.980020870447593E+00 , 
   3.59000 ,    -0.228766796534204E+01 ,    -0.747647355683674E+00 ,     0.104615949260538E+01 , 
   3.61000 ,    -0.215337137906684E+01 ,    -0.104568388541344E+01 ,     0.110234037554074E+01 , 
   3.63000 ,    -0.196590667992406E+01 ,    -0.134059657253452E+01 ,     0.114814498900617E+01 , 
   3.65000 ,    -0.172814439247094E+01 ,    -0.163093447245499E+01 ,     0.118331690092200E+01 , 
   3.67000 ,    -0.144435747844803E+01 ,    -0.191532710578171E+01 ,     0.120776392029968E+01 , 
   3.69000 ,    -0.112011583562482E+01 ,    -0.219244072916218E+01 ,     0.122155735636989E+01 , 
   3.71000 ,    -0.762144869379556E+00 ,    -0.246093413928551E+01 ,     0.122492840724968E+01 , 
   3.73000 ,    -0.378152053235933E+00 ,    -0.271941622074539E+01 ,     0.121826174366906E+01 , 
   3.75000 ,     0.233737374378343E-01 ,    -0.296640740091303E+01 ,     0.120208640462574E+01 , 
   3.77000 ,     0.433384598862171E+00 ,    -0.320030705462273E+01 ,     0.117706417142381E+01 , 
   3.79000 ,     0.842491299856705E+00 ,    -0.341935816027210E+01 ,     0.114397747521159E+01 , 
   3.81000 ,     0.124129220184796E+01 ,    -0.362167499919663E+01 ,     0.110370637992770E+01 , 
   3.83000 ,     0.162049919648224E+01 ,    -0.380517258690822E+01 ,     0.105722083446635E+01 , 
   3.85000 ,     0.197126504377062E+01 ,    -0.396761823546044E+01 ,     0.100555524286915E+01 , 
   3.87000 ,     0.228539658312352E+01 ,    -0.410663925116083E+01 ,     0.949789688883840E+00 , 
   3.89000 ,     0.255557099564619E+01 ,    -0.421975420543426E+01 ,     0.891029012552028E+00 , 
   3.91000 ,     0.277552869281966E+01 ,    -0.430441609936320E+01 ,     0.830381593273945E+00 , 
   3.93000 ,     0.294023761253235E+01 ,    -0.435806664196585E+01 ,     0.768938241860720E+00 , 
   3.95000 ,     0.304602449348243E+01 ,    -0.437820043578268E+01 ,     0.707751604419699E+00 , 
   3.97000 ,     0.309066960868776E+01 ,    -0.436243746347674E+01 ,     0.647816473690230E+00 , 
   3.99000 ,     0.307346244318254E+01 ,    -0.430860190873763E+01 ,     0.590051388670839E+00 , 
   4.01000 ,     0.299521687235800E+01 ,    -0.421480503569247E+01 ,     0.535281881209259E+00 , 
   4.03000 ,     0.285823724633278E+01 ,    -0.407952178325106E+01 ,     0.484223249470887E+00 , 
   4.05000 ,     0.266628309001708E+01 ,    -0.390170315360935E+01 ,     0.437478076989605E+00 , 
   4.07000 ,     0.242442384039789E+01 ,    -0.368081500154296E+01 ,     0.395510884706520E+00 , 
   4.09000 ,     0.213892432705681E+01 ,    -0.341693545189486E+01 ,     0.358651306130179E+00 , 
   4.11000 ,     0.181706882722586E+01 ,    -0.311081217867623E+01 ,     0.327087052503011E+00 , 
   4.13000 ,     0.146696386051626E+01 ,    -0.276391329219671E+01 ,     0.300862502184312E+00 , 
   4.15000 ,     0.109731976059317E+01 ,    -0.237846376743643E+01 ,     0.279880300721814E+00 , 
   4.17000 ,     0.717217036231626E+00 ,    -0.195746537913531E+01 ,     0.263905949163518E+00 , 
   4.19000 ,     0.335863937637319E+00 ,    -0.150469849640921E+01 ,     0.252575297656377E+00 , 
   4.21000 ,    -0.376481293205627E-01 ,    -0.102470453870899E+01 ,     0.245404801611388E+00 , 
   4.23000 ,    -0.394584654242739E+00 ,    -0.522748394273857E+00 ,     0.241804339890947E+00 , 
   4.25000 ,    -0.726796991577531E+00 ,    -0.476063888192966E-02 ,     0.241092339791979E+00 , 
   4.27000 ,    -0.102693402034368E+01 ,     0.522740047689679E+00 ,     0.242512903226347E+00 , 
   4.29000 ,    -0.128861872438047E+01 ,     0.105271686196081E+01 ,     0.245254427461728E+00 , 
   4.31000 ,    -0.150665908524724E+01 ,     0.157783480891313E+01 ,     0.248470265738249E+00 , 
   4.33000 ,    -0.167709720639404E+01 ,     0.209043013171914E+01 ,     0.251298720367171E+00 , 
   4.35000 ,    -0.179735610354709E+01 ,     0.258275829797918E+01 ,     0.252884851867821E+00 , 
   4.37000 ,    -0.186627954211351E+01 ,     0.304711890000318E+01 ,     0.252401587836227E+00 , 
   4.39000 ,    -0.188414636979877E+01 ,     0.347601339305665E+01 ,     0.249070422530191E+00 , 
   4.41000 ,    -0.185264499956702E+01 ,     0.386230551459829E+01 ,     0.242181139424492E+00 , 
   4.43000 ,    -0.177480889376749E+01 ,     0.419938052320143E+01 ,     0.231110114753218E+00 , 
   4.45000 ,    -0.165491497660992E+01 ,     0.448129929160830E+01 ,     0.215336784512768E+00 , 
   4.47000 ,    -0.149834792397560E+01 ,     0.470294328719327E+01 ,     0.194457891249775E+00 , 
   4.49000 ,    -0.131143421869851E+01 ,     0.486014657746085E+01 ,     0.168199169693460E+00 , 
   4.51000 ,    -0.110125069013637E+01 ,     0.494981120769202E+01 ,     0.136424181197450E+00 , 
   4.53000 ,    -0.875412956265839E+00 ,     0.497000260922033E+01 ,     0.991400651182602E-01 , 
   4.55000 ,    -0.641849735503595E+00 ,     0.492002210396866E+01 ,     0.565000395796752E-01 , 
   4.57000 ,    -0.408569378945887E+00 ,     0.480045406500772E+01 ,     0.880255329082127E-02 , 
   4.59000 ,    -0.183425181274857E+00 ,     0.461318586268323E+01 ,    -0.435129372052393E-01 , 
   4.61000 ,     0.261139454141641E-01 ,     0.436139935773803E+01 ,    -0.998735157991144E-01 , 
   4.63000 ,     0.213181006758921E+00 ,     0.404953338134827E+01 ,    -0.159583556509562E+00 , 
   4.65000 ,     0.371710576044054E+00 ,     0.368321735010523E+01 ,    -0.221838476781330E+00 , 
   4.67000 ,     0.496614967020327E+00 ,     0.326917688362707E+01 ,    -0.285741225805945E+00 , 
   4.69000 ,     0.583931994621558E+00 ,     0.281511300499020E+01 ,    -0.350321173161266E+00 , 
   4.71000 ,     0.630940181746958E+00 ,     0.232955719073097E+01 ,    -0.414555003168524E+00 , 
   4.73000 ,     0.636238177840917E+00 ,     0.182170517937458E+01 ,    -0.477389168191293E+00 , 
   4.75000 ,     0.599786151878353E+00 ,     0.130123302778893E+01 ,    -0.537763411007553E+00 , 
   4.77000 ,     0.522907981027445E+00 ,     0.778099406994186E+00 ,    -0.594634833561692E+00 , 
   4.79000 ,     0.408254147495904E+00 ,     0.262338539077017E+00 ,    -0.647001967828985E+00 , 
   4.81000 ,     0.259726349770506E+00 ,    -0.236151517520983E+00 ,    -0.693928294950418E+00 , 
   4.83000 ,     0.823659004744358E-01 ,    -0.707820335336814E+00 ,    -0.734564661710031E+00 , 
   4.85000 ,    -0.117791007992979E+00 ,    -0.114367136761670E+01 ,    -0.768170059045064E+00 , 
   4.87000 ,    -0.333887164803691E+00 ,    -0.153545806304837E+01 ,    -0.794130255523922E+00 , 
   4.89000 ,    -0.558442510072394E+00 ,    -0.187586510531435E+01 ,    -0.811973819226814E+00 , 
   4.91000 ,    -0.783571112294151E+00 ,    -0.215867033595382E+01 ,    -0.821385113550638E+00 , 
   4.93000 ,    -0.100121092438518E+01 ,    -0.237888333300464E+01 ,    -0.822213915178032E+00 , 
   4.95000 ,    -0.120335992541635E+01 ,    -0.253285713796541E+01 ,    -0.814481374571876E+00 , 
   4.97000 ,    -0.138231206774001E+01 ,    -0.261837023767044E+01 ,    -0.798382119401581E+00 , 
   4.99000 ,    -0.153088644303083E+01 ,    -0.263467660102245E+01 ,    -0.774282387574804E+00 , 
   5.01000 ,    -0.164264325595607E+01 ,    -0.258252232627746E+01 ,    -0.742714167148309E+00 , 
   5.03000 ,    -0.171208054594222E+01 ,    -0.246412825402928E+01 ,    -0.704365413288862E+00 , 
   5.05000 ,    -0.173480611614105E+01 ,    -0.228313872418736E+01 ,    -0.660066505511282E+00 , 
   5.07000 ,    -0.170767979996952E+01 ,    -0.204453748127670E+01 ,    -0.610773199444584E+00 , 
   5.09000 ,    -0.162892200106690E+01 ,    -0.175453254024903E+01 ,    -0.557546414176268E+00 , 
   5.11000 ,    -0.149818536006850E+01 ,    -0.142041259391836E+01 ,    -0.501529276657086E+00 , 
   5.13000 ,    -0.131658740606243E+01 ,    -0.105037825320489E+01 ,    -0.443921916676702E+00 , 
   5.15000 ,    -0.108670311442892E+01 ,    -0.653352044052569E+00 ,    -0.385954567662365E+00 , 
   5.17000 ,    -0.812517386807071E+00 ,    -0.238771623516543E+00 ,    -0.328859578331494E+00 , 
   5.19000 ,    -0.499338563228013E+00 ,     0.183628892236202E+00 ,    -0.273842976618090E+00 , 
   5.21000 ,    -0.153675141053619E+00 ,     0.604044285019093E+00 ,    -0.222056249157086E+00 , 
   5.23000 ,     0.216921118841012E+00 ,     0.101282489213719E+01 ,    -0.174569006138271E+00 , 
   5.25000 ,     0.604041598669785E+00 ,     0.140069913181967E+01 ,    -0.132343192075479E+00 , 
   5.27000 ,     0.998631834961433E+00 ,     0.175898655195762E+01 ,    -0.962094778873064E-01 , 
   5.29000 ,     0.139122155139873E+01 ,     0.207979627945539E+01 ,    -0.668464289480846E-01 , 
   5.31000 ,     0.177216760707862E+01 ,     0.235620609833299E+01 ,    -0.447629881167683E-01 , 
   5.33000 ,     0.213188609604546E+01 ,     0.258240788149612E+01 ,    -0.302852739970459E-01 , 
   5.35000 ,     0.246117250115906E+01 ,     0.275387833090300E+01 ,    -0.235445104663198E-01 , 
   5.37000 ,     0.275133543636704E+01 ,     0.286740834437285E+01 ,    -0.244762865475421E-01 , 
   5.39000 ,     0.299449926334724E+01 ,     0.292121591869296E+01 ,    -0.328168325286085E-01 , 
   5.41000 ,     0.318379512632350E+01 ,     0.291496416392626E+01 ,    -0.481082481260936E-01 , 
   5.43000 ,     0.331354555952991E+01 ,     0.284975706926817E+01 ,    -0.697075344298339E-01 , 
   5.45000 ,     0.337941914289584E+01 ,     0.272810063668912E+01 ,    -0.968002064139869E-01 , 
   5.47000 ,     0.337855107869621E+01 ,     0.255383046465767E+01 ,    -0.128418235134207E+00 , 
   5.49000 ,     0.330962647351028E+01 ,     0.233200769339713E+01 ,    -0.163461961131602E+00 , 
   5.51000 ,     0.317292410672157E+01 ,     0.206878600304943E+01 ,    -0.200725519723028E+00 , 
   5.53000 ,     0.297031952170611E+01 ,     0.177125306684272E+01 ,    -0.238925227323109E+00 , 
   5.55000 ,     0.270524736001619E+01 ,     0.144725048471352E+01 ,    -0.276730298082586E+00 , 
   5.57000 ,     0.238262394276055E+01 ,     0.110517674292469E+01 ,    -0.312795194064709E+00 , 
   5.59000 ,     0.200873215758695E+01 ,     0.753778148840076E+00 ,    -0.345792861741213E+00 , 
   5.61000 ,     0.159107170565524E+01 ,     0.401932967004467E+00 ,    -0.374448074247725E+00 , 
   5.63000 ,     0.113817867389095E+01 ,     0.584341261765520E-01 ,    -0.397570083679000E+00 , 
   5.65000 ,     0.659419199176933E+00 ,    -0.268224126392795E+00 ,    -0.414083791387066E+00 , 
   5.67000 ,     0.164762661592282E+00 ,    -0.570050377142960E+00 ,    -0.423058666980626E+00 , 
   5.69000 ,    -0.335459634392991E+00 ,    -0.839746021420322E+00 ,    -0.423734688263491E+00 , 
   5.71000 ,    -0.830803972319217E+00 ,    -0.107087646679634E+01 ,    -0.415544633981466E+00 , 
   5.73000 ,    -0.131096542313507E+01 ,    -0.125801947316799E+01 ,    -0.398132137809038E+00 , 
   5.75000 ,    -0.176602421263105E+01 ,    -0.139688714356184E+01 ,    -0.371365003906283E+00 , 
   5.77000 ,    -0.218668090095852E+01 ,    -0.148441877031950E+01 ,    -0.335343389623023E+00 , 
   5.79000 ,    -0.256447435144485E+01 ,    -0.151884249930795E+01 ,    -0.290402577176924E+00 , 
   5.81000 ,    -0.289197695937665E+01 ,    -0.149970457997822E+01 ,    -0.237110180739035E+00 , 
   5.83000 ,    -0.316296225097641E+01 ,    -0.142786580032007E+01 ,    -0.176257765437251E+00 , 
   5.85000 ,    -0.337254073030625E+01 ,    -0.130546554127197E+01 ,    -0.108846987274286E+00 , 
   5.87000 ,    -0.351726072572140E+01 ,    -0.113585470316057E+01 ,    -0.360704946915838E-01 , 
   5.89000 ,    -0.359517194338323E+01 ,    -0.923499536047382E+00 ,     0.407120396917878E-01 , 
   5.91000 ,    -0.360585044670256E+01 ,    -0.673859126357383E+00 ,     0.120002267906582E+00 , 
   5.93000 ,    -0.355038481950599E+01 ,    -0.393239935418055E+00 ,     0.200195296107033E+00 , 
   5.95000 ,    -0.343132430866503E+01 ,    -0.886313352536302E-01 ,     0.279614896970085E+00 , 
   5.97000 ,    -0.325259075054001E+01 ,     0.232473470572538E+00 ,     0.356551024874260E+00 , 
