Vanadium rnace avelenght calibration                         26-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   414.0000       53311.00       230.8918    
   415.0000       52373.00       228.8515    
   416.0000       52922.00       230.0478    
   417.0000       52624.00       229.3992    
   418.0000       49960.00       223.5173    
   419.0000       49355.00       222.1599    
   420.0000       53627.00       231.5750    
   421.0000       52595.00       229.3360    
   422.0000       54344.00       233.1180    
   423.0000       54509.00       233.4716    
   424.0000       52031.00       228.1030    
   425.0000       53691.00       231.7132    
   426.0000       53838.00       232.0302    
   427.0000       54925.00       234.3608    
   428.0000       52975.00       230.1630    
   429.0000       55148.00       234.8361    
   430.0000       50484.00       224.6864    
   431.0000       51876.00       227.7630    
   432.0000       54187.00       232.7810    
   433.0000       51894.00       227.8026    
   434.0000       52885.00       229.9674    
   435.0000       52939.00       230.0848    
   436.0000       52029.00       228.0987    
   437.0000       53486.00       231.2704    
   438.0000       52358.00       228.8187    
   439.0000       51107.00       226.0686    
   440.0000       54351.00       233.1330    
   441.0000       52301.00       228.6941    
   442.0000       50889.00       225.5859    
   443.0000       51071.00       225.9889    
   444.0000       51691.00       227.3566    
   445.0000       52804.00       229.7912    
   446.0000       52714.00       229.5953    
   447.0000       52363.00       228.8296    
   448.0000       51254.00       226.3935    
   449.0000       54648.00       233.7691    
   450.0000       50720.00       225.2110    
   451.0000       51625.00       227.2113    
   452.0000       52418.00       228.9498    
   453.0000       52165.00       228.3966    
   454.0000       50975.00       225.7764    
   455.0000       51600.00       227.1563    
   456.0000       53046.00       230.3172    
   457.0000       51979.00       227.9890    
   458.0000       51181.00       226.2322    
   459.0000       49851.00       223.2734    
   460.0000       60311.00       245.5830    
   461.0000       51236.00       226.3537    
   462.0000       51773.00       227.5368    
   463.0000       53764.00       231.8707    
   464.0000       53795.00       231.9375    
   465.0000       53301.00       230.8701    
   466.0000       52818.00       229.8217    
   467.0000       54126.00       232.6499    
   468.0000       52525.00       229.1833    
   469.0000       55687.00       235.9809    
   470.0000       52188.00       228.4469    
   471.0000       52269.00       228.6241    
   472.0000       52238.00       228.5563    
   473.0000       51475.00       226.8810    
   474.0000       51739.00       227.4621    
   475.0000       52344.00       228.7881    
   476.0000       54802.00       234.0983    
   477.0000       52976.00       230.1652    
   478.0000       51626.00       227.2136    
   479.0000       54003.00       232.3855    
   480.0000       48959.00       221.2668    
   481.0000       52745.00       229.6628    
   482.0000       53643.00       231.6096    
