empty can 300K                                               17-11-07   660.672K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   372.0000       15774.00       125.5946    
   373.0000       14893.00       122.0369    
   374.0000       15021.00       122.5602    
   375.0000       15153.00       123.0975    
   376.0000       15273.00       123.5840    
   377.0000       15234.00       123.4261    
   378.0000       14593.00       120.8015    
   379.0000       14462.00       120.2581    
   380.0000       15398.00       124.0887    
   381.0000       13956.00       118.1355    
   382.0000       14695.00       121.2229    
   383.0000       15147.00       123.0732    
   384.0000       14998.00       122.4663    
   385.0000       15016.00       122.5398    
   386.0000       14961.00       122.3152    
   387.0000       15533.00       124.6315    
   388.0000       14562.00       120.6731    
   389.0000       15479.00       124.4146    
   390.0000       14620.00       120.9132    
   391.0000       15010.00       122.5153    
   392.0000       14858.00       121.8934    
   393.0000       14647.00       121.0248    
   394.0000       15040.00       122.6377    
   395.0000       14957.00       122.2988    
   396.0000       15217.00       123.3572    
   397.0000       15166.00       123.1503    
   398.0000       14634.00       120.9711    
   399.0000       15081.00       122.8047    
   400.0000       15036.00       122.6214    
   401.0000       14949.00       122.2661    
   402.0000       15081.00       122.8047    
   403.0000       14965.00       122.3315    
   404.0000       14982.00       122.4010    
   405.0000       15090.00       122.8414    
   406.0000       14936.00       122.2129    
   407.0000       14794.00       121.6306    
   408.0000       14374.00       119.8916    
   409.0000       15182.00       123.2153    
   410.0000       13991.00       118.2836    
   411.0000       14608.00       120.8636    
   412.0000       15004.00       122.4908    
   413.0000       14237.00       119.3189    
   414.0000       14833.00       121.7908    
   415.0000       14519.00       120.4948    
   416.0000       14831.00       121.7826    
   417.0000       14549.00       120.6192    
   418.0000       13834.00       117.6180    
   419.0000       13457.00       116.0043    
   420.0000       14550.00       120.6234    
   421.0000       14482.00       120.3412    
   422.0000       14935.00       122.2088    
   423.0000       15109.00       122.9187    
   424.0000       14608.00       120.8636    
   425.0000       14985.00       122.4132    
   426.0000       14869.00       121.9385    
   427.0000       15131.00       123.0081    
   428.0000       14598.00       120.8222    
   429.0000       15608.00       124.9320    
   430.0000       14237.00       119.3189    
   431.0000       14364.00       119.8499    
   432.0000       14754.00       121.4660    
   433.0000       14590.00       120.7891    
   434.0000       14725.00       121.3466    
   435.0000       14474.00       120.3079    
   436.0000       14279.00       119.4948    
   437.0000       14673.00       121.1322    
   438.0000       14705.00       121.2642    
   439.0000       14023.00       118.4187    
   440.0000       15154.00       123.1016    
   441.0000       14724.00       121.3425    
   442.0000       14122.00       118.8360    
   443.0000       14146.00       118.9370    
   444.0000       14352.00       119.7998    
   445.0000       14587.00       120.7767    
   446.0000       14429.00       120.1208    
   447.0000       14540.00       120.5819    
   448.0000       14322.00       119.6746    
   449.0000       15246.00       123.4747    
   450.0000       14095.00       118.7224    
   451.0000       14331.00       119.7122    
   452.0000       14711.00       121.2889    
   453.0000       14234.00       119.3063    
   454.0000       14503.00       120.4284    
   455.0000       14611.00       120.8760    
   456.0000       14516.00       120.4824    
   457.0000       14612.00       120.8801    
   458.0000       14363.00       119.8457    
   459.0000       13856.00       117.7115    
   460.0000       16466.00       128.3199    
   461.0000       14414.00       120.0583    
   462.0000       14392.00       119.9667    
   463.0000       14849.00       121.8565    
   464.0000       14863.00       121.9139    
   465.0000       14728.00       121.3590    
   466.0000       14329.00       119.7038    
   467.0000       14948.00       122.2620    
   468.0000       14402.00       120.0083    
   469.0000       15513.00       124.5512    
   470.0000       14525.00       120.5197    
   471.0000       14545.00       120.6027    
   472.0000       14543.00       120.5944    
   473.0000       14456.00       120.2331    
   474.0000       14288.00       119.5324    
   475.0000       14583.00       120.7601    
   476.0000       15263.00       123.5435    
   477.0000       14591.00       120.7932    
   478.0000       14420.00       120.0833    
   479.0000       15256.00       123.5152    
   480.0000       13595.00       116.5976    
   481.0000       14699.00       121.2394    
   482.0000       15103.00       122.8943    
   483.0000       14640.00       120.9959    
   484.0000       14243.00       119.3440    
   485.0000       14634.00       120.9711    
   486.0000       14871.00       121.9467    
   487.0000       15052.00       122.6866    
   488.0000       14584.00       120.7642    
   489.0000       15686.00       125.2438    
   490.0000       14131.00       118.8739    
   491.0000       14253.00       119.3859    
   492.0000       15142.00       123.0528    
   493.0000       14594.00       120.8056    
   494.0000       14683.00       121.1734    
   495.0000       14639.00       120.9917    
   496.0000       15075.00       122.7803    
   497.0000       14998.00       122.4663    
   498.0000       14587.00       120.7767    
   499.0000       14750.00       121.4496    
   500.0000       14504.00       120.4326    
   501.0000       14599.00       120.8263    
   502.0000       14382.00       119.9250    
   503.0000       14560.00       120.6648    
   504.0000       14815.00       121.7169    
   505.0000       15022.00       122.5643    
   506.0000       14879.00       121.9795    
   507.0000       15229.00       123.4058    
   508.0000       14555.00       120.6441    
   509.0000       15216.00       123.3531    
   510.0000       14352.00       119.7998    
   511.0000       14867.00       121.9303    
   512.0000       15154.00       123.1016    
   513.0000       14502.00       120.4242    
   514.0000       14854.00       121.8770    
   515.0000       14756.00       121.4743    
   516.0000       15012.00       122.5235    
   517.0000       14914.00       122.1229    
   518.0000       14629.00       120.9504    
   519.0000       15084.00       122.8169    
   520.0000       15969.00       126.3685    
   521.0000       14412.00       120.0500    
   522.0000       14598.00       120.8222    
   523.0000       15114.00       122.9390    
   524.0000       14751.00       121.4537    
   525.0000       14732.00       121.3755    
   526.0000       15047.00       122.6662    
   527.0000       15179.00       123.2031    
   528.0000       14183.00       119.0924    
   529.0000       15729.00       125.4153    
   530.0000       14363.00       119.8457    
   531.0000       14978.00       122.3846    
   532.0000       15024.00       122.5724    
   533.0000       14757.00       121.4784    
   534.0000       14776.00       121.5566    
   535.0000       14472.00       120.2996    
   536.0000       15737.00       125.4472    
   537.0000       15316.00       123.7578    
   538.0000       14639.00       120.9917    
   539.0000       14951.00       122.2743    
   540.0000       14950.00       122.2702    
   541.0000       14444.00       120.1832    
   542.0000       14918.00       122.1393    
   543.0000       15012.00       122.5235    
   544.0000       15118.00       122.9553    
   545.0000       15016.00       122.5398    
   546.0000       15120.00       122.9634    
   547.0000       15276.00       123.5961    
   548.0000       14864.00       121.9180    
   549.0000       15716.00       125.3635    
   550.0000       14847.00       121.8483    
