Ni powder for wavelenght calibration                         25-11-07   200.000K
   77.00000       1986.000       44.56456    
   78.00000       2012.000       44.85532    
   79.00000       1692.000       41.13393    
   80.00000       2146.000       46.32494    
   81.00000       2074.000       45.54119    
   82.00000       2138.000       46.23851    
   83.00000       2169.000       46.57253    
   84.00000       2096.000       45.78209    
   85.00000       2175.000       46.63689    
   86.00000       2162.000       46.49731    
   87.00000       2114.000       45.97826    
   88.00000       2258.000       47.51842    
   89.00000       2258.000       47.51842    
   90.00000       2026.000       45.01111    
   91.00000       2104.000       45.86938    
   92.00000       2241.000       47.33920    
   93.00000       2061.000       45.39824    
   94.00000       2254.000       47.47631    
   95.00000       2190.000       46.79744    
   96.00000       2195.000       46.85083    
   97.00000       2281.000       47.75982    
   98.00000       2196.000       46.86150    
   99.00000       2226.000       47.18050    
   100.0000       1999.000       44.71018    
   101.0000       2043.000       45.19956    
   102.0000       2241.000       47.33920    
   103.0000       2322.000       48.18713    
   104.0000       2429.000       49.28489    
   105.0000       2406.000       49.05099    
   106.0000       2386.000       48.84670    
   107.0000       2446.000       49.45705    
   108.0000       2381.000       48.79549    
   109.0000       2572.000       50.71489    
   110.0000       2472.000       49.71921    
   111.0000       2536.000       50.35872    
   112.0000       2937.000       54.19410    
   113.0000       3856.000       62.09670    
   114.0000       7251.000       85.15280    
   115.0000       13304.00       115.3430    
   116.0000       20262.00       142.3447    
   117.0000       22385.00       149.6162    
   118.0000       17469.00       132.1703    
   119.0000       7476.000       86.46387    
   120.0000       3745.000       61.19640    
   121.0000       2788.000       52.80151    
   122.0000       2777.000       52.69725    
   123.0000       2572.000       50.71489    
   124.0000       2624.000       51.22499    
   125.0000       2621.000       51.19570    
   126.0000       2555.000       50.54701    
   127.0000       2649.000       51.46844    
   128.0000       2709.000       52.04805    
   129.0000       3749.000       61.22908    
   130.0000       5322.000       72.95204    
   131.0000       8305.000       91.13177    
   132.0000       10755.00       103.7063    
   133.0000       11517.00       107.3173    
   134.0000       11303.00       106.3156    
   135.0000       8075.000       89.86100    
   136.0000       3939.000       62.76145    
   137.0000       2695.000       51.91339    
   138.0000       2438.000       49.37611    
   139.0000       2546.000       50.45790    
   140.0000       2259.000       47.52894    
   141.0000       2337.000       48.34253    
   142.0000       2310.000       48.06246    
   143.0000       2430.000       49.29503    
   144.0000       2356.000       48.53864    
   145.0000       2338.000       48.35287    
   146.0000       2265.000       47.59201    
   147.0000       2376.000       48.74423    
   148.0000       2290.000       47.85394    
   149.0000       2436.000       49.35585    
   150.0000       2240.000       47.32864    
   151.0000       2275.000       47.69696    
   152.0000       2436.000       49.35585    
   153.0000       2260.000       47.53946    
   154.0000       2319.000       48.15600    
   155.0000       2174.000       46.62617    
   156.0000       2224.000       47.15931    
   157.0000       2236.000       47.28636    
   158.0000       2083.000       45.63990    
   159.0000       1553.000       39.40812    
   160.0000       2367.000       48.65182    
   161.0000       2386.000       48.84670    
   162.0000       2299.000       47.94789    
   163.0000       2426.000       49.25444    
   164.0000       2397.000       48.95917    
   165.0000       2311.000       48.07286    
   166.0000       2387.000       48.85693    
   167.0000       2304.000       48.00000    
   168.0000       2300.000       47.95832    
   169.0000       2444.000       49.43683    
   170.0000       2309.000       48.05206    
   171.0000       2222.000       47.13810    
   172.0000       2395.000       48.93874    
   173.0000       2246.000       47.39198    
   174.0000       2286.000       47.81213    
   175.0000       2399.000       48.97959    
   176.0000       2578.000       50.77401    
   177.0000       2569.000       50.68530    
   178.0000       2893.000       53.78662    
   179.0000       3350.000       57.87918    
   180.0000       5234.000       72.34639    
   181.0000       6349.000       79.68061    
   182.0000       7302.000       85.45174    
   183.0000       7920.000       88.99438    
   184.0000       8439.000       91.86403    
   185.0000       8581.000       92.63369    
   186.0000       7788.000       88.24965    
   187.0000       6212.000       78.81624    
   188.0000       3372.000       58.06892    
   189.0000       2753.000       52.46904    
   190.0000       2498.000       49.98000    
   191.0000       2507.000       50.06995    
   192.0000       2565.000       50.64583    
   193.0000       2466.000       49.65884    
   194.0000       2452.000       49.51767    
   195.0000       2482.000       49.81968    
   196.0000       2396.000       48.94895    
   197.0000       2461.000       49.60847    
   198.0000       2484.000       49.83974    
   199.0000       2469.000       49.68903    
   200.0000       2299.000       47.94789    
   201.0000       2441.000       49.40648    
   202.0000       2518.000       50.17968    
   203.0000       2501.000       50.01000    
   204.0000       2601.000       51.00000    
   205.0000       2589.000       50.88222    
   206.0000       2716.000       52.11526    
   207.0000       3248.000       56.99123    
   208.0000       3891.000       62.37788    
   209.0000       5269.000       72.58788    
   210.0000       5739.000       75.75619    
   211.0000       7116.000       84.35638    
   212.0000       8283.000       91.01099    
   213.0000       8486.000       92.11948    
   214.0000       8887.000       94.27089    
   215.0000       9091.000       95.34673    
   216.0000       9494.000       97.43716    
   217.0000       9465.000       97.28823    
   218.0000       7777.000       88.18730    
   219.0000       5359.000       73.20519    
   220.0000       4328.000       65.78754    
   221.0000       4270.000       65.34524    
   222.0000       4289.000       65.49046    
   223.0000       4321.000       65.73431    
   224.0000       4557.000       67.50555    
   225.0000       4466.000       66.82814    
   226.0000       4346.000       65.92420    
   227.0000       4256.000       65.23803    
   228.0000       3682.000       60.67949    
   229.0000       2939.000       54.21254    
   230.0000       2237.000       47.29694    
   231.0000       2326.000       48.22862    
   232.0000       2463.000       49.62862    
   233.0000       2367.000       48.65182    
   234.0000       2402.000       49.01020    
   235.0000       2381.000       48.79549    
   236.0000       2473.000       49.72927    
   237.0000       2354.000       48.51804    
   238.0000       2329.000       48.25971    
   239.0000       2090.000       45.71652    
   240.0000       2377.000       48.75449    
   241.0000       2334.000       48.31149    
   242.0000       2417.000       49.16299    
   243.0000       2319.000       48.15600    
   244.0000       2304.000       48.00000    
   245.0000       2450.000       49.49747    
   246.0000       2351.000       48.48711    
   247.0000       2436.000       49.35585    
   248.0000       2339.000       48.36321    
   249.0000       2615.000       51.13707    
   250.0000       2399.000       48.97959    
   251.0000       2569.000       50.68530    
   252.0000       2846.000       53.34792    
   253.0000       2967.000       54.47018    
   254.0000       2946.000       54.27707    
   255.0000       2979.000       54.58022    
   256.0000       3071.000       55.41660    
   257.0000       3048.000       55.20869    
   258.0000       2886.000       53.72150    
   259.0000       2622.000       51.20547    
   260.0000       3267.000       57.15768    
   261.0000       3222.000       56.76266    
   262.0000       3193.000       56.50664    
   263.0000       3018.000       54.93633    
   264.0000       2634.000       51.32251    
   265.0000       2493.000       49.92995    
   266.0000       2385.000       48.83646    
   267.0000       2524.000       50.23943    
   268.0000       2440.000       49.39635    
   269.0000       2691.000       51.87485    
   270.0000       2433.000       49.32545    
   271.0000       2693.000       51.89412    
   272.0000       2924.000       54.07402    
   273.0000       3149.000       56.11595    
   274.0000       3459.000       58.81326    
   275.0000       3742.000       61.17189    
   276.0000       4190.000       64.73021    
   277.0000       4361.000       66.03786    
   278.0000       4517.000       67.20863    
   279.0000       4091.000       63.96093    
   280.0000       5330.000       73.00685    
   281.0000       5626.000       75.00667    
   282.0000       6270.000       79.18333    
   283.0000       6442.000       80.26207    
   284.0000       6713.000       81.93290    
   285.0000       6973.000       83.50449    
   286.0000       6719.000       81.96951    
   287.0000       6637.000       81.46779    
   288.0000       5838.000       76.40681    
   289.0000       5450.000       73.82411    
   290.0000       4736.000       68.81860    
   291.0000       4928.000       70.19971    
   292.0000       4952.000       70.37045    
   293.0000       4787.000       69.18815    
   294.0000       4579.000       67.66831    
   295.0000       4196.000       64.77654    
   296.0000       3529.000       59.40539    
   297.0000       2652.000       51.49757    
   298.0000       2485.000       49.84977    
   299.0000       2439.000       49.38623    
   300.0000       2681.000       51.77837    
   301.0000       2440.000       49.39635    
   302.0000       2552.000       50.51732    
   303.0000       2484.000       49.83974    
   304.0000       2600.000       50.99020    
   305.0000       2630.000       51.28353    
   306.0000       2755.000       52.48809    
   307.0000       2891.000       53.76802    
   308.0000       2858.000       53.46027    
   309.0000       3294.000       57.39338    
   310.0000       3142.000       56.05355    
   311.0000       3520.000       59.32959    
   312.0000       3753.000       61.26173    
   313.0000       3693.000       60.77006    
   314.0000       3730.000       61.07373    
   315.0000       3707.000       60.88514    
   316.0000       3843.000       61.99194    
   317.0000       4079.000       63.86705    
   318.0000       3940.000       62.76942    
   319.0000       3617.000       60.14150    
   320.0000       3805.000       61.68468    
   321.0000       4046.000       63.60818    
   322.0000       4209.000       64.87681    
   323.0000       4159.000       64.49031    
   324.0000       3933.000       62.71363    
   325.0000       3573.000       59.77458    
   326.0000       3301.000       57.45433    
   327.0000       2943.000       54.24942    
   328.0000       3001.000       54.78138    
   329.0000       3341.000       57.80138    
   330.0000       3182.000       56.40922    
   331.0000       3440.000       58.65151    
   332.0000       3768.000       61.38404    
   333.0000       3614.000       60.11655    
   334.0000       3776.000       61.44917    
   335.0000       3888.000       62.35383    
   336.0000       3904.000       62.48200    
   337.0000       4091.000       63.96093    
   338.0000       4105.000       64.07027    
   339.0000       3835.000       61.92738    
   340.0000       4348.000       65.93937    
   341.0000       4119.000       64.17944    
   342.0000       4218.000       64.94613    
   343.0000       4276.000       65.39113    
   344.0000       4319.000       65.71910    
   345.0000       4153.000       64.44377    
   346.0000       3689.000       60.73714    
   347.0000       3364.000       58.00000    
   348.0000       2853.000       53.41348    
   349.0000       2834.000       53.23532    
   350.0000       2533.000       50.32892    
   351.0000       2585.000       50.84290    
   352.0000       2657.000       51.54610    
   353.0000       2555.000       50.54701    
   354.0000       2495.000       49.94997    
   355.0000       2583.000       50.82322    
   356.0000       2684.000       51.80733    
   357.0000       2589.000       50.88222    
   358.0000       2671.000       51.68172    
   359.0000       2908.000       53.92588    
   360.0000       2815.000       53.05657    
   361.0000       2744.000       52.38320    
   362.0000       2874.000       53.60970    
   363.0000       2884.000       53.70288    
   364.0000       2884.000       53.70288    
   365.0000       2963.000       54.43344    
   366.0000       3018.000       54.93633    
   367.0000       3096.000       55.64171    
   368.0000       3019.000       54.94543    
   369.0000       3155.000       56.16939    
   370.0000       2801.000       52.92447    
   371.0000       2911.000       53.95368    
   372.0000       3258.000       57.07889    
   373.0000       3055.000       55.27205    
   374.0000       3126.000       55.91064    
   375.0000       3357.000       57.93962    
   376.0000       3445.000       58.69412    
   377.0000       3553.000       59.60705    
   378.0000       3503.000       59.18615    
   379.0000       3423.000       58.50641    
   380.0000       4064.000       63.74951    
   381.0000       3656.000       60.46487    
   382.0000       3865.000       62.16912    
   383.0000       4309.000       65.64297    
   384.0000       4362.000       66.04544    
   385.0000       4493.000       67.02985    
   386.0000       4539.000       67.37210    
   387.0000       4765.000       69.02898    
   388.0000       4755.000       68.95650    
   389.0000       5163.000       71.85402    
   390.0000       4775.000       69.10137    
   391.0000       5051.000       71.07039    
   392.0000       5222.000       72.26340    
   393.0000       4959.000       70.42017    
   394.0000       5245.000       72.42237    
   395.0000       5315.000       72.90405    
   396.0000       5289.000       72.72551    
   397.0000       5271.000       72.60165    
   398.0000       4868.000       69.77106    
   399.0000       5181.000       71.97916    
   400.0000       4795.000       69.24594    
   401.0000       4352.000       65.96969    
   402.0000       4142.000       64.35837    
   403.0000       3873.000       62.23343    
   404.0000       3853.000       62.07254    
   405.0000       3787.000       61.53860    
   406.0000       3622.000       60.18306    
   407.0000       3404.000       58.34381    
   408.0000       3276.000       57.23635    
   409.0000       3189.000       56.47123    
   410.0000       2918.000       54.01852    
   411.0000       2939.000       54.21254    
   412.0000       3048.000       55.20869    
   413.0000       3220.000       56.74504    
   414.0000       3132.000       55.96428    
   415.0000       3113.000       55.79427    
   416.0000       3154.000       56.16048    
   417.0000       3221.000       56.75385    
   418.0000       3011.000       54.87258    
   419.0000       2985.000       54.63515    
   420.0000       3320.000       57.61944    
   421.0000       3286.000       57.32364    
   422.0000       3480.000       58.99152    
   423.0000       3420.000       58.48077    
   424.0000       3270.000       57.18391    
   425.0000       3506.000       59.21149    
   426.0000       3451.000       58.74521    
   427.0000       3684.000       60.69596    
   428.0000       3609.000       60.07495    
   429.0000       3927.000       62.66578    
   430.0000       3492.000       59.09315    
   431.0000       3540.000       59.49790    
   432.0000       3787.000       61.53860    
   433.0000       3521.000       59.33802    
   434.0000       3509.000       59.23681    
   435.0000       3556.000       59.63221    
   436.0000       3517.000       59.30430    
   437.0000       3574.000       59.78294    
   438.0000       3554.000       59.61543    
   439.0000       3440.000       58.65151    
   440.0000       3789.000       61.55486    
   441.0000       3634.000       60.28267    
   442.0000       3521.000       59.33802    
   443.0000       3477.000       58.96609    
   444.0000       3543.000       59.52311    
   445.0000       3774.000       61.43289    
   446.0000       3771.000       61.40847    
   447.0000       3658.000       60.48140    
   448.0000       3596.000       59.96666    
   449.0000       3859.000       62.12085    
   450.0000       3562.000       59.68250    
   451.0000       3628.000       60.23288    
   452.0000       3497.000       59.13544    
   453.0000       3417.000       58.45511    
   454.0000       3189.000       56.47123    
   455.0000       3212.000       56.67451    
   456.0000       3240.000       56.92100    
   457.0000       3154.000       56.16048    
   458.0000       3006.000       54.82700    
   459.0000       2790.000       52.82045    
   460.0000       3411.000       58.40377    
   461.0000       2786.000       52.78257    
   462.0000       2801.000       52.92447    
   463.0000       2899.000       53.84236    
   464.0000       2798.000       52.89613    
   465.0000       2900.000       53.85165    
   466.0000       2947.000       54.28628    
   467.0000       2986.000       54.64431    
   468.0000       2867.000       53.54437    
   469.0000       3149.000       56.11595    
   470.0000       2888.000       53.74012    
   471.0000       2934.000       54.16641    
   472.0000       3116.000       55.82114    
   473.0000       3121.000       55.86591    
   474.0000       3246.000       56.97368    
   475.0000       3265.000       57.14018    
   476.0000       3568.000       59.73274    
   477.0000       3396.000       58.27521    
   478.0000       3491.000       59.08469    
   479.0000       3654.000       60.44833    
   480.0000       3251.000       57.01754    
   481.0000       3731.000       61.08191    
   482.0000       3707.000       60.88514    
   483.0000       3744.000       61.18823    
   484.0000       3653.000       60.44005    
   485.0000       3720.000       60.99180    
   486.0000       3717.000       60.96721    
   487.0000       3912.000       62.54598    
   488.0000       3694.000       60.77829    
   489.0000       4072.000       63.81223    
   490.0000       3605.000       60.04165    
   491.0000       3688.000       60.72890    
   492.0000       3953.000       62.87289    
   493.0000       3848.000       62.03225    
   494.0000       3901.000       62.45798    
   495.0000       4102.000       64.04686    
   496.0000       3941.000       62.77739    
   497.0000       4231.000       65.04613    
   498.0000       3978.000       63.07139    
   499.0000       4067.000       63.77304    
   500.0000       4017.000       63.37981    
   501.0000       4072.000       63.81223    
   502.0000       3943.000       62.79331    
   503.0000       3961.000       62.93648    
   504.0000       3929.000       62.68174    
   505.0000       4100.000       64.03124    
   506.0000       3976.000       63.05553    
   507.0000       3808.000       61.70900    
   508.0000       3616.000       60.13319    
   509.0000       3753.000       61.26173    
   510.0000       3605.000       60.04165    
   511.0000       3598.000       59.98333    
   512.0000       3556.000       59.63221    
   513.0000       3501.000       59.16925    
   514.0000       3599.000       59.99166    
   515.0000       3598.000       59.98333    
   516.0000       3754.000       61.26989    
   517.0000       3833.000       61.91123    
   518.0000       3673.000       60.60528    
   519.0000       3949.000       62.84107    
   520.0000       4237.000       65.09224    
   521.0000       3840.000       61.96774    
   522.0000       3851.000       62.05643    
   523.0000       4001.000       63.25346    
   524.0000       4042.000       63.57673    
   525.0000       4047.000       63.61604    
   526.0000       4213.000       64.90762    
   527.0000       4337.000       65.85590    
   528.0000       4062.000       63.73382    
   529.0000       4445.000       66.67083    
   530.0000       4137.000       64.31951    
   531.0000       4350.000       65.95453    
   532.0000       4147.000       64.39720    
   533.0000       4169.000       64.56779    
   534.0000       4050.000       63.63961    
   535.0000       4025.000       63.44289    
   536.0000       4265.000       65.30697    
   537.0000       4139.000       64.33506    
   538.0000       3861.000       62.13694    
   539.0000       3795.000       61.60357    
   540.0000       3893.000       62.39391    
   541.0000       3831.000       61.89507    
   542.0000       3730.000       61.07373    
   543.0000       3887.000       62.34581    
   544.0000       3757.000       61.29437    
   545.0000       3760.000       61.31884    
   546.0000       3867.000       62.18521    
   547.0000       3890.000       62.36987    
   548.0000       3696.000       60.79473    
   549.0000       4028.000       63.46653    
   550.0000       3767.000       61.37589    
   551.0000       3628.000       60.23288    
   552.0000       3672.000       60.59703    
   553.0000       3742.000       61.17189    
   554.0000       3721.000       61.00000    
   555.0000       3592.000       59.93330    
   556.0000       3433.000       58.59181    
   557.0000       3434.000       58.60034    
   558.0000       3191.000       56.48894    
   559.0000       2882.000       53.68426    
   560.0000       3001.000       54.78138    
   561.0000       2997.000       54.74486    
   562.0000       3023.000       54.98182    
   563.0000       2911.000       53.95368    
   564.0000       2997.000       54.74486    
   565.0000       3120.000       55.85696    
   566.0000       3035.000       55.09084    
   567.0000       3092.000       55.60575    
   568.0000       2909.000       53.93515    
   569.0000       3258.000       57.07889    
   570.0000       2898.000       53.83308    
   571.0000       3002.000       54.79051    
   572.0000       3217.000       56.71861    
   573.0000       3170.000       56.30275    
   574.0000       3205.000       56.61272    
   575.0000       3070.000       55.40758    
   576.0000       3190.000       56.48008    
   577.0000       3127.000       55.91959    
   578.0000       3128.000       55.92852    
   579.0000       2627.000       51.25427    
   580.0000       3154.000       56.16048    
   581.0000       3184.000       56.42694    
   582.0000       3181.000       56.40036    
   583.0000       3268.000       57.16642    
   584.0000       3292.000       57.37595    
   585.0000       3314.000       57.56735    
   586.0000       3263.000       57.12268    
   587.0000       3284.000       57.30619    
   588.0000       3281.000       57.28001    
   589.0000       3474.000       58.94065    
   590.0000       3134.000       55.98214    
   591.0000       3063.000       55.34438    
   592.0000       3296.000       57.41080    
   593.0000       3139.000       56.02678    
   594.0000       3232.000       56.85068    
   595.0000       3183.000       56.41808    
   596.0000       3266.000       57.14893    
   597.0000       3159.000       56.20498    
   598.0000       3031.000       55.05452    
   599.0000       3031.000       55.05452    
   600.0000       3402.000       58.32667    
   601.0000       3170.000       56.30275    
   602.0000       3171.000       56.31163    
   603.0000       3324.000       57.65414    
   604.0000       3392.000       58.24088    
   605.0000       3312.000       57.54998    
   606.0000       3211.000       56.66569    
   607.0000       3353.000       57.90509    
   608.0000       3297.000       57.41951    
   609.0000       3367.000       58.02586    
   610.0000       3099.000       55.66866    
   611.0000       3254.000       57.04384    
   612.0000       3272.000       57.20140    
   613.0000       3180.000       56.39149    
   614.0000       3138.000       56.01785    
   615.0000       3155.000       56.16939    
   616.0000       3128.000       55.92852    
   617.0000       3201.000       56.57738    
   618.0000       3496.000       59.12698    
   619.0000       3621.000       60.17474    
   620.0000       4333.000       65.82552    
   621.0000       3580.000       59.83310    
   622.0000       3522.000       59.34644    
   623.0000       3650.000       60.41523    
   624.0000       3696.000       60.79473    
   625.0000       3580.000       59.83310    
   626.0000       3539.000       59.48949    
   627.0000       3661.000       60.50620    
   628.0000       3527.000       59.38855    
   629.0000       3736.000       61.12283    
   630.0000       3416.000       58.44656    
   631.0000       3417.000       58.45511    
   632.0000       3631.000       60.25778    
   633.0000       3418.000       58.46367    
   634.0000       3473.000       58.93216    
   635.0000       3410.000       58.39521    
   636.0000       3582.000       59.84981    
   637.0000       3615.000       60.12487    
   638.0000       3505.000       59.20304    
   639.0000       3509.000       59.23681    
