sample v-GeO2 900K 			22-11-07   864.878K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   253.0000       35271.00       187.8058    
   254.0000       35173.00       187.5447    
   255.0000       34969.00       187.0000    
   256.0000       36176.00       190.1999    
   257.0000       35773.00       189.1375    
   258.0000       34058.00       184.5481    
   259.0000       31856.00       178.4825    
   260.0000       37089.00       192.5851    
   261.0000       36869.00       192.0130    
   262.0000       36278.00       190.4678    
   263.0000       36236.00       190.3576    
   264.0000       37011.00       192.3824    
   265.0000       36692.00       191.5516    
   266.0000       37476.00       193.5872    
   267.0000       39129.00       197.8105    
   268.0000       37418.00       193.4373    
   269.0000       39757.00       199.3916    
   270.0000       36353.00       190.6646    
   271.0000       36015.00       189.7762    
   272.0000       38299.00       195.7013    
   273.0000       37463.00       193.5536    
   274.0000       37095.00       192.6006    
   275.0000       36734.00       191.6612    
   276.0000       38079.00       195.1384    
   277.0000       37097.00       192.6058    
   278.0000       35854.00       189.3515    
   279.0000       31762.00       178.2190    
   280.0000       37812.00       194.4531    
   281.0000       37085.00       192.5747    
   282.0000       37202.00       192.8782    
   283.0000       38200.00       195.4482    
   284.0000       36774.00       191.7655    
   285.0000       37026.00       192.4214    
   286.0000       37140.00       192.7174    
   287.0000       38037.00       195.0308    
   288.0000       36308.00       190.5466    
   289.0000       38550.00       196.3415    
   290.0000       35949.00       189.6022    
   291.0000       36485.00       191.0105    
   292.0000       37255.00       193.0155    
   293.0000       36189.00       190.2341    
   294.0000       36050.00       189.8684    
   295.0000       36589.00       191.2825    
   296.0000       37439.00       193.4916    
   297.0000       36189.00       190.2341    
   298.0000       34980.00       187.0294    
   299.0000       34909.00       186.8395    
   300.0000       38172.00       195.3766    
   301.0000       35951.00       189.6075    
   302.0000       36347.00       190.6489    
   303.0000       36714.00       191.6090    
   304.0000       36026.00       189.8052    
   305.0000       36408.00       190.8088    
   306.0000       36428.00       190.8612    
   307.0000       36019.00       189.7867    
   308.0000       35489.00       188.3852    
   309.0000       38176.00       195.3868    
   310.0000       34535.00       185.8360    
   311.0000       36021.00       189.7920    
   312.0000       37171.00       192.7978    
   313.0000       35181.00       187.5660    
   314.0000       36049.00       189.8657    
   315.0000       34904.00       186.8261    
   316.0000       35478.00       188.3560    
   317.0000       36326.00       190.5938    
   318.0000       34438.00       185.5748    
   319.0000       32636.00       180.6544    
   320.0000       32948.00       181.5158    
   321.0000       35115.00       187.3900    
   322.0000       35687.00       188.9100    
   323.0000       35398.00       188.1436    
   324.0000       35559.00       188.5709    
   325.0000       35344.00       188.0000    
   326.0000       34594.00       185.9946    
   327.0000       34855.00       186.6949    
   328.0000       33566.00       183.2103    
   329.0000       36252.00       190.3996    
   330.0000       33246.00       182.3349    
   331.0000       33483.00       182.9836    
   332.0000       34358.00       185.3591    
   333.0000       33241.00       182.3212    
   334.0000       33612.00       183.3358    
   335.0000       33246.00       182.3349    
   336.0000       33371.00       182.6773    
   337.0000       33801.00       183.8505    
   338.0000       33378.00       182.6965    
   339.0000       32854.00       181.2567    
   340.0000       35002.00       187.0882    
   341.0000       33655.00       183.4530    
   342.0000       33948.00       184.2498    
   343.0000       34645.00       186.1317    
   344.0000       35454.00       188.2923    
   345.0000       35880.00       189.4202    
   346.0000       34781.00       186.4966    
   347.0000       34322.00       185.2620    
   348.0000       34797.00       186.5395    
   349.0000       36316.00       190.5676    
   350.0000       33012.00       181.6920    
   351.0000       33985.00       184.3502    
   352.0000       34845.00       186.6682    
   353.0000       33682.00       183.5266    
   354.0000       33884.00       184.0761    
   355.0000       34410.00       185.4993    
   356.0000       35490.00       188.3879    
   357.0000       34885.00       186.7753    
   358.0000       33967.00       184.3014    
   359.0000       36455.00       190.9319    
   360.0000       35510.00       188.4410    
