Empty fournace avelenght calibration                         25-11-07   773.458K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   344.0000       2712.000       52.07687    
   345.0000       2797.000       52.88667    
   346.0000       2610.000       51.08816    
   347.0000       2737.000       52.31635    
   348.0000       2671.000       51.68172    
   349.0000       2928.000       54.11100    
   350.0000       2553.000       50.52722    
   351.0000       2661.000       51.58488    
   352.0000       2766.000       52.59277    
   353.0000       2694.000       51.90376    
   354.0000       2674.000       51.71074    
   355.0000       2657.000       51.54610    
   356.0000       2745.000       52.39275    
   357.0000       2589.000       50.88222    
   358.0000       2627.000       51.25427    
   359.0000       2766.000       52.59277    
   360.0000       2745.000       52.39275    
   361.0000       2664.000       51.61395    
   362.0000       2736.000       52.30679    
   363.0000       2788.000       52.80151    
   364.0000       2664.000       51.61395    
   365.0000       2690.000       51.86521    
   366.0000       2624.000       51.22499    
   367.0000       2767.000       52.60228    
   368.0000       2619.000       51.17617    
   369.0000       2789.000       52.81099    
   370.0000       2444.000       49.43683    
   371.0000       2528.000       50.27922    
   372.0000       2726.000       52.21111    
   373.0000       2629.000       51.27377    
   374.0000       2482.000       49.81968    
   375.0000       2740.000       52.34501    
   376.0000       2594.000       50.93133    
   377.0000       2669.000       51.66236    
   378.0000       2516.000       50.15974    
   379.0000       2455.000       49.54796    
   380.0000       2625.000       51.23475    
   381.0000       2396.000       48.94895    
   382.0000       2472.000       49.71921    
   383.0000       2635.000       51.33225    
   384.0000       2504.000       50.03999    
   385.0000       2633.000       51.31277    
   386.0000       2650.000       51.47815    
   387.0000       2633.000       51.31277    
   388.0000       2588.000       50.87239    
   389.0000       2639.000       51.37120    
   390.0000       2459.000       49.58831    
   391.0000       2603.000       51.01960    
   392.0000       2591.000       50.90187    
   393.0000       2456.000       49.55805    
   394.0000       2570.000       50.69517    
   395.0000       2449.000       49.48737    
   396.0000       2684.000       51.80733    
   397.0000       2579.000       50.78386    
   398.0000       2444.000       49.43683    
   399.0000       2548.000       50.47772    
   400.0000       2435.000       49.34572    
   401.0000       2480.000       49.79960    
   402.0000       2566.000       50.65570    
   403.0000       2650.000       51.47815    
   404.0000       2626.000       51.24451    
   405.0000       2642.000       51.40039    
   406.0000       2503.000       50.02999    
   407.0000       2514.000       50.13980    
   408.0000       2464.000       49.63869    
   409.0000       2637.000       51.35173    
   410.0000       2358.000       48.55924    
   411.0000       2441.000       49.40648    
   412.0000       2536.000       50.35872    
   413.0000       2504.000       50.03999    
   414.0000       2504.000       50.03999    
   415.0000       2468.000       49.67897    
   416.0000       2376.000       48.74423    
   417.0000       2486.000       49.85980    
   418.0000       2306.000       48.02083    
   419.0000       2357.000       48.54894    
   420.0000       2477.000       49.76947    
   421.0000       2413.000       49.12230    
   422.0000       2533.000       50.32892    
   423.0000       2537.000       50.36864    
   424.0000       2497.000       49.96999    
   425.0000       2530.000       50.29911    
   426.0000       2414.000       49.13247    
   427.0000       2534.000       50.33885    
   428.0000       2454.000       49.53786    
   429.0000       2582.000       50.81339    
   430.0000       2351.000       48.48711    
   431.0000       2316.000       48.12484    
   432.0000       2466.000       49.65884    
   433.0000       2452.000       49.51767    
   434.0000       2372.000       48.70318    
   435.0000       2495.000       49.94997    
   436.0000       2332.000       48.29079    
   437.0000       2491.000       49.90992    
   438.0000       2381.000       48.79549    
   439.0000       2362.000       48.60041    
   440.0000       2431.000       49.30517    
   441.0000       2521.000       50.20956    
   442.0000       2339.000       48.36321    
   443.0000       2399.000       48.97959    
   444.0000       2328.000       48.24935    
   445.0000       2368.000       48.66210    
   446.0000       2417.000       49.16299    
   447.0000       2355.000       48.52834    
   448.0000       2306.000       48.02083    
   449.0000       2546.000       50.45790    
   450.0000       2325.000       48.21825    
   451.0000       2387.000       48.85693    
   452.0000       2454.000       49.53786    
   453.0000       2305.000       48.01041    
   454.0000       2331.000       48.28043    
   455.0000       2364.000       48.62098    
   456.0000       2440.000       49.39635    
   457.0000       2354.000       48.51804    
   458.0000       2368.000       48.66210    
   459.0000       2181.000       46.70118    
   460.0000       2679.000       51.75906    
   461.0000       2422.000       49.21382    
   462.0000       2297.000       47.92703    
   463.0000       2365.000       48.63127    
   464.0000       2445.000       49.44694    
   465.0000       2386.000       48.84670    
   466.0000       2400.000       48.98980    
   467.0000       2407.000       49.06119    
   468.0000       2343.000       48.40454    
   469.0000       2545.000       50.44799    
   470.0000       2282.000       47.77028    
   471.0000       2413.000       49.12230    
   472.0000       2305.000       48.01041    
   473.0000       2345.000       48.42520    
   474.0000       2338.000       48.35287    
   475.0000       2340.000       48.37355    
   476.0000       2364.000       48.62098    
   477.0000       2313.000       48.09366    
   478.0000       2253.000       47.46578    
   479.0000       2451.000       49.50758    
   480.0000       2127.000       46.11941    
   481.0000       2370.000       48.68264    
   482.0000       2299.000       47.94789    
   483.0000       2318.000       48.14561    
   484.0000       2255.000       47.48684    
   485.0000       2348.000       48.45617    
   486.0000       2410.000       49.09175    
   487.0000       2463.000       49.62862    
   488.0000       2400.000       48.98980    
   489.0000       2446.000       49.45705    
   490.0000       2244.000       47.37088    
   491.0000       2229.000       47.21229    
   492.0000       2388.000       48.86717    
   493.0000       2399.000       48.97959    
   494.0000       2306.000       48.02083    
   495.0000       2310.000       48.06246    
   496.0000       2381.000       48.79549    
   497.0000       2420.000       49.19350    
   498.0000       2356.000       48.53864    
   499.0000       2370.000       48.68264    
   500.0000       2307.000       48.03124    
   501.0000       2307.000       48.03124    
   502.0000       2291.000       47.86439    
   503.0000       2325.000       48.21825    
   504.0000       2308.000       48.04165    
   505.0000       2446.000       49.45705    
   506.0000       2410.000       49.09175    
   507.0000       2419.000       49.18333    
   508.0000       2267.000       47.61302    
   509.0000       2438.000       49.37611    
   510.0000       2141.000       46.27094    
   511.0000       2389.000       48.87740    
   512.0000       2339.000       48.36321    
   513.0000       2252.000       47.45524    
   514.0000       2324.000       48.20788    
   515.0000       2361.000       48.59012    
   516.0000       2338.000       48.35287    
   517.0000       2349.000       48.46648    
   518.0000       2413.000       49.12230    
   519.0000       2372.000       48.70318    
   520.0000       2477.000       49.76947    
   521.0000       2163.000       46.50806    
   522.0000       2254.000       47.47631    
   523.0000       2336.000       48.33218    
   524.0000       2287.000       47.82259    
   525.0000       2300.000       47.95832    
   526.0000       2359.000       48.56954    
   527.0000       2431.000       49.30517    
   528.0000       2251.000       47.44471    
   529.0000       2436.000       49.35585    
   530.0000       2328.000       48.24935    
   531.0000       2243.000       47.36032    
   532.0000       2280.000       47.74934    
   533.0000       2334.000       48.31149    
   534.0000       2263.000       47.57100    
   535.0000       2255.000       47.48684    
   536.0000       2414.000       49.13247    
   537.0000       2376.000       48.74423    
   538.0000       2233.000       47.25463    
   539.0000       2302.000       47.97916    
   540.0000       2439.000       49.38623    
   541.0000       2244.000       47.37088    
   542.0000       2228.000       47.20169    
   543.0000       2301.000       47.96874    
   544.0000       2270.000       47.64452    
   545.0000       2361.000       48.59012    
   546.0000       2279.000       47.73887    
   547.0000       2429.000       49.28489    
