   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   0    3    3   1.144235    -7.205314     0.000000      7.20531   37.19849    0.71913    6
   2    2    2   1.141082     2.975880     2.657201      3.98956   37.30505    0.21933    6
  -2   -2    2   1.141082     2.975880    -2.657201      3.98956   37.30505    0.21933    6
   3    1    2   1.103254    23.742820    -3.489597      23.9979   38.63396    7.44798    6
  -1   -3    2   1.103254    23.742820     3.489597      23.9979   38.63396    7.44798    6
   1    3    2   1.103254     9.340460     5.092789      10.6386   38.63396    1.46374    6
  -3   -1    2   1.103254     9.340460    -5.092789      10.6386   38.63396    1.46374    6
   0    1    5   1.093718    -5.117471    -8.863719      10.2349   38.98438    1.33288    6
   1    0    5   1.093718    -8.198274    14.199828      16.3965   38.98438    3.42077    6
   4    0    0   1.080150     0.004683     0.000000   0.00468304   39.49427    0.00000    6
   2    1    4   1.068607     8.220963     4.122166      9.19655   39.93892    1.03037    6
   1    2    4   1.068607     2.477683   -13.718471      13.9404   39.93892    2.36752    6
  -2   -1    4   1.068607     2.477683    13.718471      13.9404   39.93892    2.36752    6
  -1   -2    4   1.068607     8.220963    -4.122166      9.19655   39.93892    1.03037    6
   0    4    1   1.060954   -12.524990    21.693919        25.05   40.23943    7.54275    6
   4    0    1   1.060954    -0.457426    -0.792285     0.914852   40.23943    0.01006    6
   2    2    3   1.040038    14.484050    -2.381870      14.6786   41.08483    2.49561    6
  -2   -2    3   1.040038    14.484050     2.381870      14.6786   41.08483    2.49561    6
   1    1    5   1.029722    22.234838    -6.199969      23.0831   41.51532    6.05830    6
  -1   -1    5   1.029722    22.234838     6.199969      23.0831   41.51532    6.05830    6
   3    1    3   1.011155     0.427296    19.328527      19.3332   42.31389    4.10893    6
  -1   -3    3   1.011155     0.427296   -19.328527      19.3332   42.31389    4.10893    6
   1    3    3   1.011155   -18.124469     6.214173      19.1602   42.31389    4.03569    6
  -3   -1    3   1.011155   -18.124469    -6.214173      19.1602   42.31389    4.03569    6
   4    0    2   1.008977    -8.047880    13.939338      16.0958   42.40962    2.83667    6
   0    4    2   1.008977     0.009090     0.015744    0.0181797   42.40962    0.00000    6
   3    0    4   1.008685    -4.193197    -7.262830      8.38639   42.42252    0.76967    6
   0    3    4   1.008685    -0.209487     0.362843     0.418975   42.42252    0.00192    6
   2    0    5   1.001667   -11.787262    20.416137      23.5745   42.73426    6.00393    6
   0    2    5   1.001667     0.155452     0.269250     0.310904   42.73426    0.00104    6
