sample v-GeO2 900K 			21-11-07  2000.000K
   269.0000       91575.00       302.6136    
   270.0000       83654.00       289.2300    
   271.0000       83238.00       288.5100    
   272.0000       88006.00       296.6581    
   273.0000       86766.00       294.5607    
   274.0000       85440.00       292.3012    
   275.0000       84491.00       290.6734    
   276.0000       87927.00       296.5249    
   277.0000       85233.00       291.9469    
   278.0000       82334.00       286.9390    
   279.0000       73211.00       270.5753    
   280.0000       87574.00       295.9290    
   281.0000       85041.00       291.6179    
   282.0000       85876.00       293.0461    
   283.0000       87386.00       295.6112    
   284.0000       86280.00       293.7346    
   285.0000       85723.00       292.7849    
   286.0000       85570.00       292.5235    
   287.0000       88261.00       297.0875    
   288.0000       84352.00       290.4341    
   289.0000       89400.00       298.9983    
   290.0000       83451.00       288.8789    
   291.0000       84507.00       290.7009    
   292.0000       85632.00       292.6295    
   293.0000       83637.00       289.2006    
   294.0000       83469.00       288.9100    
   295.0000       84861.00       291.3091    
   296.0000       85888.00       293.0666    
   297.0000       83012.00       288.1180    
   298.0000       79937.00       282.7313    
   299.0000       81187.00       284.9333    
   300.0000       88053.00       296.7372    
   301.0000       83604.00       289.1436    
   302.0000       84104.00       290.0069    
   303.0000       84239.00       290.2396    
   304.0000       82781.00       287.7169    
   305.0000       84696.00       291.0258    
   306.0000       83845.00       289.5600    
   307.0000       83134.00       288.3297    
   308.0000       81829.00       286.0577    
   309.0000       87961.00       296.5822    
   310.0000       80278.00       283.3337    
   311.0000       83677.00       289.2698    
   312.0000       85507.00       292.4158    
   313.0000       81562.00       285.5906    
   314.0000       82424.00       287.0958    
   315.0000       80755.00       284.1743    
   316.0000       81991.00       286.3407    
   317.0000       83565.00       289.0761    
   318.0000       79231.00       281.4800    
   319.0000       75804.00       275.3253    
   320.0000       76174.00       275.9964    
   321.0000       80306.00       283.3831    
   322.0000       81925.00       286.2254    
   323.0000       81617.00       285.6869    
   324.0000       80981.00       284.5716    
   325.0000       81482.00       285.4505    
   326.0000       79852.00       282.5810    
   327.0000       80529.00       283.7763    
   328.0000       77554.00       278.4852    
   329.0000       83084.00       288.2430    
   330.0000       76779.00       277.0902    
   331.0000       78116.00       279.4924    
   332.0000       80332.00       283.4290    
   333.0000       76605.00       276.7761    
   334.0000       76793.00       277.1155    
   335.0000       77402.00       278.2122    
   336.0000       77179.00       277.8111    
   337.0000       77243.00       277.9262    
   338.0000       76498.00       276.5827    
   339.0000       75530.00       274.8272    
   340.0000       81418.00       285.3384    
   341.0000       77121.00       277.7067    
   342.0000       79240.00       281.4960    
   343.0000       80158.00       283.1219    
   344.0000       81555.00       285.5784    
   345.0000       83703.00       289.3147    
   346.0000       80018.00       282.8745    
   347.0000       80229.00       283.2473    
   348.0000       80055.00       282.9399    
   349.0000       84115.00       290.0258    
   350.0000       75547.00       274.8582    
   351.0000       78642.00       280.4318    
   352.0000       81180.00       284.9211    
   353.0000       77586.00       278.5426    
   354.0000       78430.00       280.0536    
   355.0000       79040.00       281.1405    
   356.0000       81897.00       286.1765    
   357.0000       80277.00       283.3320    
   358.0000       79129.00       281.2988    
   359.0000       83389.00       288.7715    
   360.0000       82140.00       286.6008    
   361.0000       78556.00       280.2784    
   362.0000       78951.00       280.9822    
   363.0000       80444.00       283.6265    
   364.0000       80571.00       283.8503    
   365.0000       80385.00       283.5225    
   366.0000       79942.00       282.7402    
   367.0000       81354.00       285.2262    
   368.0000       79262.00       281.5351    
   369.0000       84313.00       290.3670    
   370.0000       75265.00       274.3447    
   371.0000       75990.00       275.6628    
   372.0000       82670.00       287.5239    
   373.0000       78782.00       280.6813    
   374.0000       78150.00       279.5532    
   375.0000       79282.00       281.5706    
   376.0000       79821.00       282.5261    
   377.0000       80747.00       284.1602    
   378.0000       77662.00       278.6790    
   379.0000       74418.00       272.7966    
   380.0000       80924.00       284.4714    
   381.0000       73914.00       271.8713    
   382.0000       78180.00       279.6069    
   383.0000       80969.00       284.5505    
   384.0000       79351.00       281.6931    
   385.0000       80638.00       283.9683    
   386.0000       80504.00       283.7323    
   387.0000       82481.00       287.1951    
   388.0000       78817.00       280.7437    
   389.0000       83530.00       289.0156    
   390.0000       77569.00       278.5121    
   391.0000       80364.00       283.4854    
   392.0000       80934.00       284.4890    
   393.0000       77783.00       278.8960    
   394.0000       80869.00       284.3748    
   395.0000       80998.00       284.6015    
   396.0000       81696.00       285.8251    
   397.0000       81790.00       285.9895    
   398.0000       79602.00       282.1383    
   399.0000       83219.00       288.4770    
   400.0000       81982.00       286.3250    
   401.0000       80573.00       283.8538    
