sample v-GeO2 1400K tst                                      23-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   335.0000       7117.000       84.36231    
   336.0000       7102.000       84.27336    
   337.0000       7167.000       84.65813    
   338.0000       7120.000       84.38009    
   339.0000       6814.000       82.54696    
   340.0000       7510.000       86.66026    
   341.0000       7326.000       85.59206    
   342.0000       7315.000       85.52777    
   343.0000       7455.000       86.34234    
   344.0000       7579.000       87.05745    
   345.0000       7727.000       87.90336    
   346.0000       7562.000       86.95976    
   347.0000       7591.000       87.12634    
   348.0000       7519.000       86.71217    
   349.0000       7925.000       89.02247    
   350.0000       7196.000       84.82924    
   351.0000       7228.000       85.01765    
   352.0000       7576.000       87.04022    
   353.0000       7452.000       86.32497    
   354.0000       7153.000       84.57541    
   355.0000       7475.000       86.45808    
   356.0000       7657.000       87.50429    
   357.0000       7643.000       87.42426    
   358.0000       7374.000       85.87199    
   359.0000       7793.000       88.27797    
   360.0000       7727.000       87.90336    
   361.0000       7415.000       86.11040    
   362.0000       7458.000       86.35971    
   363.0000       7638.000       87.39565    
   364.0000       7526.000       86.75253    
   365.0000       7624.000       87.31552    
   366.0000       7513.000       86.67757    
   367.0000       7546.000       86.86771    
   368.0000       7331.000       85.62126    
   369.0000       7852.000       88.61151    
   370.0000       7060.000       84.02380    
   371.0000       7128.000       84.42748    
   372.0000       7766.000       88.12491    
   373.0000       7440.000       86.25543    
   374.0000       7371.000       85.85453    
   375.0000       7337.000       85.65629    
   376.0000       7430.000       86.19745    
   377.0000       7440.000       86.25543    
   378.0000       7320.000       85.55700    
   379.0000       6919.000       83.18053    
   380.0000       7669.000       87.57283    
   381.0000       7036.000       83.88087    
   382.0000       7174.000       84.69947    
   383.0000       7470.000       86.42916    
   384.0000       7530.000       86.77557    
   385.0000       7494.000       86.56789    
   386.0000       7451.000       86.31918    
   387.0000       7765.000       88.11924    
   388.0000       7333.000       85.63293    
   389.0000       7739.000       87.97159    
   390.0000       7199.000       84.84692    
   391.0000       7489.000       86.53901    
   392.0000       7587.000       87.10339    
   393.0000       7247.000       85.12931    
   394.0000       7488.000       86.53323    
   395.0000       7682.000       87.64702    
   396.0000       7686.000       87.66984    
   397.0000       7604.000       87.20092    
   398.0000       7489.000       86.53901    
   399.0000       7749.000       88.02840    
   400.0000       7666.000       87.55569    
   401.0000       7673.000       87.59566    
   402.0000       7510.000       86.66026    
   403.0000       7587.000       87.10339    
   404.0000       7578.000       87.05171    
   405.0000       7983.000       89.34763    
   406.0000       7566.000       86.98276    
   407.0000       7730.000       87.92042    
   408.0000       7414.000       86.10459    
   409.0000       7851.000       88.60587    
   410.0000       6859.000       82.81908    
   411.0000       7674.000       87.60137    
   412.0000       7747.000       88.01704    
   413.0000       7448.000       86.30180    
   414.0000       7712.000       87.81799    
   415.0000       7551.000       86.89649    
   416.0000       7615.000       87.26397    
   417.0000       7528.000       86.76405    
   418.0000       7286.000       85.35807    
   419.0000       7014.000       83.74963    
   420.0000       7738.000       87.96590    
   421.0000       7689.000       87.68694    
   422.0000       7869.000       88.70738    
   423.0000       7912.000       88.94942    
   424.0000       7607.000       87.21812    
   425.0000       7723.000       87.88060    
   426.0000       7686.000       87.66984    
   427.0000       7981.000       89.33644    
   428.0000       7689.000       87.68694    
   429.0000       8219.000       90.65870    
   430.0000       7298.000       85.42833    
   431.0000       7284.000       85.34635    
   432.0000       7688.000       87.68124    
   433.0000       7660.000       87.52142    
   434.0000       7589.000       87.11487    
   435.0000       7607.000       87.21812    
   436.0000       7620.000       87.29261    
   437.0000       7924.000       89.01685    
   438.0000       7586.000       87.09765    
   439.0000       7432.000       86.20905    
   440.0000       7874.000       88.73557    
   441.0000       7547.000       86.87347    
   442.0000       7557.000       86.93101    
   443.0000       7412.000       86.09297    
   444.0000       7506.000       86.63718    
   445.0000       7756.000       88.06815    
   446.0000       7667.000       87.56141    
   447.0000       7689.000       87.68694    
   448.0000       7408.000       86.06974    
   449.0000       7883.000       88.78626    
   450.0000       7381.000       85.91275    
   451.0000       7554.000       86.91375    
   452.0000       7665.000       87.54999    
   453.0000       7321.000       85.56284    
   454.0000       7408.000       86.06974    
