sample v-GeO2 1200K x3                                       25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   294.0000       74150.00       272.3050    
   295.0000       75374.00       274.5432    
   296.0000       76250.00       276.1340    
   297.0000       74440.00       272.8369    
   298.0000       72054.00       268.4288    
   299.0000       71363.00       267.1385    
   300.0000       77372.00       278.1582    
   301.0000       73997.00       272.0239    
   302.0000       74508.00       272.9615    
   303.0000       74452.00       272.8589    
   304.0000       73418.00       270.9576    
   305.0000       74783.00       273.4648    
   306.0000       74355.00       272.6811    
   307.0000       74169.00       272.3399    
   308.0000       72319.00       268.9219    
   309.0000       78064.00       279.3994    
   310.0000       70156.00       264.8698    
   311.0000       73684.00       271.4480    
   312.0000       75408.00       274.6052    
   313.0000       72380.00       269.0353    
   314.0000       73055.00       270.2869    
   315.0000       72429.00       269.1264    
   316.0000       73713.00       271.5014    
   317.0000       74884.00       273.6494    
   318.0000       70719.00       265.9305    
   319.0000       65585.00       256.0957    
   320.0000       68471.00       261.6696    
   321.0000       71435.00       267.2733    
   322.0000       73437.00       270.9926    
   323.0000       73132.00       270.4293    
   324.0000       73306.00       270.7508    
   325.0000       72804.00       269.8222    
   326.0000       71842.00       268.0336    
   327.0000       71590.00       267.5631    
   328.0000       69058.00       262.7889    
   329.0000       75160.00       274.1532    
   330.0000       68403.00       261.5397    
   331.0000       70865.00       266.2048    
   332.0000       72715.00       269.6572    
   333.0000       69314.00       263.2755    
   334.0000       70126.00       264.8131    
   335.0000       69798.00       264.1931    
   336.0000       69955.00       264.4901    
   337.0000       70886.00       266.2443    
   338.0000       69200.00       263.0589    
   339.0000       67019.00       258.8803    
   340.0000       74005.00       272.0386    
   341.0000       71396.00       267.2003    
   342.0000       72485.00       269.2304    
   343.0000       73987.00       272.0055    
   344.0000       74601.00       273.1318    
   345.0000       76295.00       276.2155    
   346.0000       73322.00       270.7804    
   347.0000       72770.00       269.7592    
   348.0000       73504.00       271.1162    
   349.0000       77234.00       277.9101    
   350.0000       69334.00       263.3135    
   351.0000       71503.00       267.4005    
   352.0000       73800.00       271.6616    
   353.0000       71657.00       267.6883    
   354.0000       71518.00       267.4285    
   355.0000       72587.00       269.4197    
   356.0000       74842.00       273.5727    
   357.0000       74039.00       272.1011    
   358.0000       72250.00       268.7936    
   359.0000       76227.00       276.0924    
   360.0000       74519.00       272.9817    
   361.0000       72020.00       268.3654    
   362.0000       72266.00       268.8234    
   363.0000       73824.00       271.7057    
   364.0000       73600.00       271.2932    
   365.0000       73064.00       270.3035    
   366.0000       72451.00       269.1672    
   367.0000       74845.00       273.5782    
   368.0000       72602.00       269.4476    
   369.0000       77209.00       277.8651    
   370.0000       68562.00       261.8435    
   371.0000       70171.00       264.8981    
   372.0000       75617.00       274.9854    
