sample v-GeO2 1100K tst                                      23-11-07    50.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   318.0000       2005.000       44.77723    
   319.0000       1922.000       43.84062    
   320.0000       1872.000       43.26662    
   321.0000       2038.000       45.14421    
   322.0000       2051.000       45.28797    
   323.0000       2028.000       45.03332    
   324.0000       1978.000       44.47471    
   325.0000       2024.000       44.98889    
   326.0000       1992.000       44.63183    
   327.0000       1939.000       44.03408    
   328.0000       1917.000       43.78356    
   329.0000       2062.000       45.40925    
   330.0000       1890.000       43.47413    
   331.0000       1889.000       43.46263    
   332.0000       1996.000       44.67662    
   333.0000       1870.000       43.24350    
   334.0000       1888.000       43.45112    
   335.0000       2035.000       45.11097    
   336.0000       1966.000       44.33960    
   337.0000       1969.000       44.37342    
   338.0000       1950.000       44.15881    
   339.0000       1904.000       43.63485    
   340.0000       2046.000       45.23273    
   341.0000       1892.000       43.49713    
   342.0000       2042.000       45.18850    
   343.0000       1969.000       44.37342    
   344.0000       2037.000       45.13314    
   345.0000       2087.000       45.68370    
   346.0000       1994.000       44.65423    
   347.0000       1934.000       43.97727    
   348.0000       2022.000       44.96666    
   349.0000       2166.000       46.54031    
   350.0000       1943.000       44.07948    
   351.0000       1906.000       43.65776    
   352.0000       2036.000       45.12206    
   353.0000       1948.000       44.13615    
   354.0000       1972.000       44.40721    
   355.0000       1940.000       44.04543    
   356.0000       1993.000       44.64303    
   357.0000       1943.000       44.07948    
   358.0000       2048.000       45.25483    
   359.0000       2023.000       44.97777    
   360.0000       1903.000       43.62339    
   361.0000       2000.000       44.72136    
   362.0000       1990.000       44.60942    
   363.0000       1984.000       44.54211    
   364.0000       2003.000       44.75489    
   365.0000       2018.000       44.92215    
   366.0000       1892.000       43.49713    
   367.0000       2080.000       45.60702    
   368.0000       1987.000       44.57578    
   369.0000       2112.000       45.95650    
   370.0000       1873.000       43.27817    
   371.0000       1947.000       44.12482    
   372.0000       2075.000       45.55217    
   373.0000       2011.000       44.84417    
   374.0000       1951.000       44.17012    
   375.0000       2072.000       45.51923    
   376.0000       2073.000       45.53021    
   377.0000       2052.000       45.29901    
   378.0000       1987.000       44.57578    
   379.0000       1884.000       43.40507    
   380.0000       2011.000       44.84417    
   381.0000       1821.000       42.67318    
   382.0000       1959.000       44.26059    
   383.0000       2008.000       44.81071    
   384.0000       2006.000       44.78839    
   385.0000       2012.000       44.85532    
   386.0000       1994.000       44.65423    
   387.0000       2025.000       45.00000    
   388.0000       1965.000       44.32832    
   389.0000       2055.000       45.33211    
   390.0000       1939.000       44.03408    
   391.0000       2039.000       45.15529    
   392.0000       1999.000       44.71018    
   393.0000       1939.000       44.03408    
   394.0000       2109.000       45.92385    
   395.0000       2056.000       45.34314    
   396.0000       2037.000       45.13314    
   397.0000       2081.000       45.61798    
   398.0000       2023.000       44.97777    
   399.0000       2067.000       45.46427    
   400.0000       2079.000       45.59605    
   401.0000       2031.000       45.06662    
   402.0000       2005.000       44.77723    
   403.0000       2052.000       45.29901    
   404.0000       2051.000       45.28797    
   405.0000       2163.000       46.50806    
   406.0000       2120.000       46.04346    
   407.0000       2118.000       46.02173    
   408.0000       2028.000       45.03332    
   409.0000       2007.000       44.79955    
   410.0000       1938.000       44.02272    
   411.0000       2038.000       45.14421    
   412.0000       2117.000       46.01087    
   413.0000       2018.000       44.92215    
   414.0000       2065.000       45.44227    
   415.0000       1964.000       44.31704    
   416.0000       1998.000       44.69899    
   417.0000       2078.000       45.58509    
   418.0000       1978.000       44.47471    
   419.0000       1914.000       43.74929    
   420.0000       2078.000       45.58509    
   421.0000       2042.000       45.18850    
   422.0000       2080.000       45.60702    
   423.0000       2168.000       46.56179    
   424.0000       2079.000       45.59605    
   425.0000       2081.000       45.61798    
   426.0000       2104.000       45.86938    
   427.0000       2157.000       46.44352    
   428.0000       2063.000       45.42026    
   429.0000       2225.000       47.16991    
   430.0000       1928.000       43.90900    
   431.0000       2062.000       45.40925    
   432.0000       2157.000       46.44352    
   433.0000       1952.000       44.18144    
   434.0000       2086.000       45.67275    
   435.0000       2064.000       45.43127    
   436.0000       2006.000       44.78839    
   437.0000       2094.000       45.76025    
   438.0000       2038.000       45.14421    
   439.0000       2028.000       45.03332    
   440.0000       2154.000       46.41121    
   441.0000       2112.000       45.95650    
   442.0000       2199.000       46.89350    
   443.0000       2020.000       44.94441    
   444.0000       2101.000       45.83667    
   445.0000       2162.000       46.49731    
   446.0000       1976.000       44.45222    
   447.0000       2045.000       45.22168    
   448.0000       1992.000       44.63183    
   449.0000       2105.000       45.88028    
   450.0000       2018.000       44.92215    
   451.0000       2051.000       45.28797    
   452.0000       2123.000       46.07602    
   453.0000       2043.000       45.19956    
   454.0000       1949.000       44.14748    
   455.0000       2019.000       44.93328    
