sample v-GeO2 1300K x3                                       25-11-07   500.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   322.0000       18456.00       135.8529    
   323.0000       18286.00       135.2257    
   324.0000       18484.00       135.9559    
   325.0000       18259.00       135.1259    
   326.0000       17863.00       133.6525    
   327.0000       18064.00       134.4024    
   328.0000       17784.00       133.3567    
   329.0000       18663.00       136.6126    
   330.0000       17198.00       131.1411    
   331.0000       17512.00       132.3329    
   332.0000       18301.00       135.2812    
   333.0000       17139.00       130.9160    
   334.0000       17408.00       131.9394    
   335.0000       17462.00       132.1439    
   336.0000       17542.00       132.4462    
   337.0000       17424.00       132.0000    
   338.0000       17206.00       131.1716    
   339.0000       16683.00       129.1627    
   340.0000       18472.00       135.9117    
   341.0000       17426.00       132.0076    
   342.0000       18074.00       134.4396    
   343.0000       18220.00       134.9815    
   344.0000       18493.00       135.9890    
   345.0000       18797.00       137.1022    
   346.0000       18031.00       134.2796    
   347.0000       18426.00       135.7424    
   348.0000       18242.00       135.0629    
   349.0000       19161.00       138.4233    
   350.0000       17124.00       130.8587    
   351.0000       18048.00       134.3428    
   352.0000       18309.00       135.3108    
   353.0000       18029.00       134.2721    
   354.0000       17644.00       132.8307    
   355.0000       18106.00       134.5585    
   356.0000       18710.00       136.7845    
   357.0000       18394.00       135.6245    
   358.0000       17885.00       133.7348    
   359.0000       19133.00       138.3221    
   360.0000       18319.00       135.3477    
   361.0000       18079.00       134.4582    
   362.0000       18213.00       134.9556    
   363.0000       18376.00       135.5581    
   364.0000       18419.00       135.7166    
   365.0000       18229.00       135.0148    
   366.0000       18248.00       135.0852    
   367.0000       18534.00       136.1396    
   368.0000       18074.00       134.4396    
   369.0000       19200.00       138.5641    
   370.0000       17249.00       131.3354    
   371.0000       17499.00       132.2838    
   372.0000       18784.00       137.0547    
   373.0000       17652.00       132.8608    
   374.0000       17861.00       133.6451    
   375.0000       18123.00       134.6217    
   376.0000       18413.00       135.6945    
   377.0000       18495.00       135.9963    
   378.0000       17484.00       132.2271    
   379.0000       16644.00       129.0116    
   380.0000       18573.00       136.2828    
   381.0000       16848.00       129.7999    
   382.0000       17617.00       132.7290    
   383.0000       18519.00       136.0845    
   384.0000       18369.00       135.5323    
   385.0000       18285.00       135.2220    
   386.0000       18128.00       134.6403    
   387.0000       18774.00       137.0182    
   388.0000       17964.00       134.0298    
   389.0000       19282.00       138.8596    
   390.0000       17728.00       133.1465    
   391.0000       18121.00       134.6143    
   392.0000       18504.00       136.0294    
   393.0000       17824.00       133.5066    
   394.0000       18587.00       136.3342    
   395.0000       18536.00       136.1470    
   396.0000       18553.00       136.2094    
   397.0000       18686.00       136.6967    
   398.0000       17969.00       134.0485    
   399.0000       18819.00       137.1824    
   400.0000       18357.00       135.4880    
   401.0000       18502.00       136.0221    
   402.0000       18546.00       136.1837    
   403.0000       18618.00       136.4478    
   404.0000       18902.00       137.4845    
   405.0000       19097.00       138.1919    
   406.0000       18782.00       137.0474    
   407.0000       18505.00       136.0331    
   408.0000       18161.00       134.7628    
   409.0000       19088.00       138.1593    
   410.0000       17243.00       131.3126    
   411.0000       18323.00       135.3625    
   412.0000       18643.00       136.5394    
   413.0000       18334.00       135.4031    
   414.0000       18641.00       136.5320    
   415.0000       18154.00       134.7368    
   416.0000       18802.00       137.1204    
   417.0000       18466.00       135.8897    
   418.0000       17523.00       132.3745    
   419.0000       16974.00       130.2843    
   420.0000       18714.00       136.7991    
   421.0000       18310.00       135.3145    
   422.0000       19170.00       138.4558    
   423.0000       19019.00       137.9094    
   424.0000       18198.00       134.9000    
   425.0000       18803.00       137.1240    
   426.0000       18749.00       136.9270    
   427.0000       19244.00       138.7227    
   428.0000       18573.00       136.2828    
   429.0000       19538.00       139.7784    
   430.0000       17809.00       133.4504    
   431.0000       18284.00       135.2183    
   432.0000       18993.00       137.8151    
   433.0000       18393.00       135.6208    
