Empty fournace                                               25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   185.0000       7823.000       88.44772    
   186.0000       7704.000       87.77243    
   187.0000       7643.000       87.42426    
   188.0000       7612.000       87.24677    
   189.0000       8044.000       89.68835    
   190.0000       7459.000       86.36550    
   191.0000       7502.000       86.61409    
   192.0000       7795.000       88.28930    
   193.0000       7411.000       86.08717    
   194.0000       7538.000       86.82166    
   195.0000       7569.000       87.00000    
   196.0000       7459.000       86.36550    
   197.0000       7491.000       86.55056    
   198.0000       7581.000       87.06894    
   199.0000       7522.000       86.72946    
   200.0000       7050.000       83.96428    
   201.0000       7126.000       84.41564    
   202.0000       7706.000       87.78383    
   203.0000       7760.000       88.09086    
   204.0000       7446.000       86.29021    
   205.0000       7545.000       86.86196    
   206.0000       7508.000       86.64872    
   207.0000       7979.000       89.32525    
   208.0000       7453.000       86.33076    
   209.0000       7747.000       88.01704    
   210.0000       6941.000       83.31267    
   211.0000       7256.000       85.18216    
   212.0000       7812.000       88.38552    
   213.0000       7678.000       87.62420    
   214.0000       7355.000       85.76130    
   215.0000       7226.000       85.00588    
   216.0000       7440.000       86.25543    
   217.0000       7445.000       86.28442    
   218.0000       7081.000       84.14868    
   219.0000       6638.000       81.47392    
   220.0000       7649.000       87.45856    
   221.0000       7343.000       85.69131    
   222.0000       7329.000       85.60958    
   223.0000       7428.000       86.18584    
   224.0000       7275.000       85.29361    
   225.0000       7447.000       86.29601    
   226.0000       7327.000       85.59790    
   227.0000       7541.000       86.83893    
   228.0000       7481.000       86.49277    
   229.0000       7905.000       88.91006    
   230.0000       7024.000       83.80931    
   231.0000       7149.000       84.55176    
   232.0000       7387.000       85.94765    
   233.0000       7508.000       86.64872    
   234.0000       7273.000       85.28188    
   235.0000       7291.000       85.38735    
   236.0000       7305.000       85.46929    
   237.0000       7326.000       85.59206    
   238.0000       7067.000       84.06545    
   239.0000       6515.000       80.71555    
   240.0000       7610.000       87.23531    
   241.0000       7318.000       85.54531    
   242.0000       7709.000       87.80091    
   243.0000       7305.000       85.46929    
   244.0000       7294.000       85.40491    
   245.0000       7546.000       86.86771    
   246.0000       7450.000       86.31339    
   247.0000       7715.000       87.83508    
   248.0000       7239.000       85.08231    
   249.0000       7815.000       88.40249    
   250.0000       6864.000       82.84926    
   251.0000       7037.000       83.88683    
   252.0000       7278.000       85.31120    
   253.0000       7086.000       84.17838    
   254.0000       7253.000       85.16454    
   255.0000       7077.000       84.12491    
   256.0000       7193.000       84.81155    
   257.0000       7002.000       83.67796    
   258.0000       6657.000       81.59044    
   259.0000       5960.000       77.20103    
   260.0000       7363.000       85.80792    
   261.0000       7289.000       85.37564    
   262.0000       7144.000       84.52219    
   263.0000       7127.000       84.42156    
   264.0000       7231.000       85.03529    
   265.0000       7377.000       85.88947    
   266.0000       7323.000       85.57453    
   267.0000       7598.000       87.16650    
   268.0000       7184.000       84.75848    
   269.0000       7734.000       87.94316    
   270.0000       6881.000       82.95179    
   271.0000       6975.000       83.51646    
   272.0000       7467.000       86.41180    
   273.0000       7186.000       84.77028    
   274.0000       6997.000       83.64807    
   275.0000       7062.000       84.03571    
   276.0000       7260.000       85.20564    
   277.0000       6926.000       83.22260    
   278.0000       6666.000       81.64558    
   279.0000       5675.000       75.33260    
   280.0000       7282.000       85.33463    
   281.0000       7108.000       84.30895    
   282.0000       7195.000       84.82335    
   283.0000       7442.000       86.26703    
   284.0000       7207.000       84.89405    
   285.0000       7056.000       84.00000    
   286.0000       7139.000       84.49260    
