sample v-GeO2 350K                                           18-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   356.0000       82498.00       287.2246    
   357.0000       79988.00       282.8215    
   358.0000       79370.00       281.7268    
   359.0000       81464.00       285.4190    
   360.0000       81541.00       285.5538    
   361.0000       77759.00       278.8530    
   362.0000       80418.00       283.5807    
   363.0000       79917.00       282.6960    
   364.0000       80344.00       283.4502    
   365.0000       80578.00       283.8626    
   366.0000       80399.00       283.5472    
   367.0000       81494.00       285.4715    
   368.0000       78763.00       280.6475    
   369.0000       83472.00       288.9152    
   370.0000       77104.00       277.6761    
   371.0000       76234.00       276.1050    
   372.0000       82441.00       287.1254    
   373.0000       78518.00       280.2106    
   374.0000       78963.00       281.0036    
   375.0000       78804.00       280.7205    
   376.0000       80574.00       283.8556    
   377.0000       79982.00       282.8109    
   378.0000       78206.00       279.6534    
   379.0000       75818.00       275.3507    
   380.0000       81429.00       285.3577    
   381.0000       73904.00       271.8529    
   382.0000       78489.00       280.1589    
   383.0000       80664.00       284.0141    
   384.0000       80210.00       283.2137    
   385.0000       80135.00       283.0813    
   386.0000       80962.00       284.5382    
   387.0000       82257.00       286.8048    
   388.0000       78849.00       280.8006    
   389.0000       83227.00       288.4909    
   390.0000       78920.00       280.9270    
   391.0000       79638.00       282.2021    
   392.0000       81161.00       284.8877    
   393.0000       77498.00       278.3846    
   394.0000       81499.00       285.4803    
   395.0000       81077.00       284.7402    
   396.0000       82694.00       287.5656    
   397.0000       82365.00       286.9930    
   398.0000       80365.00       283.4872    
   399.0000       82128.00       286.5798    
   400.0000       82213.00       286.7281    
   401.0000       80376.00       283.5066    
   402.0000       82461.00       287.1602    
   403.0000       81107.00       284.7929    
   404.0000       82462.00       287.1620    
   405.0000       84480.00       290.6544    
   406.0000       83882.00       289.6239    
   407.0000       80326.00       283.4184    
   408.0000       80146.00       283.1007    
   409.0000       83613.00       289.1591    
   410.0000       77061.00       277.5986    
   411.0000       81435.00       285.3682    
   412.0000       83367.00       288.7334    
   413.0000       80809.00       284.2692    
   414.0000       83834.00       289.5410    
   415.0000       80787.00       284.2305    
   416.0000       82732.00       287.6317    
   417.0000       81594.00       285.6466    
   418.0000       79124.00       281.2899    
   419.0000       76748.00       277.0343    
   420.0000       83578.00       289.0986    
   421.0000       82333.00       286.9373    
   422.0000       86835.00       294.6778    
   423.0000       84767.00       291.1477    
   424.0000       83019.00       288.1302    
   425.0000       85065.00       291.6591    
   426.0000       86258.00       293.6971    
   427.0000       85855.00       293.0103    
   428.0000       84378.00       290.4789    
   429.0000       87984.00       296.6210    
   430.0000       82409.00       287.0697    
   431.0000       82619.00       287.4352    
   432.0000       87296.00       295.4590    
   433.0000       83362.00       288.7248    
   434.0000       86410.00       293.9558    
   435.0000       83624.00       289.1781    
   436.0000       83806.00       289.4926    
   437.0000       85852.00       293.0051    
   438.0000       84995.00       291.5390    
   439.0000       81579.00       285.6204    
   440.0000       87965.00       296.5889    
   441.0000       85840.00       292.9846    
   442.0000       83522.00       289.0017    
   443.0000       81737.00       285.8968    
   444.0000       83988.00       289.8068    
   445.0000       85450.00       292.3183    
   446.0000       84557.00       290.7869    
   447.0000       84505.00       290.6974    
   448.0000       83153.00       288.3626    
   449.0000       88254.00       297.0757    
   450.0000       83015.00       288.1232    
   451.0000       82628.00       287.4509    
   452.0000       85268.00       292.0068    
   453.0000       82516.00       287.2560    
   454.0000       83697.00       289.3044    
   455.0000       82170.00       286.6531    
   456.0000       84774.00       291.1598    
   457.0000       83015.00       288.1232    
   458.0000       83053.00       288.1892    
   459.0000       78531.00       280.2338    
   460.0000       94930.00       308.1071    
   461.0000       81716.00       285.8601    
   462.0000       83851.00       289.5704    
   463.0000       84611.00       290.8797    
   464.0000       85438.00       292.2978    
   465.0000       84329.00       290.3946    
   466.0000       83990.00       289.8103    
   467.0000       84269.00       290.2912    
   468.0000       81998.00       286.3529    
   469.0000       86282.00       293.7380    
   470.0000       82786.00       287.7256    
   471.0000       80706.00       284.0880    
   472.0000       81562.00       285.5906    
   473.0000       81165.00       284.8947    
   474.0000       81920.00       286.2167    
   475.0000       80933.00       284.4872    
   476.0000       85099.00       291.7173    
   477.0000       82219.00       286.7386    
   478.0000       80800.00       284.2534    
   479.0000       83617.00       289.1660    
   480.0000       75904.00       275.5068    
   481.0000       81096.00       284.7736    
   482.0000       83154.00       288.3643    
   483.0000       80259.00       283.3002    
   484.0000       79274.00       281.5564    
   485.0000       80066.00       282.9594    
   486.0000       81760.00       285.9370    
   487.0000       81966.00       286.2971    
   488.0000       80091.00       283.0035    
   489.0000       85579.00       292.5389    
   490.0000       79788.00       282.4677    
   491.0000       77794.00       278.9158    
   492.0000       82410.00       287.0714    
   493.0000       79391.00       281.7641    
   494.0000       81273.00       285.0842    
   495.0000       79459.00       281.8847    
   496.0000       80971.00       284.5540    
   497.0000       82399.00       287.0522    
   498.0000       80512.00       283.7464    
   499.0000       78877.00       280.8505    
   500.0000       79334.00       281.6629    
   501.0000       78156.00       279.5639    
   502.0000       79288.00       281.5812    
   503.0000       77463.00       278.3217    
   504.0000       80165.00       283.1342    
   505.0000       81847.00       286.0891    
   506.0000       81756.00       285.9301    
   507.0000       82528.00       287.2769    
