sample v-GeO2 850K			21-11-07  2000.000K
   319.0000       75080.00       274.0073    
   320.0000       76736.00       277.0126    
   321.0000       79853.00       282.5827    
   322.0000       82262.00       286.8135    
   323.0000       82021.00       286.3931    
   324.0000       81671.00       285.7814    
   325.0000       80651.00       283.9912    
   326.0000       79997.00       282.8374    
   327.0000       80854.00       284.3484    
   328.0000       77538.00       278.4565    
   329.0000       82964.00       288.0347    
   330.0000       76624.00       276.8104    
   331.0000       77758.00       278.8512    
   332.0000       79890.00       282.6482    
   333.0000       76040.00       275.7535    
   334.0000       77392.00       278.1942    
   335.0000       77309.00       278.0450    
   336.0000       77081.00       277.6346    
   337.0000       78095.00       279.4548    
   338.0000       76489.00       276.5664    
   339.0000       75887.00       275.4760    
   340.0000       81896.00       286.1748    
   341.0000       77303.00       278.0342    
   342.0000       79150.00       281.3361    
   343.0000       80508.00       283.7393    
   344.0000       81391.00       285.2911    
   345.0000       83113.00       288.2932    
   346.0000       79755.00       282.4093    
   347.0000       79448.00       281.8652    
   348.0000       79925.00       282.7101    
   349.0000       84193.00       290.1603    
   350.0000       75909.00       275.5159    
   351.0000       78906.00       280.9021    
   352.0000       80753.00       284.1707    
   353.0000       78172.00       279.5926    
   354.0000       78447.00       280.0839    
   355.0000       78786.00       280.6884    
   356.0000       81964.00       286.2935    
   357.0000       80262.00       283.3055    
   358.0000       78490.00       280.1607    
   359.0000       82859.00       287.8524    
   360.0000       81699.00       285.8304    
   361.0000       78483.00       280.1482    
   362.0000       79506.00       281.9681    
   363.0000       80920.00       284.4644    
   364.0000       80458.00       283.6512    
   365.0000       80358.00       283.4749    
   366.0000       79565.00       282.0727    
   367.0000       81763.00       285.9423    
   368.0000       79076.00       281.2046    
   369.0000       84115.00       290.0258    
   370.0000       74895.00       273.6695    
   371.0000       76458.00       276.5104    
   372.0000       82332.00       286.9355    
   373.0000       78236.00       279.7070    
   374.0000       78460.00       280.1071    
   375.0000       79462.00       281.8900    
   376.0000       80142.00       283.0936    
   377.0000       81343.00       285.2069    
   378.0000       77425.00       278.2535    
   379.0000       74956.00       273.7809    
   380.0000       81851.00       286.0961    
   381.0000       73578.00       271.2527    
   382.0000       77596.00       278.5606    
   383.0000       81092.00       284.7666    
   384.0000       79747.00       282.3951    
   385.0000       80544.00       283.8027    
   386.0000       80605.00       283.9102    
   387.0000       82693.00       287.5639    
   388.0000       78927.00       280.9395    
   389.0000       84575.00       290.8178    
   390.0000       78176.00       279.5997    
   391.0000       80592.00       283.8873    
   392.0000       80965.00       284.5435    
   393.0000       77190.00       277.8309    
   394.0000       80714.00       284.1021    
   395.0000       81376.00       285.2648    
