empty can 800K cell                                          16-11-07    37.707K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   315.0000       803.0000       28.33726    
   316.0000       856.0000       29.25748    
   317.0000       832.0000       28.84441    
   318.0000       832.0000       28.84441    
   319.0000       745.0000       27.29469    
   320.0000       763.0000       27.62245    
   321.0000       864.0000       29.39388    
   322.0000       876.0000       29.59730    
   323.0000       801.0000       28.30194    
   324.0000       848.0000       29.12044    
   325.0000       779.0000       27.91057    
   326.0000       815.0000       28.54820    
   327.0000       835.0000       28.89637    
   328.0000       801.0000       28.30194    
   329.0000       797.0000       28.23119    
   330.0000       799.0000       28.26659    
   331.0000       801.0000       28.30194    
   332.0000       841.0000       29.00000    
   333.0000       814.0000       28.53069    
   334.0000       830.0000       28.80972    
   335.0000       796.0000       28.21347    
   336.0000       787.0000       28.05352    
   337.0000       856.0000       29.25748    
   338.0000       827.0000       28.75761    
   339.0000       788.0000       28.07134    
   340.0000       858.0000       29.29164    
   341.0000       807.0000       28.40775    
   342.0000       870.0000       29.49576    
   343.0000       816.0000       28.56571    
   344.0000       865.0000       29.41088    
   345.0000       924.0000       30.39737    
   346.0000       854.0000       29.22328    
   347.0000       882.0000       29.69848    
   348.0000       863.0000       29.37686    
   349.0000       958.0000       30.95157    
   350.0000       803.0000       28.33726    
   351.0000       889.0000       29.81610    
   352.0000       872.0000       29.52965    
   353.0000       793.0000       28.16026    
   354.0000       871.0000       29.51271    
   355.0000       856.0000       29.25748    
   356.0000       866.0000       29.42788    
   357.0000       806.0000       28.39014    
   358.0000       863.0000       29.37686    
   359.0000       863.0000       29.37686    
   360.0000       856.0000       29.25748    
   361.0000       852.0000       29.18904    
   362.0000       861.0000       29.34280    
   363.0000       889.0000       29.81610    
   364.0000       866.0000       29.42788    
   365.0000       883.0000       29.71532    
   366.0000       836.0000       28.91366    
   367.0000       935.0000       30.57777    
   368.0000       787.0000       28.05352    
   369.0000       887.0000       29.78255    
   370.0000       825.0000       28.72281    
   371.0000       850.0000       29.15476    
   372.0000       872.0000       29.52965    
   373.0000       865.0000       29.41088    
   374.0000       839.0000       28.96550    
   375.0000       840.0000       28.98275    
   376.0000       870.0000       29.49576    
   377.0000       867.0000       29.44486    
   378.0000       830.0000       28.80972    
   379.0000       773.0000       27.80288    
   380.0000       883.0000       29.71532    
   381.0000       740.0000       27.20294    
   382.0000       871.0000       29.51271    
   383.0000       867.0000       29.44486    
   384.0000       850.0000       29.15476    
   385.0000       853.0000       29.20616    
   386.0000       846.0000       29.08608    
   387.0000       884.0000       29.73214    
   388.0000       829.0000       28.79236    
   389.0000       891.0000       29.84962    
   390.0000       812.0000       28.49561    
   391.0000       833.0000       28.86174    
   392.0000       827.0000       28.75761    
   393.0000       822.0000       28.67054    
   394.0000       846.0000       29.08608    
   395.0000       867.0000       29.44486    
   396.0000       845.0000       29.06888    
   397.0000       862.0000       29.35984    
   398.0000       851.0000       29.17190    
   399.0000       909.0000       30.14963    
   400.0000       902.0000       30.03332    
   401.0000       864.0000       29.39388    
   402.0000       852.0000       29.18904    
   403.0000       854.0000       29.22328    
   404.0000       907.0000       30.11644    
   405.0000       877.0000       29.61419    
   406.0000       783.0000       27.98214    
   407.0000       805.0000       28.37252    
   408.0000       825.0000       28.72281    
   409.0000       837.0000       28.93095    
   410.0000       796.0000       28.21347    
   411.0000       801.0000       28.30194    
   412.0000       842.0000       29.01724    
   413.0000       788.0000       28.07134    
   414.0000       803.0000       28.33726    
   415.0000       840.0000       28.98275    
   416.0000       888.0000       29.79933    
   417.0000       820.0000       28.63564    
   418.0000       759.0000       27.54996    
   419.0000       785.0000       28.01785    
   420.0000       792.0000       28.14249    
   421.0000       841.0000       29.00000    
   422.0000       781.0000       27.94638    
   423.0000       799.0000       28.26659    
   424.0000       828.0000       28.77499    
   425.0000       849.0000       29.13760    
   426.0000       888.0000       29.79933    
   427.0000       844.0000       29.05168    
   428.0000       818.0000       28.60070    
   429.0000       794.0000       28.17801    
   430.0000       797.0000       28.23119    
   431.0000       830.0000       28.80972    
   432.0000       823.0000       28.68798    
   433.0000       785.0000       28.01785    
   434.0000       872.0000       29.52965    
   435.0000       820.0000       28.63564    
   436.0000       829.0000       28.79236    
   437.0000       804.0000       28.35489    
   438.0000       774.0000       27.82086    
   439.0000       791.0000       28.12472    
   440.0000       867.0000       29.44486    
   441.0000       869.0000       29.47881    
   442.0000       869.0000       29.47881    
   443.0000       770.0000       27.74887    
   444.0000       815.0000       28.54820    
   445.0000       819.0000       28.61818    
   446.0000       868.0000       29.46184    
   447.0000       766.0000       27.67670    
   448.0000       799.0000       28.26659    
   449.0000       846.0000       29.08608    
   450.0000       837.0000       28.93095    
   451.0000       862.0000       29.35984    
   452.0000       812.0000       28.49561    
   453.0000       780.0000       27.92848    
   454.0000       837.0000       28.93095    
   455.0000       856.0000       29.25748    
   456.0000       829.0000       28.79236    
   457.0000       816.0000       28.56571    
   458.0000       780.0000       27.92848    
   459.0000       730.0000       27.01851    
   460.0000       920.0000       30.33150    
   461.0000       771.0000       27.76689    
   462.0000       769.0000       27.73085    
   463.0000       811.0000       28.47806    
   464.0000       834.0000       28.87906    
   465.0000       808.0000       28.42534    
   466.0000       841.0000       29.00000    
   467.0000       844.0000       29.05168    
   468.0000       863.0000       29.37686    
   469.0000       916.0000       30.26549    
   470.0000       828.0000       28.77499    
   471.0000       806.0000       28.39014    
   472.0000       773.0000       27.80288    
   473.0000       786.0000       28.03569    
   474.0000       810.0000       28.46050    
   475.0000       808.0000       28.42534    
   476.0000       835.0000       28.89637    
   477.0000       805.0000       28.37252    
   478.0000       828.0000       28.77499    
   479.0000       864.0000       29.39388    
   480.0000       791.0000       28.12472    
   481.0000       857.0000       29.27456    
   482.0000       829.0000       28.79236    
   483.0000       877.0000       29.61419    
   484.0000       845.0000       29.06888    
   485.0000       836.0000       28.91366    
   486.0000       861.0000       29.34280    
   487.0000       885.0000       29.74895    
   488.0000       849.0000       29.13760    
   489.0000       861.0000       29.34280    
   490.0000       832.0000       28.84441    
   491.0000       771.0000       27.76689    
   492.0000       884.0000       29.73214    
   493.0000       832.0000       28.84441    
   494.0000       795.0000       28.19574    
   495.0000       778.0000       27.89265    
   496.0000       814.0000       28.53069    
   497.0000       861.0000       29.34280    
   498.0000       856.0000       29.25748    
   499.0000       794.0000       28.17801    
   500.0000       828.0000       28.77499    
   501.0000       871.0000       29.51271    
   502.0000       846.0000       29.08608    
   503.0000       811.0000       28.47806    
   504.0000       871.0000       29.51271    
   505.0000       806.0000       28.39014    
   506.0000       878.0000       29.63107    
   507.0000       852.0000       29.18904    
   508.0000       860.0000       29.32576    
   509.0000       868.0000       29.46184    
   510.0000       813.0000       28.51315    
   511.0000       830.0000       28.80972    
   512.0000       854.0000       29.22328    
   513.0000       788.0000       28.07134    
   514.0000       895.0000       29.91655    
   515.0000       819.0000       28.61818    
   516.0000       833.0000       28.86174    
   517.0000       849.0000       29.13760    
   518.0000       904.0000       30.06659    
   519.0000       861.0000       29.34280    
   520.0000       872.0000       29.52965    
   521.0000       811.0000       28.47806    
   522.0000       844.0000       29.05168    
   523.0000       811.0000       28.47806    
   524.0000       787.0000       28.05352    
   525.0000       809.0000       28.44292    
   526.0000       778.0000       27.89265    
   527.0000       832.0000       28.84441    
   528.0000       815.0000       28.54820    
   529.0000       895.0000       29.91655    
   530.0000       793.0000       28.16026    
   531.0000       839.0000       28.96550    
   532.0000       862.0000       29.35984    
   533.0000       853.0000       29.20616    
   534.0000       871.0000       29.51271    
   535.0000       843.0000       29.03446    
   536.0000       894.0000       29.89983    
   537.0000       826.0000       28.74022    
   538.0000       782.0000       27.96426    
   539.0000       871.0000       29.51271    
   540.0000       854.0000       29.22328    
   541.0000       817.0000       28.58321    
   542.0000       826.0000       28.74022    
   543.0000       889.0000       29.81610    
   544.0000       857.0000       29.27456    
   545.0000       849.0000       29.13760    
   546.0000       848.0000       29.12044    
   547.0000       908.0000       30.13304    
   548.0000       838.0000       28.94823    
   549.0000       828.0000       28.77499    
   550.0000       815.0000       28.54820    
   551.0000       914.0000       30.23243    
   552.0000       817.0000       28.58321    
   553.0000       820.0000       28.63564    
   554.0000       821.0000       28.65310    
   555.0000       845.0000       29.06888    
   556.0000       854.0000       29.22328    
   557.0000       824.0000       28.70540    
   558.0000       802.0000       28.31960    
   559.0000       810.0000       28.46050    
   560.0000       858.0000       29.29164    
   561.0000       794.0000       28.17801    
   562.0000       839.0000       28.96550    
   563.0000       822.0000       28.67054    
   564.0000       809.0000       28.44292    
   565.0000       829.0000       28.79236    
   566.0000       869.0000       29.47881    
   567.0000       925.0000       30.41381    
   568.0000       763.0000       27.62245    
   569.0000       847.0000       29.10326    
   570.0000       792.0000       28.14249    
   571.0000       800.0000       28.28427    
   572.0000       906.0000       30.09983    
   573.0000       808.0000       28.42534    
   574.0000       855.0000       29.24038    
   575.0000       812.0000       28.49561    
   576.0000       815.0000       28.54820    
   577.0000       800.0000       28.28427    
   578.0000       828.0000       28.77499    
   579.0000       731.0000       27.03701    
   580.0000       805.0000       28.37252    
   581.0000       791.0000       28.12472    
   582.0000       775.0000       27.83882    
   583.0000       782.0000       27.96426    
   584.0000       879.0000       29.64793    
   585.0000       769.0000       27.73085    
   586.0000       791.0000       28.12472    
   587.0000       769.0000       27.73085    
   588.0000       761.0000       27.58623    
   589.0000       799.0000       28.26659    
   590.0000       758.0000       27.53180    
   591.0000       753.0000       27.44085    
   592.0000       786.0000       28.03569    
   593.0000       713.0000       26.70206    
   594.0000       766.0000       27.67670    
   595.0000       795.0000       28.19574    
   596.0000       747.0000       27.33130    
   597.0000       714.0000       26.72078    
   598.0000       737.0000       27.14774    
   599.0000       710.0000       26.64582    
   600.0000       743.0000       27.25803    
   601.0000       727.0000       26.96294    
   602.0000       695.0000       26.36285    
   603.0000       774.0000       27.82086    
   604.0000       757.0000       27.51363    
   605.0000       772.0000       27.78489    
   606.0000       754.0000       27.45906    
   607.0000       759.0000       27.54996    
   608.0000       747.0000       27.33130    
   609.0000       793.0000       28.16026    
   610.0000       675.0000       25.98076    
   611.0000       712.0000       26.68333    
   612.0000       733.0000       27.07397    
   613.0000       715.0000       26.73948    
   614.0000       667.0000       25.82634    
   615.0000       706.0000       26.57066    
   616.0000       736.0000       27.12932    
   617.0000       692.0000       26.30589    
   618.0000       872.0000       29.52965    
   619.0000       851.0000       29.17190    
   620.0000       973.0000       31.19295    
   621.0000       831.0000       28.82707    
   622.0000       887.0000       29.78255    
   623.0000       871.0000       29.51271    
   624.0000       833.0000       28.86174    
   625.0000       886.0000       29.76575    
   626.0000       837.0000       28.93095    
   627.0000       894.0000       29.89983    
   628.0000       798.0000       28.24889    
   629.0000       848.0000       29.12044    
   630.0000       775.0000       27.83882    
   631.0000       806.0000       28.39014    
   632.0000       779.0000       27.91057    
   633.0000       751.0000       27.40438    
   634.0000       869.0000       29.47881    
   635.0000       789.0000       28.08914    
   636.0000       833.0000       28.86174    
   637.0000       850.0000       29.15476    
   638.0000       829.0000       28.79236    
   639.0000       790.0000       28.10694    
