sample v-GeO2 1000K                                          22-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   267.0000       89942.00       299.9033    
   268.0000       85773.00       292.8703    
   269.0000       91663.00       302.7590    
   270.0000       82894.00       287.9132    
   271.0000       83013.00       288.1198    
   272.0000       87830.00       296.3613    
   273.0000       86156.00       293.5234    
   274.0000       85082.00       291.6882    
   275.0000       84886.00       291.3520    
   276.0000       87516.00       295.8310    
   277.0000       85553.00       292.4944    
   278.0000       82538.00       287.2943    
   279.0000       72479.00       269.2192    
   280.0000       88006.00       296.6581    
   281.0000       85893.00       293.0751    
   282.0000       86624.00       294.3195    
   283.0000       87039.00       295.0237    
   284.0000       85502.00       292.4073    
   285.0000       86237.00       293.6614    
   286.0000       85492.00       292.3901    
   287.0000       88591.00       297.6424    
   288.0000       84224.00       290.2137    
   289.0000       89436.00       299.0585    
   290.0000       82591.00       287.3865    
   291.0000       84400.00       290.5168    
   292.0000       87129.00       295.1762    
   293.0000       83753.00       289.4011    
   294.0000       83158.00       288.3713    
   295.0000       83841.00       289.5531    
   296.0000       85893.00       293.0751    
   297.0000       82799.00       287.7482    
   298.0000       79599.00       282.1329    
   299.0000       80287.00       283.3496    
   300.0000       87610.00       295.9899    
   301.0000       82878.00       287.8854    
   302.0000       84417.00       290.5461    
   303.0000       84190.00       290.1551    
   304.0000       82926.00       287.9688    
   305.0000       84589.00       290.8419    
   306.0000       84334.00       290.4032    
   307.0000       82778.00       287.7117    
   308.0000       81494.00       285.4715    
   309.0000       87925.00       296.5215    
   310.0000       80037.00       282.9081    
   311.0000       83722.00       289.3475    
   312.0000       85309.00       292.0771    
   313.0000       81282.00       285.1000    
   314.0000       82392.00       287.0401    
   315.0000       80815.00       284.2798    
   316.0000       82326.00       286.9251    
   317.0000       84188.00       290.1517    
   318.0000       79663.00       282.2463    
   319.0000       74446.00       272.8479    
   320.0000       75998.00       275.6773    
   321.0000       80818.00       284.2851    
   322.0000       81547.00       285.5644    
   323.0000       81947.00       286.2639    
   324.0000       81640.00       285.7271    
