Empty fournace avelenght calibration                         25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   318.0000       6792.000       82.41359    
   319.0000       6156.000       78.46018    
   320.0000       6454.000       80.33679    
   321.0000       6845.000       82.73451    
   322.0000       6897.000       83.04818    
   323.0000       7087.000       84.18432    
   324.0000       6777.000       82.32253    
   325.0000       6949.000       83.36066    
   326.0000       6766.000       82.25570    
   327.0000       6834.000       82.66801    
   328.0000       6571.000       81.06171    
   329.0000       7148.000       84.54585    
   330.0000       6650.000       81.54753    
   331.0000       6815.000       82.55302    
   332.0000       6723.000       81.99390    
   333.0000       6656.000       81.58431    
   334.0000       6613.000       81.32035    
   335.0000       6681.000       81.73738    
   336.0000       6489.000       80.55433    
   337.0000       6864.000       82.84926    
   338.0000       6582.000       81.12952    
   339.0000       6363.000       79.76842    
   340.0000       7096.000       84.23776    
   341.0000       6726.000       82.01219    
   342.0000       7006.000       83.70185    
   343.0000       6928.000       83.23461    
   344.0000       7097.000       84.24369    
   345.0000       7175.000       84.70537    
   346.0000       7028.000       83.83317    
   347.0000       7048.000       83.95237    
   348.0000       7088.000       84.19026    
   349.0000       7299.000       85.43419    
   350.0000       6660.000       81.60883    
   351.0000       6979.000       83.54041    
   352.0000       7137.000       84.48077    
   353.0000       6828.000       82.63171    
   354.0000       6878.000       82.93371    
   355.0000       7034.000       83.86894    
   356.0000       7080.000       84.14274    
   357.0000       7022.000       83.79737    
   358.0000       6894.000       83.03011    
   359.0000       7249.000       85.14106    
   360.0000       7150.000       84.55767    
   361.0000       6695.000       81.82298    
   362.0000       6795.000       82.43179    
   363.0000       7057.000       84.00595    
   364.0000       6848.000       82.75264    
   365.0000       6785.000       82.37111    
   366.0000       6861.000       82.83115    
   367.0000       7043.000       83.92258    
   368.0000       6611.000       81.30806    
   369.0000       7175.000       84.70537    
   370.0000       6385.000       79.90620    
   371.0000       6579.000       81.11104    
   372.0000       6921.000       83.19255    
   373.0000       6638.000       81.47392    
   374.0000       6824.000       82.60751    
   375.0000       6761.000       82.22530    
   376.0000       6761.000       82.22530    
   377.0000       6892.000       83.01807    
   378.0000       6469.000       80.43009    
   379.0000       6279.000       79.24014    
   380.0000       6853.000       82.78285    
   381.0000       6231.000       78.93668    
   382.0000       6405.000       80.03124    
   383.0000       6964.000       83.45058    
   384.0000       6657.000       81.59044    
   385.0000       6737.000       82.07923    
   386.0000       6685.000       81.76185    
   387.0000       6772.000       82.29216    
   388.0000       6530.000       80.80842    
   389.0000       7020.000       83.78544    
   390.0000       6407.000       80.04374    
   391.0000       6617.000       81.34495    
   392.0000       6767.000       82.26178    
   393.0000       6415.000       80.09370    
   394.0000       6633.000       81.44323    
   395.0000       6695.000       81.82298    
   396.0000       6658.000       81.59657    
   397.0000       6642.000       81.49847    
   398.0000       6640.000       81.48620    
   399.0000       6625.000       81.39410    
   400.0000       6601.000       81.24654    
   401.0000       6683.000       81.74962    
   402.0000       6633.000       81.44323    
   403.0000       6516.000       80.72174    
   404.0000       6604.000       81.26500    
   405.0000       6773.000       82.29824    
   406.0000       6499.000       80.61638    
   407.0000       6523.000       80.76509    
   408.0000       6412.000       80.07497    
   409.0000       6586.000       81.15417    
   410.0000       5962.000       77.21399    
   411.0000       6372.000       79.82481    
   412.0000       6593.000       81.19729    
   413.0000       6374.000       79.83733    
   414.0000       6589.000       81.17265    
   415.0000       6446.000       80.28699    
   416.0000       6454.000       80.33679    
   417.0000       6480.000       80.49844    
   418.0000       6075.000       77.94228    
   419.0000       6078.000       77.96153    
   420.0000       6544.000       80.89500    
   421.0000       6300.000       79.37254    
   422.0000       6581.000       81.12336    
   423.0000       6744.000       82.12186    
   424.0000       6451.000       80.31812    
   425.0000       6520.000       80.74651    
   426.0000       6529.000       80.80223    
   427.0000       6584.000       81.14185    
   428.0000       6435.000       80.21845    
   429.0000       6699.000       81.84742    
   430.0000       6054.000       77.80746    
   431.0000       6271.000       79.18964    
   432.0000       6449.000       80.30566    
   433.0000       6289.000       79.30322    
   434.0000       6434.000       80.21222    
   435.0000       6199.000       78.73373    
   436.0000       6282.000       79.25907    
   437.0000       6397.000       79.98125    
   438.0000       6295.000       79.34103    
   439.0000       5979.000       77.32400    
   440.0000       6676.000       81.70679    
   441.0000       6320.000       79.49843    
   442.0000       6107.000       78.14729    
   443.0000       6111.000       78.17288    
   444.0000       6047.000       77.76246    
   445.0000       6380.000       79.87490    
   446.0000       6251.000       79.06326    
   447.0000       6079.000       77.96794    
   448.0000       6082.000       77.98717    
   449.0000       6492.000       80.57294    
   450.0000       5889.000       76.73982    
   451.0000       6158.000       78.47292    
   452.0000       6248.000       79.04429    
   453.0000       6123.000       78.24960    
   454.0000       6018.000       77.57577    
   455.0000       6224.000       78.89233    
   456.0000       6235.000       78.96201    
   457.0000       6109.000       78.16010    
   458.0000       5977.000       77.31106    
   459.0000       5628.000       75.02000    
   460.0000       7052.000       83.97619    
   461.0000       6032.000       77.66595    
   462.0000       6097.000       78.08329    
   463.0000       6391.000       79.94373    
   464.0000       6235.000       78.96201    
   465.0000       6320.000       79.49843    
   466.0000       6216.000       78.84161    
   467.0000       6290.000       79.30952    
   468.0000       6144.000       78.38367    
   469.0000       6546.000       80.90736    
   470.0000       6001.000       77.46612    
   471.0000       6096.000       78.07688    
   472.0000       6073.000       77.92946    
   473.0000       6078.000       77.96153    
   474.0000       5923.000       76.96103    
   475.0000       6019.000       77.58221    
   476.0000       6365.000       79.78095    
   477.0000       6102.000       78.11530    
   478.0000       5967.000       77.24636    
   479.0000       6190.000       78.67655    
   480.0000       5586.000       74.73955    
   481.0000       6032.000       77.66595    
   482.0000       6181.000       78.61934    
   483.0000       6014.000       77.54998    
   484.0000       6007.000       77.50484    
   485.0000       5966.000       77.23988    
   486.0000       5922.000       76.95453    
   487.0000       6148.000       78.40918    
   488.0000       5968.000       77.25283    
   489.0000       6235.000       78.96201    
   490.0000       5753.000       75.84853    
   491.0000       6022.000       77.60155    
   492.0000       6301.000       79.37884    
   493.0000       6055.000       77.81388    
   494.0000       6069.000       77.90379    
   495.0000       5956.000       77.17513    
   496.0000       6074.000       77.93587    
   497.0000       6309.000       79.42921    
   498.0000       6133.000       78.31347    
   499.0000       5983.000       77.34985    
   500.0000       5993.000       77.41447    
   501.0000       5980.000       77.33046    
   502.0000       5993.000       77.41447    
   503.0000       5919.000       76.93504    
   504.0000       6023.000       77.60799    
   505.0000       6164.000       78.51115    
   506.0000       6229.000       78.92401    
   507.0000       6301.000       79.37884    
   508.0000       5973.000       77.28519    
   509.0000       6265.000       79.15176    
   510.0000       5753.000       75.84853    
   511.0000       5909.000       76.87002    
   512.0000       6107.000       78.14729    
   513.0000       5755.000       75.86172    
   514.0000       5935.000       77.03895    
   515.0000       5921.000       76.94804    
   516.0000       6072.000       77.92304    
   517.0000       6244.000       79.01898    
   518.0000       5964.000       77.22694    
   519.0000       6026.000       77.62731    
   520.0000       6500.000       80.62257    
   521.0000       5721.000       75.63729    
   522.0000       5939.000       77.06491    
   523.0000       6072.000       77.92304    
   524.0000       6088.000       78.02563    
   525.0000       6001.000       77.46612    
   526.0000       6074.000       77.93587    
   527.0000       6350.000       79.68689    
   528.0000       5799.000       76.15117    
   529.0000       6340.000       79.62411    
   530.0000       5909.000       76.87002    
   531.0000       6042.000       77.73030    
   532.0000       6044.000       77.74316    
   533.0000       5954.000       77.16217    
   534.0000       5977.000       77.31106    
   535.0000       5808.000       76.21024    
   536.0000       6338.000       79.61156    
   537.0000       6147.000       78.40281    
   538.0000       5774.000       75.98684    
   539.0000       5997.000       77.44030    
   540.0000       6161.000       78.49203    
   541.0000       5743.000       75.78259    
   542.0000       6031.000       77.65952    
   543.0000       6188.000       78.66384    
   544.0000       6181.000       78.61934    
   545.0000       6103.000       78.12170    
   546.0000       6142.000       78.37091    
   547.0000       6220.000       78.86697    
   548.0000       6097.000       78.08329    
   549.0000       6331.000       79.56758    
   550.0000       5890.000       76.74634    
   551.0000       5973.000       77.28519    
   552.0000       6059.000       77.83958    
   553.0000       5871.000       76.62245    
   554.0000       6055.000       77.81388    
   555.0000       6063.000       77.86526    
   556.0000       6082.000       77.98717    
   557.0000       5976.000       77.30460    
   558.0000       5849.000       76.47875    
   559.0000       5342.000       73.08899    
   560.0000       5757.000       75.87490    
   561.0000       5906.000       76.85050    
   562.0000       5814.000       76.24959    
   563.0000       5855.000       76.51797    
   564.0000       5958.000       77.18808    
   565.0000       5870.000       76.61593    
   566.0000       6023.000       77.60799    
   567.0000       5954.000       77.16217    
   568.0000       5671.000       75.30605    
   569.0000       6150.000       78.42194    
   570.0000       5649.000       75.15983    
   571.0000       5623.000       74.98666    
   572.0000       6038.000       77.70457    
   573.0000       5835.000       76.38717    
   574.0000       5919.000       76.93504    
   575.0000       5624.000       74.99333    
   576.0000       5632.000       75.04665    
   577.0000       6001.000       77.46612    
   578.0000       5502.000       74.17547    
   579.0000       4685.000       68.44706    
   580.0000       5742.000       75.77599    
   581.0000       5666.000       75.27283    
   582.0000       5852.000       76.49837    
   583.0000       5787.000       76.07233    
   584.0000       5696.000       75.47185    
   585.0000       5844.000       76.44606    
   586.0000       5734.000       75.72318    
   587.0000       6010.000       77.52419    
   588.0000       5595.000       74.79974    
   589.0000       6032.000       77.66595    
   590.0000       5445.000       73.79025    
   591.0000       5387.000       73.39619    
   592.0000       5720.000       75.63068    
   593.0000       5265.000       72.56032    
   594.0000       5450.000       73.82411    
   595.0000       5701.000       75.50497    
   596.0000       5667.000       75.27948    
   597.0000       5316.000       72.91090    
   598.0000       5321.000       72.94518    
   599.0000       5094.000       71.37226    
   600.0000       5800.000       76.15773    
   601.0000       5436.000       73.72923    
   602.0000       5352.000       73.15736    
   603.0000       5688.000       75.41883    
   604.0000       5440.000       73.75636    
   605.0000       5368.000       73.26664    
   606.0000       5272.000       72.60854    
   607.0000       5516.000       74.26978    
   608.0000       5421.000       73.62744    
   609.0000       5614.000       74.92663    
   610.0000       5182.000       71.98611    
   611.0000       5276.000       72.63608    
   612.0000       5369.000       73.27346    
   613.0000       5197.000       72.09022    
   614.0000       5147.000       71.74259    
   615.0000       5089.000       71.33723    
   616.0000       5199.000       72.10409    
   617.0000       5185.000       72.00694    
   618.0000       5724.000       75.65712    
   619.0000       5958.000       77.18808    
   620.0000       7258.000       85.19389    
   621.0000       6004.000       77.48548    
   622.0000       6071.000       77.91662    
   623.0000       6119.000       78.22404    
   624.0000       6049.000       77.77531    
   625.0000       6071.000       77.91662    
   626.0000       6114.000       78.19207    
   627.0000       6248.000       79.04429    
   628.0000       5850.000       76.48529    
   629.0000       6260.000       79.12016    
   630.0000       5267.000       72.57410    
   631.0000       5234.000       72.34639    
   632.0000       5088.000       71.33022    
   633.0000       4808.000       69.33974    
   634.0000       4702.000       68.57113    
   635.0000       4728.000       68.76045    
   636.0000       4955.000       70.39176    
   637.0000       4952.000       70.37045    
   638.0000       4881.000       69.86415    
   639.0000       4724.000       68.73136    
