Ni powder for wavelenght calibration                         25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   371.0000       3008.000       54.84524    
   372.0000       3251.000       57.01754    
   373.0000       3191.000       56.48894    
   374.0000       3201.000       56.57738    
   375.0000       3324.000       57.65414    
   376.0000       3523.000       59.35487    
   377.0000       3640.000       60.33241    
   378.0000       3584.000       59.86652    
   379.0000       3478.000       58.97457    
   380.0000       3986.000       63.13478    
   381.0000       3723.000       61.01639    
   382.0000       3917.000       62.58594    
   383.0000       4309.000       65.64297    
   384.0000       4488.000       66.99254    
   385.0000       4526.000       67.27555    
   386.0000       4523.000       67.25325    
   387.0000       4848.000       69.62758    
   388.0000       4819.000       69.41901    
   389.0000       5251.000       72.46378    
   390.0000       4865.000       69.74955    
   391.0000       5059.000       71.12665    
   392.0000       5172.000       71.91662    
   393.0000       5084.000       71.30218    
   394.0000       5307.000       72.84916    
   395.0000       5534.000       74.39086    
   396.0000       5558.000       74.55199    
   397.0000       5233.000       72.33948    
   398.0000       4809.000       69.34695    
   399.0000       5168.000       71.88880    
   400.0000       4669.000       68.33008    
   401.0000       4160.000       64.49806    
   402.0000       3988.000       63.15061    
   403.0000       3868.000       62.19325    
   404.0000       3730.000       61.07373    
   405.0000       3823.000       61.83041    
   406.0000       3493.000       59.10161    
   407.0000       3295.000       57.40209    
   408.0000       3164.000       56.24944    
   409.0000       3239.000       56.91221    
   410.0000       2805.000       52.96225    
   411.0000       3036.000       55.09991    
   412.0000       3195.000       56.52433    
   413.0000       3118.000       55.83905    
   414.0000       3210.000       56.65686    
   415.0000       3084.000       55.53378    
   416.0000       3189.000       56.47123    
   417.0000       3195.000       56.52433    
   418.0000       3095.000       55.63272    
   419.0000       2859.000       53.46962    
   420.0000       3280.000       57.27129    
   421.0000       3346.000       57.84462    
   422.0000       3579.000       59.82475    
   423.0000       3449.000       58.72819    
   424.0000       3368.000       58.03447    
   425.0000       3558.000       59.64897    
   426.0000       3627.000       60.22458    
   427.0000       3757.000       61.29437    
   428.0000       3606.000       60.04998    
   429.0000       3871.000       62.21736    
   430.0000       3429.000       58.55766    
   431.0000       3607.000       60.05830    
   432.0000       3794.000       61.59546    
   433.0000       3560.000       59.66574    
   434.0000       3601.000       60.00833    
   435.0000       3517.000       59.30430    
   436.0000       3392.000       58.24088    
   437.0000       3623.000       60.19136    
   438.0000       3592.000       59.93330    
   439.0000       3499.000       59.15235    
   440.0000       3711.000       60.91798    
   441.0000       3502.000       59.17770    
   442.0000       3474.000       58.94065    
   443.0000       3498.000       59.14389    
   444.0000       3599.000       59.99166    
   445.0000       3707.000       60.88514    
   446.0000       3725.000       61.03278    
   447.0000       3720.000       60.99180    
   448.0000       3593.000       59.94164    
   449.0000       3858.000       62.11280    
   450.0000       3468.000       58.88973    
