New empty oven                                               26-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   294.0000       709.0000       26.62705    
   295.0000       706.0000       26.57066    
   296.0000       728.0000       26.98148    
   297.0000       681.0000       26.09598    
   298.0000       648.0000       25.45584    
   299.0000       630.0000       25.09980    
   300.0000       715.0000       26.73948    
   301.0000       697.0000       26.40076    
   302.0000       709.0000       26.62705    
   303.0000       731.0000       27.03701    
   304.0000       678.0000       26.03843    
   305.0000       694.0000       26.34388    
   306.0000       636.0000       25.21904    
   307.0000       714.0000       26.72078    
   308.0000       746.0000       27.31300    
   309.0000       745.0000       27.29469    
   310.0000       604.0000       24.57641    
   311.0000       664.0000       25.76820    
   312.0000       688.0000       26.22975    
   313.0000       689.0000       26.24881    
   314.0000       740.0000       27.20294    
   315.0000       680.0000       26.07681    
   316.0000       679.0000       26.05763    
   317.0000       717.0000       26.77686    
   318.0000       616.0000       24.81935    
   319.0000       586.0000       24.20744    
   320.0000       651.0000       25.51470    
   321.0000       704.0000       26.53300    
   322.0000       652.0000       25.53429    
   323.0000       647.0000       25.43620    
   324.0000       675.0000       25.98076    
   325.0000       740.0000       27.20294    
   326.0000       694.0000       26.34388    
   327.0000       689.0000       26.24881    
   328.0000       696.0000       26.38181    
   329.0000       701.0000       26.47640    
   330.0000       664.0000       25.76820    
   331.0000       649.0000       25.47548    
   332.0000       693.0000       26.32489    
   333.0000       657.0000       25.63201    
   334.0000       657.0000       25.63201    
   335.0000       611.0000       24.71841    
   336.0000       661.0000       25.70992    
   337.0000       704.0000       26.53300    
   338.0000       642.0000       25.33772    
   339.0000       643.0000       25.35744    
   340.0000       682.0000       26.11513    
   341.0000       670.0000       25.88436    
   342.0000       691.0000       26.28688    
   343.0000       695.0000       26.36285    
   344.0000       713.0000       26.70206    
   345.0000       692.0000       26.30589    
   346.0000       731.0000       27.03701    
   347.0000       727.0000       26.96294    
   348.0000       711.0000       26.66458    
   349.0000       750.0000       27.38613    
   350.0000       575.0000       23.97916    
   351.0000       684.0000       26.15339    
   352.0000       710.0000       26.64582    
   353.0000       695.0000       26.36285    
