sample v-GeO2 850K babana displaced by -0.8°                 21-11-07    69.693K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   342.0000       2808.000       52.99057    
   343.0000       2783.000       52.75415    
   344.0000       2933.000       54.15718    
   345.0000       2853.000       53.41348    
   346.0000       2873.000       53.60037    
   347.0000       2895.000       53.80520    
   348.0000       2852.000       53.40412    
   349.0000       2879.000       53.65631    
   350.0000       2668.000       51.65269    
   351.0000       2818.000       53.08484    
   352.0000       2802.000       52.93392    
   353.0000       2737.000       52.31635    
   354.0000       2656.000       51.53640    
   355.0000       2642.000       51.40039    
   356.0000       2788.000       52.80151    
   357.0000       2756.000       52.49762    
   358.0000       2689.000       51.85557    
   359.0000       2789.000       52.81099    
   360.0000       2844.000       53.32917    
   361.0000       2691.000       51.87485    
   362.0000       2782.000       52.74467    
   363.0000       2827.000       53.16954    
   364.0000       2739.000       52.33546    
   365.0000       2825.000       53.15073    
   366.0000       2784.000       52.76362    
   367.0000       2851.000       53.39476    
   368.0000       2718.000       52.13444    
   369.0000       2791.000       52.82991    
   370.0000       2659.000       51.56549    
   371.0000       2617.000       51.15662    
   372.0000       2897.000       53.82379    
   373.0000       2670.000       51.67204    
   374.0000       2693.000       51.89412    
   375.0000       2760.000       52.53570    
   376.0000       2779.000       52.71622    
   377.0000       2836.000       53.25411    
   378.0000       2600.000       50.99020    
   379.0000       2459.000       49.58831    
   380.0000       2777.000       52.69725    
   381.0000       2553.000       50.52722    
   382.0000       2754.000       52.47857    
   383.0000       2844.000       53.32917    
   384.0000       2811.000       53.01886    
   385.0000       2766.000       52.59277    
   386.0000       2851.000       53.39476    
   387.0000       2742.000       52.36411    
   388.0000       2694.000       51.90376    
   389.0000       2858.000       53.46027    
   390.0000       2783.000       52.75415    
   391.0000       2807.000       52.98113    
   392.0000       2817.000       53.07542    
   393.0000       2650.000       51.47815    
   394.0000       2787.000       52.79205    
   395.0000       2768.000       52.61179    
   396.0000       2758.000       52.51666    
   397.0000       2826.000       53.16014    
   398.0000       2710.000       52.05766    
   399.0000       2824.000       53.14132    
   400.0000       2851.000       53.39476    
   401.0000       2817.000       53.07542    
   402.0000       2806.000       52.97169    
   403.0000       2877.000       53.63767    
   404.0000       2823.000       53.13191    
   405.0000       3013.000       54.89080    
   406.0000       2791.000       52.82991    
   407.0000       2831.000       53.20714    
   408.0000       2726.000       52.21111    
   409.0000       2850.000       53.38539    
   410.0000       2628.000       51.26402    
   411.0000       2811.000       53.01886    
   412.0000       2916.000       54.00000    
   413.0000       2894.000       53.79591    
   414.0000       2905.000       53.89805    
   415.0000       2701.000       51.97115    
   416.0000       2835.000       53.24472    
   417.0000       2697.000       51.93265    
   418.0000       2667.000       51.64301    
   419.0000       2533.000       50.32892    
   420.0000       2880.000       53.66563    
   421.0000       2845.000       53.33854    
   422.0000       2962.000       54.42426    
   423.0000       3066.000       55.37147    
   424.0000       2828.000       53.17894    
   425.0000       2972.000       54.51605    
   426.0000       2948.000       54.29549    
   427.0000       3078.000       55.47972    
   428.0000       2804.000       52.95281    
   429.0000       2994.000       54.71746    
   430.0000       2719.000       52.14403    
   431.0000       2740.000       52.34501    
   432.0000       2932.000       54.14795    
   433.0000       2768.000       52.61179    
   434.0000       2901.000       53.86093    
   435.0000       2862.000       53.49767    
   436.0000       2826.000       53.16014    
   437.0000       2933.000       54.15718    
   438.0000       2933.000       54.15718    
   439.0000       2754.000       52.47857    
   440.0000       2962.000       54.42426    
   441.0000       2951.000       54.32311    
   442.0000       2943.000       54.24942    
   443.0000       2786.000       52.78257    
   444.0000       2906.000       53.90733    
   445.0000       2884.000       53.70288    
   446.0000       2916.000       54.00000    
   447.0000       2887.000       53.73081    
   448.0000       2892.000       53.77732    
   449.0000       2976.000       54.55273    
   450.0000       2796.000       52.87722    
   451.0000       2780.000       52.72570    
   452.0000       2936.000       54.18487    
   453.0000       2832.000       53.21654    
   454.0000       2804.000       52.95281    
   455.0000       2795.000       52.86776    
   456.0000       2948.000       54.29549    
   457.0000       2794.000       52.85830    
   458.0000       2772.000       52.64979    
   459.0000       2632.000       51.30302    
   460.0000       3284.000       57.30619    
   461.0000       2783.000       52.75415    
   462.0000       2845.000       53.33854    
   463.0000       2948.000       54.29549    
   464.0000       2977.000       54.56189    
   465.0000       2998.000       54.75399    
   466.0000       2861.000       53.48832    
   467.0000       2882.000       53.68426    
   468.0000       2703.000       51.99038    
   469.0000       3047.000       55.19964    
   470.0000       2749.000       52.43091    
   471.0000       2826.000       53.16014    
   472.0000       2755.000       52.48809    
   473.0000       2756.000       52.49762    
   474.0000       2773.000       52.65928    
