sample v-GeO2 1350K tst                                      24-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   384.0000       72507.00       269.2712    
   385.0000       72713.00       269.6535    
   386.0000       72314.00       268.9126    
   387.0000       75012.00       273.8832    
   388.0000       70799.00       266.0808    
   389.0000       76363.00       276.3386    
   390.0000       69437.00       263.5090    
   391.0000       72219.00       268.7359    
   392.0000       72734.00       269.6924    
   393.0000       69679.00       263.9678    
   394.0000       72789.00       269.7944    
   395.0000       73165.00       270.4903    
   396.0000       73615.00       271.3208    
   397.0000       73998.00       272.0257    
   398.0000       71271.00       266.9663    
   399.0000       73504.00       271.1162    
   400.0000       74158.00       272.3197    
   401.0000       73032.00       270.2443    
   402.0000       73441.00       271.0000    
   403.0000       73205.00       270.5642    
   404.0000       74147.00       272.2995    
   405.0000       77135.00       277.7319    
   406.0000       74168.00       272.3380    
   407.0000       73385.00       270.8967    
   408.0000       72056.00       268.4325    
   409.0000       75902.00       275.5032    
   410.0000       66792.00       258.4415    
   411.0000       72347.00       268.9740    
   412.0000       73420.00       270.9612    
   413.0000       71948.00       268.2312    
   414.0000       73678.00       271.4369    
   415.0000       71630.00       267.6378    
   416.0000       73188.00       270.5328    
   417.0000       73199.00       270.5531    
   418.0000       68510.00       261.7441    
   419.0000       66625.00       258.1182    
   420.0000       73834.00       271.7241    
   421.0000       72396.00       269.0650    
   422.0000       75369.00       274.5341    
   423.0000       74934.00       273.7408    
   424.0000       72877.00       269.9574    
   425.0000       75274.00       274.3611    
   426.0000       74654.00       273.2289    
   427.0000       76070.00       275.8079    
   428.0000       73628.00       271.3448    
   429.0000       77794.00       278.9158    
   430.0000       69426.00       263.4881    
   431.0000       71771.00       267.9011    
   432.0000       75352.00       274.5032    
   433.0000       72252.00       268.7973    
   434.0000       73799.00       271.6597    
   435.0000       73517.00       271.1402    
   436.0000       72023.00       268.3710    
   437.0000       74179.00       272.3582    
   438.0000       72908.00       270.0148    
   439.0000       70546.00       265.6050    
   440.0000       75934.00       275.5612    
   441.0000       73577.00       271.2508    
   442.0000       72057.00       268.4344    
   443.0000       71462.00       267.3238    
   444.0000       72109.00       268.5312    
   445.0000       73678.00       271.4369    
   446.0000       73234.00       270.6178    
   447.0000       73262.00       270.6695    
   448.0000       71548.00       267.4846    
   449.0000       76875.00       277.2634    
   450.0000       69872.00       264.3331    
   451.0000       72218.00       268.7341    
   452.0000       73450.00       271.0166    
   453.0000       71686.00       267.7424    
   454.0000       71324.00       267.0655    
   455.0000       72126.00       268.5628    
   456.0000       72999.00       270.1833    
   457.0000       72360.00       268.9981    
   458.0000       70976.00       266.4132    
   459.0000       66792.00       258.4415    
   460.0000       83200.00       288.4441    
   461.0000       71074.00       266.5971    
   462.0000       71656.00       267.6864    
   463.0000       74454.00       272.8626    
   464.0000       74084.00       272.1837    
   465.0000       73776.00       271.6174    
   466.0000       72439.00       269.1449    
   467.0000       74036.00       272.0956    
   468.0000       71979.00       268.2890    
   469.0000       76607.00       276.7797    
   470.0000       71352.00       267.1180    
   471.0000       71617.00       267.6135    
   472.0000       71101.00       266.6477    
   473.0000       70558.00       265.6276    
   474.0000       71094.00       266.6346    
   475.0000       71644.00       267.6640    
   476.0000       74514.00       272.9725    
   477.0000       72667.00       269.5682    
   478.0000       70297.00       265.1358    
   479.0000       73486.00       271.0830    
   480.0000       66329.00       257.5442    
   481.0000       71810.00       267.9739    
   482.0000       73255.00       270.6566    
   483.0000       72290.00       268.8680    
   484.0000       70671.00       265.8402    
   485.0000       71309.00       267.0374    
   486.0000       72069.00       268.4567    
   487.0000       73594.00       271.2821    
   488.0000       70668.00       265.8345    
   489.0000       76814.00       277.1534    
   490.0000       69099.00       262.8669    
   491.0000       69649.00       263.9110    
   492.0000       72995.00       270.1759    
   493.0000       71095.00       266.6364    
   494.0000       72046.00       268.4138    
   495.0000       71713.00       267.7928    
   496.0000       72438.00       269.1431    
   497.0000       73968.00       271.9706    
   498.0000       71644.00       267.6640    
   499.0000       71068.00       266.5858    
   500.0000       71153.00       266.7452    
   501.0000       69686.00       263.9810    
   502.0000       70245.00       265.0377    
   503.0000       69659.00       263.9299    
   504.0000       71831.00       268.0131    
   505.0000       72906.00       270.0111    
