Cd 11mm Room Temperature                                     29-11-07  1417.397K
   335.0000       3166.000       56.26722    
   336.0000       3132.000       55.96428    
   337.0000       3110.000       55.76737    
   338.0000       3310.000       57.53260    
   339.0000       3194.000       56.51548    
   340.0000       3177.000       56.36488    
   341.0000       3406.000       58.36095    
   342.0000       3234.000       56.86827    
   343.0000       3292.000       57.37595    
   344.0000       3301.000       57.45433    
   345.0000       3281.000       57.28001    
   346.0000       3394.000       58.25805    
   347.0000       3340.000       57.79273    
   348.0000       3282.000       57.28874    
   349.0000       3403.000       58.33524    
   350.0000       3632.000       60.26608    
   351.0000       3173.000       56.32939    
   352.0000       3299.000       57.43692    
   353.0000       3405.000       58.35238    
   354.0000       3300.000       57.44563    
   355.0000       3271.000       57.19266    
   356.0000       3336.000       57.75812    
   357.0000       3435.000       58.60887    
   358.0000       3406.000       58.36095    
   359.0000       3363.000       57.99138    
   360.0000       3582.000       59.84981    
   361.0000       3347.000       57.85326    
   362.0000       3296.000       57.41080    
   363.0000       3262.000       57.11392    
   364.0000       3385.000       58.18075    
   365.0000       3322.000       57.63680    
   366.0000       3276.000       57.23635    
   367.0000       3323.000       57.64547    
   368.0000       3312.000       57.54998    
   369.0000       3214.000       56.69215    
   370.0000       3401.000       58.31809    
   371.0000       3113.000       55.79427    
   372.0000       3053.000       55.25396    
   373.0000       3351.000       57.88782    
   374.0000       3221.000       56.75385    
   375.0000       3195.000       56.52433    
   376.0000       3133.000       55.97321    
   377.0000       3271.000       57.19266    
   378.0000       3353.000       57.90509    
   379.0000       3138.000       56.01785    
   380.0000       3022.000       54.97272    
   381.0000       3258.000       57.07889    
   382.0000       2951.000       54.32311    
   383.0000       3124.000       55.89275    
   384.0000       3252.000       57.02631    
   385.0000       3085.000       55.54278    
   386.0000       3156.000       56.17829    
   387.0000       3254.000       57.04384    
   388.0000       3328.000       57.68882    
   389.0000       3145.000       56.08030    
   390.0000       3362.000       57.98276    
   391.0000       3014.000       54.89991    
   392.0000       3142.000       56.05355    
   393.0000       3234.000       56.86827    
   394.0000       3147.000       56.09813    
   395.0000       3167.000       56.27610    
   396.0000       3125.000       55.90170    
   397.0000       3168.000       56.28499    
   398.0000       3255.000       57.05261    
   399.0000       3122.000       55.87486    
   400.0000       3349.000       57.87054    
   401.0000       3172.000       56.32051    
   402.0000       3185.000       56.43580    
   403.0000       3153.000       56.15158    
   404.0000       3200.000       56.56854    
   405.0000       3224.000       56.78028    
   406.0000       3242.000       56.93856    
   407.0000       3188.000       56.46238    
   408.0000       3012.000       54.88169    
   409.0000       3030.000       55.04544    
   410.0000       3174.000       56.33826    
   411.0000       2978.000       54.57106    
   412.0000       3128.000       55.92852    
   413.0000       3152.000       56.14267    
   414.0000       3040.000       55.13620    
   415.0000       3097.000       55.65070    
   416.0000       3023.000       54.98182    
   417.0000       3133.000       55.97321    
   418.0000       3043.000       55.16339    
   419.0000       2888.000       53.74012    
   420.0000       3030.000       55.04544    
   421.0000       3039.000       55.12712    
   422.0000       3059.000       55.30823    
   423.0000       3205.000       56.61272    
   424.0000       3207.000       56.63038    
   425.0000       3038.000       55.11805    
   426.0000       3128.000       55.92852    
   427.0000       3205.000       56.61272    
   428.0000       3207.000       56.63038    
   429.0000       3009.000       54.85435    
   430.0000       3075.000       55.45268    
   431.0000       2901.000       53.86093    
   432.0000       3052.000       55.24491    
   433.0000       3115.000       55.81218    
   434.0000       2956.000       54.36911    
   435.0000       3033.000       55.07268    
   436.0000       3199.000       56.55970    
   437.0000       3106.000       55.73150    
   438.0000       3171.000       56.31163    
   439.0000       3059.000       55.30823    
   440.0000       2961.000       54.41507    
   441.0000       3057.000       55.29014    
   442.0000       3063.000       55.34438    
   443.0000       2950.000       54.31390    
   444.0000       2933.000       54.15718    
   445.0000       2988.000       54.66260    
   446.0000       3091.000       55.59676    
   447.0000       3017.000       54.92722    
   448.0000       2990.000       54.68089    
   449.0000       2995.000       54.72659    
   450.0000       3170.000       56.30275    
   451.0000       2864.000       53.51635    
   452.0000       2958.000       54.38750    
   453.0000       3045.000       55.18152    
   454.0000       2937.000       54.19410    
   455.0000       2978.000       54.57106    
   456.0000       2969.000       54.48853    
   457.0000       3134.000       55.98214    
   458.0000       3033.000       55.07268    
   459.0000       2923.000       54.06478    
   460.0000       2864.000       53.51635    
   461.0000       3442.000       58.66856    
