empty can 300K                                               17-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   323.0000       44860.00       211.8018    
   324.0000       44708.00       211.4427    
   325.0000       44354.00       210.6039    
   326.0000       44166.00       210.1571    
   327.0000       44439.00       210.8056    
   328.0000       42865.00       207.0387    
   329.0000       45841.00       214.1051    
   330.0000       42219.00       205.4726    
   331.0000       43372.00       208.2595    
   332.0000       44465.00       210.8673    
   333.0000       42811.00       206.9082    
   334.0000       43457.00       208.4634    
   335.0000       42623.00       206.4534    
   336.0000       43329.00       208.1562    
   337.0000       43546.00       208.6768    
   338.0000       43175.00       207.7859    
   339.0000       43668.00       208.9689    
   340.0000       45612.00       213.5697    
   341.0000       44011.00       209.7880    
   342.0000       44891.00       211.8750    
   343.0000       45932.00       214.3175    
   344.0000       46394.00       215.3927    
   345.0000       47623.00       218.2269    
   346.0000       45728.00       213.8411    
   347.0000       46124.00       214.7650    
   348.0000       45716.00       213.8130    
   349.0000       47971.00       219.0228    
   350.0000       44188.00       210.2094    
   351.0000       45528.00       213.3729    
   352.0000       46633.00       215.9467    
   353.0000       45046.00       212.2404    
   354.0000       45205.00       212.6147    
   355.0000       45648.00       213.6539    
   356.0000       47537.00       218.0298    
   357.0000       46042.00       214.5740    
   358.0000       45620.00       213.5884    
   359.0000       47660.00       218.3117    
   360.0000       47414.00       217.7476    
   361.0000       45322.00       212.8896    
   362.0000       46308.00       215.1929    
   363.0000       47112.00       217.0530    
   364.0000       46482.00       215.5968    
   365.0000       46462.00       215.5505    
   366.0000       46350.00       215.2905    
   367.0000       46912.00       216.5918    
   368.0000       45856.00       214.1401    
   369.0000       48428.00       220.0636    
   370.0000       43824.00       209.3418    
   371.0000       43800.00       209.2845    
   372.0000       47808.00       218.6504    
   373.0000       45407.00       213.0892    
   374.0000       45164.00       212.5182    
   375.0000       45136.00       212.4523    
   376.0000       46292.00       215.1558    
   377.0000       45853.00       214.1331    
   378.0000       44397.00       210.7060    
   379.0000       43477.00       208.5114    
   380.0000       46725.00       216.1597    
   381.0000       42415.00       205.9490    
   382.0000       44483.00       210.9099    
   383.0000       46101.00       214.7114    
   384.0000       45419.00       213.1173    
   385.0000       46107.00       214.7254    
   386.0000       45668.00       213.7007    
   387.0000       46524.00       215.6942    
   388.0000       44328.00       210.5422    
   389.0000       47003.00       216.8018    
   390.0000       44076.00       209.9429    
   391.0000       44841.00       211.7569    
   392.0000       45614.00       213.5743    
   393.0000       43543.00       208.6696    
   394.0000       45456.00       213.2041    
   395.0000       45407.00       213.0892    
   396.0000       45565.00       213.4596    
   397.0000       46377.00       215.3532    
   398.0000       44675.00       211.3646    
   399.0000       46040.00       214.5693    
   400.0000       45791.00       213.9883    
   401.0000       44670.00       211.3528    
   402.0000       45370.00       213.0023    
   403.0000       44813.00       211.6908    
   404.0000       45652.00       213.6633    
   405.0000       47069.00       216.9539    
   406.0000       45464.00       213.2229    
   407.0000       45040.00       212.2263    
   408.0000       44329.00       210.5445    
   409.0000       45931.00       214.3152    
   410.0000       41622.00       204.0147    
   411.0000       44689.00       211.3977    
   412.0000       44903.00       211.9033    
   413.0000       44235.00       210.3212    
   414.0000       44886.00       211.8632    
   415.0000       43711.00       209.0718    
   416.0000       44948.00       212.0094    
   417.0000       44037.00       209.8499    
   418.0000       42082.00       205.1390    
   419.0000       41328.00       203.2929    
   420.0000       44860.00       211.8018    
   421.0000       43872.00       209.4564    
   422.0000       45601.00       213.5439    
   423.0000       45310.00       212.8615    
   424.0000       43606.00       208.8205    
   425.0000       45033.00       212.2098    
   426.0000       45151.00       212.4876    
   427.0000       45757.00       213.9089    
   428.0000       44300.00       210.4756    
   429.0000       46483.00       215.5992    
   430.0000       42943.00       207.2269    
   431.0000       43762.00       209.1937    
   432.0000       45476.00       213.2510    
   433.0000       43462.00       208.4754    
   434.0000       44765.00       211.5774    
   435.0000       43694.00       209.0311    
   436.0000       43721.00       209.0957    
   437.0000       44640.00       211.2818    
   438.0000       44452.00       210.8364    
   439.0000       42605.00       206.4098    
   440.0000       45387.00       213.0423    
   441.0000       44654.00       211.3149    
   442.0000       43100.00       207.6054    
   443.0000       42622.00       206.4510    
   444.0000       43670.00       208.9737    
   445.0000       44336.00       210.5612    
   446.0000       43897.00       209.5161    
   447.0000       44044.00       209.8666    
   448.0000       43000.00       207.3644    
   449.0000       46033.00       214.5530    
   450.0000       42868.00       207.0459    
   451.0000       43589.00       208.7798    
   452.0000       44634.00       211.2676    
   453.0000       43440.00       208.4227    
   454.0000       43035.00       207.4488    
   455.0000       43128.00       207.6728    
   456.0000       44590.00       211.1634    
   457.0000       43162.00       207.7547    
   458.0000       43309.00       208.1081    
   459.0000       41821.00       204.5018    
   460.0000       49863.00       223.3002    
   461.0000       43242.00       207.9471    
   462.0000       43823.00       209.3394    
   463.0000       44989.00       212.1061    
   464.0000       44922.00       211.9481    
   465.0000       45020.00       212.1792    
   466.0000       44242.00       210.3378    
   467.0000       44965.00       212.0495    
   468.0000       43766.00       209.2032    
   469.0000       46738.00       216.1897    
   470.0000       44251.00       210.3592    
   471.0000       43856.00       209.4182    
   472.0000       43836.00       209.3705    
   473.0000       43488.00       208.5378    
   474.0000       43695.00       209.0335    
   475.0000       43910.00       209.5471    
   476.0000       45900.00       214.2429    
   477.0000       44345.00       210.5825    
   478.0000       43426.00       208.3891    
   479.0000       45229.00       212.6711    
   480.0000       40972.00       202.4154    
   481.0000       44214.00       210.2713    
   482.0000       45360.00       212.9789    
   483.0000       44793.00       211.6436    
   484.0000       43461.00       208.4730    
   485.0000       43567.00       208.7271    
   486.0000       45136.00       212.4523    
   487.0000       45142.00       212.4665    
