sample v-GeO2 850K babana displaced by -0.8°                 21-11-07    42.925K
   77.00000       1742.000       41.73727    
   78.00000       1594.000       39.92493    
   79.00000       1373.000       37.05402    
   80.00000       1635.000       40.43513    
   81.00000       1597.000       39.96248    
   82.00000       1607.000       40.08741    
   83.00000       1620.000       40.24922    
   84.00000       1576.000       39.69887    
   85.00000       1676.000       40.93898    
   86.00000       1571.000       39.63584    
   87.00000       1615.000       40.18706    
   88.00000       1723.000       41.50904    
   89.00000       1778.000       42.16634    
   90.00000       1592.000       39.89988    
   91.00000       1567.000       39.58535    
   92.00000       1658.000       40.71855    
   93.00000       1605.000       40.06245    
   94.00000       1623.000       40.28647    
   95.00000       1634.000       40.42277    
   96.00000       1542.000       39.26831    
   97.00000       1719.000       41.46082    
   98.00000       1656.000       40.69398    
   99.00000       1544.000       39.29377    
   100.0000       1585.000       39.81206    
   101.0000       1634.000       40.42277    
   102.0000       1689.000       41.09745    
   103.0000       1713.000       41.38840    
   104.0000       1656.000       40.69398    
   105.0000       1651.000       40.63250    
   106.0000       1644.000       40.54627    
   107.0000       1709.000       41.34005    
   108.0000       1652.000       40.64480    
   109.0000       1817.000       42.62628    
   110.0000       1692.000       41.13393    
   111.0000       1721.000       41.48494    
   112.0000       1729.000       41.58125    
   113.0000       1665.000       40.80441    
   114.0000       1745.000       41.77320    
   115.0000       1644.000       40.54627    
   116.0000       1693.000       41.14608    
   117.0000       1701.000       41.24318    
   118.0000       1468.000       38.31449    
   119.0000       1334.000       36.52396    
   120.0000       1715.000       41.41256    
   121.0000       1624.000       40.29888    
   122.0000       1584.000       39.79950    
   123.0000       1705.000       41.29165    
   124.0000       1614.000       40.17462    
   125.0000       1584.000       39.79950    
   126.0000       1679.000       40.97560    
   127.0000       1648.000       40.59557    
   128.0000       1627.000       40.33609    
   129.0000       1813.000       42.57934    
   130.0000       1545.000       39.30649    
   131.0000       1695.000       41.17038    
   132.0000       1727.000       41.55719    
   133.0000       1615.000       40.18706    
   134.0000       1672.000       40.89009    
   135.0000       1653.000       40.65710    
   136.0000       1647.000       40.58325    
   137.0000       1748.000       41.80909    
   138.0000       1691.000       41.12177    
   139.0000       1764.000       42.00000    
   140.0000       1710.000       41.35215    
   141.0000       1771.000       42.08325    
   142.0000       1632.000       40.39802    
   143.0000       1811.000       42.55585    
   144.0000       1818.000       42.63801    
   145.0000       1881.000       43.37050    
   146.0000       1829.000       42.76681    
   147.0000       1886.000       43.42810    
   148.0000       1850.000       43.01163    
   149.0000       2007.000       44.79955    
   150.0000       1852.000       43.03487    
   151.0000       1954.000       44.20407    
   152.0000       1988.000       44.58699    
   153.0000       1916.000       43.77214    
   154.0000       2073.000       45.53021    
   155.0000       1919.000       43.80639    
   156.0000       1974.000       44.42972    
   157.0000       2092.000       45.73839    
   158.0000       1957.000       44.23799    
   159.0000       1550.000       39.37004    
   160.0000       2175.000       46.63689    
   161.0000       2206.000       46.96807    
   162.0000       2061.000       45.39824    
   163.0000       2094.000       45.76025    
   164.0000       2186.000       46.75468    
   165.0000       2195.000       46.85083    
   166.0000       2185.000       46.74398    
   167.0000       2169.000       46.57253    
   168.0000       2385.000       48.83646    
   169.0000       2530.000       50.29911    
   170.0000       2230.000       47.22288    
   171.0000       2357.000       48.54894    
   172.0000       2377.000       48.75449    
   173.0000       2279.000       47.73887    
   174.0000       2294.000       47.89572    
   175.0000       2356.000       48.53864    
   176.0000       2419.000       49.18333    
   177.0000       2320.000       48.16638    
   178.0000       2262.000       47.56049    
   179.0000       2119.000       46.03260    
   180.0000       2104.000       45.86938    
   181.0000       2042.000       45.18850    
   182.0000       2102.000       45.84757    
   183.0000       2102.000       45.84757    
   184.0000       2035.000       45.11097    
   185.0000       2108.000       45.91296    
   186.0000       1956.000       44.22669    
   187.0000       1938.000       44.02272    
   188.0000       1924.000       43.86343    
   189.0000       1997.000       44.68781    
   190.0000       1771.000       42.08325    
   191.0000       1775.000       42.13075    
   192.0000       1957.000       44.23799    
   193.0000       1831.000       42.79018    
   194.0000       1842.000       42.91853    
   195.0000       1720.000       41.47288    
   196.0000       1670.000       40.86563    
   197.0000       1746.000       41.78516    
   198.0000       1709.000       41.34005    
   199.0000       1730.000       41.59327    
   200.0000       1681.000       41.00000    
   201.0000       1621.000       40.26164    
   202.0000       1722.000       41.49699    
   203.0000       1724.000       41.52108    
   204.0000       1701.000       41.24318    
   205.0000       1715.000       41.41256    
   206.0000       1662.000       40.76764    
   207.0000       1649.000       40.60788    
   208.0000       1674.000       40.91455    
   209.0000       1728.000       41.56922    
   210.0000       1489.000       38.58756    
   211.0000       1588.000       39.84972    
   212.0000       1722.000       41.49699    
   213.0000       1684.000       41.03657    
   214.0000       1636.000       40.44750    
   215.0000       1528.000       39.08964    
   216.0000       1613.000       40.16217    
   217.0000       1657.000       40.70626    
   218.0000       1530.000       39.11522    
   219.0000       1528.000       39.08964    
   220.0000       1736.000       41.66533    
   221.0000       1609.000       40.11234    
   222.0000       1613.000       40.16217    
   223.0000       1706.000       41.30375    
   224.0000       1664.000       40.79216    
   225.0000       1630.000       40.37326    
   226.0000       1646.000       40.57093    
   227.0000       1673.000       40.90232    
   228.0000       1648.000       40.59557    
   229.0000       1668.000       40.84116    
   230.0000       1566.000       39.57272    
   231.0000       1584.000       39.79950    
   232.0000       1650.000       40.62019    
   233.0000       1630.000       40.37326    
   234.0000       1556.000       39.44617    
   235.0000       1607.000       40.08741    
   236.0000       1708.000       41.32796    
   237.0000       1649.000       40.60788    
   238.0000       1634.000       40.42277    
   239.0000       1494.000       38.65230    
   240.0000       1746.000       41.78516    
   241.0000       1708.000       41.32796    
   242.0000       1686.000       41.06093    
   243.0000       1728.000       41.56922    
   244.0000       1735.000       41.65333    
   245.0000       1802.000       42.44997    
   246.0000       1630.000       40.37326    
   247.0000       1814.000       42.59108    
   248.0000       1656.000       40.69398    
   249.0000       1829.000       42.76681    
   250.0000       1620.000       40.24922    
   251.0000       1665.000       40.80441    
   252.0000       1748.000       41.80909    
   253.0000       1707.000       41.31586    
   254.0000       1749.000       41.82105    
   255.0000       1715.000       41.41256    
   256.0000       1746.000       41.78516    
   257.0000       1743.000       41.74925    
   258.0000       1602.000       40.02499    
   259.0000       1511.000       38.87158    
   260.0000       1828.000       42.75512    
   261.0000       1780.000       42.19004    
   262.0000       1808.000       42.52058    
   263.0000       1796.000       42.37924    
   264.0000       1838.000       42.87190    
   265.0000       1814.000       42.59108    
   266.0000       1850.000       43.01163    
   267.0000       1944.000       44.09082    
   268.0000       1860.000       43.12772    
   269.0000       1963.000       44.30576    
   270.0000       1809.000       42.53234    
   271.0000       1716.000       41.42463    
   272.0000       1884.000       43.40507    
   273.0000       1812.000       42.56759    
   274.0000       1788.000       42.28475    
   275.0000       1803.000       42.46175    
   276.0000       1836.000       42.84857    
   277.0000       1892.000       43.49713    
   278.0000       1729.000       41.58125    
   279.0000       1466.000       38.28838    
   280.0000       1836.000       42.84857    
   281.0000       1854.000       43.05810    
   282.0000       1837.000       42.86024    
   283.0000       1870.000       43.24350    
   284.0000       1823.000       42.69661    
   285.0000       1805.000       42.48529    
   286.0000       1847.000       42.97674    
   287.0000       1890.000       43.47413    
   288.0000       1756.000       41.90466    
   289.0000       1857.000       43.09292    
   290.0000       1814.000       42.59108    
   291.0000       1855.000       43.06971    
   292.0000       1802.000       42.44997    
   293.0000       1786.000       42.26109    
   294.0000       1728.000       41.56922    
   295.0000       1767.000       42.03570    
   296.0000       1780.000       42.19004    
   297.0000       1795.000       42.36744    
   298.0000       1710.000       41.35215    
   299.0000       1754.000       41.88078    
   300.0000       1896.000       43.54308    
   301.0000       1764.000       42.00000    
   302.0000       1739.000       41.70132    
   303.0000       1708.000       41.32796    
   304.0000       1825.000       42.72002    
   305.0000       1831.000       42.79018    
   306.0000       1785.000       42.24926    
   307.0000       1842.000       42.91853    
   308.0000       1700.000       41.23106    
   309.0000       1905.000       43.64631    
   310.0000       1696.000       41.18252    
   311.0000       1725.000       41.53312    
   312.0000       1768.000       42.04759    
   313.0000       1760.000       41.95235    
   314.0000       1815.000       42.60282    
   315.0000       1793.000       42.34383    
   316.0000       1656.000       40.69398    
   317.0000       1784.000       42.23742    
   318.0000       1659.000       40.73082    
   319.0000       1582.000       39.77436    
   320.0000       1605.000       40.06245    
   321.0000       1738.000       41.68933    
   322.0000       1751.000       41.84495    
   323.0000       1769.000       42.05948    
   324.0000       1756.000       41.90466    
   325.0000       1805.000       42.48529    
   326.0000       1674.000       40.91455    
   327.0000       1786.000       42.26109    
   328.0000       1618.000       40.22437    
   329.0000       1760.000       41.95235    
   330.0000       1649.000       40.60788    
   331.0000       1616.000       40.19950    
   332.0000       1744.000       41.76123    
   333.0000       1629.000       40.36087    
   334.0000       1711.000       41.36423    
   335.0000       1657.000       40.70626    
   336.0000       1620.000       40.24922    
   337.0000       1737.000       41.67733    
   338.0000       1629.000       40.36087    
   339.0000       1638.000       40.47221    
   340.0000       1687.000       41.07310    
   341.0000       1653.000       40.65710    
   342.0000       1744.000       41.76123    
   343.0000       1767.000       42.03570    
   344.0000       1744.000       41.76123    
   345.0000       1736.000       41.66533    
   346.0000       1764.000       42.00000    
   347.0000       1688.000       41.08528    
   348.0000       1734.000       41.64133    
   349.0000       1770.000       42.07137    
   350.0000       1590.000       39.87481    
   351.0000       1640.000       40.49691    
   352.0000       1680.000       40.98780    
   353.0000       1693.000       41.14608    
   354.0000       1689.000       41.09745    
   355.0000       1596.000       39.94997    
   356.0000       1781.000       42.20190    
   357.0000       1738.000       41.68933    
   358.0000       1591.000       39.88734    
   359.0000       1746.000       41.78516    
   360.0000       1773.000       42.10701    
   361.0000       1731.000       41.60529    
   362.0000       1631.000       40.38564    
   363.0000       1674.000       40.91455    
   364.0000       1728.000       41.56922    
   365.0000       1701.000       41.24318    
   366.0000       1717.000       41.43670    
   367.0000       1812.000       42.56759    
   368.0000       1656.000       40.69398    
   369.0000       1832.000       42.80187    
   370.0000       1587.000       39.83717    
   371.0000       1709.000       41.34005    
   372.0000       1741.000       41.72529    
   373.0000       1686.000       41.06093    
   374.0000       1655.000       40.68169    
   375.0000       1683.000       41.02438    
   376.0000       1703.000       41.26742    
   377.0000       1759.000       41.94043    
   378.0000       1638.000       40.47221    
   379.0000       1538.000       39.21734    
   380.0000       1761.000       41.96427    
   381.0000       1587.000       39.83717    
   382.0000       1621.000       40.26164    
   383.0000       1757.000       41.91658    
   384.0000       1670.000       40.86563    
   385.0000       1772.000       42.09513    
   386.0000       1772.000       42.09513    
   387.0000       1763.000       41.98809    
   388.0000       1700.000       41.23106    
   389.0000       1869.000       43.23193    
   390.0000       1602.000       40.02499    
   391.0000       1695.000       41.17038    
   392.0000       1775.000       42.13075    
   393.0000       1648.000       40.59557    
   394.0000       1801.000       42.43819    
   395.0000       1706.000       41.30375    
   396.0000       1691.000       41.12177    
   397.0000       1726.000       41.54515    
   398.0000       1680.000       40.98780    
   399.0000       1824.000       42.70831    
   400.0000       1783.000       42.22559    
   401.0000       1739.000       41.70132    
   402.0000       1647.000       40.58325    
   403.0000       1792.000       42.33202    
   404.0000       1762.000       41.97618    
   405.0000       1945.000       44.10215    
   406.0000       1730.000       41.59327    
   407.0000       1814.000       42.59108    
   408.0000       1707.000       41.31586    
   409.0000       1808.000       42.52058    
   410.0000       1587.000       39.83717    
   411.0000       1688.000       41.08528    
   412.0000       1733.000       41.62932    
   413.0000       1775.000       42.13075    
   414.0000       1774.000       42.11888    
   415.0000       1730.000       41.59327    
   416.0000       1743.000       41.74925    
   417.0000       1752.000       41.85690    
   418.0000       1758.000       41.92851    
   419.0000       1609.000       40.11234    
   420.0000       1800.000       42.42641    
   421.0000       1836.000       42.84857    
   422.0000       1828.000       42.75512    
   423.0000       1864.000       43.17406    
   424.0000       1756.000       41.90466    
   425.0000       1763.000       41.98809    
   426.0000       1853.000       43.04649    
   427.0000       1854.000       43.05810    
   428.0000       1809.000       42.53234    
   429.0000       1921.000       43.82921    
   430.0000       1715.000       41.41256    
   431.0000       1776.000       42.14262    
   432.0000       1842.000       42.91853    
   433.0000       1776.000       42.14262    
   434.0000       1713.000       41.38840    
   435.0000       1739.000       41.70132    
   436.0000       1782.000       42.21374    
   437.0000       1781.000       42.20190    
   438.0000       1711.000       41.36423    
   439.0000       1700.000       41.23106    
   440.0000       1788.000       42.28475    
   441.0000       1756.000       41.90466    
   442.0000       1788.000       42.28475    
   443.0000       1743.000       41.74925    
   444.0000       1752.000       41.85690    
   445.0000       1800.000       42.42641    
   446.0000       1834.000       42.82523    
   447.0000       1791.000       42.32021    
   448.0000       1726.000       41.54515    
   449.0000       1874.000       43.28972    
   450.0000       1702.000       41.25530    
   451.0000       1717.000       41.43670    
   452.0000       1799.000       42.41462    
   453.0000       1728.000       41.56922    
   454.0000       1746.000       41.78516    
   455.0000       1733.000       41.62932    
   456.0000       1811.000       42.55585    
   457.0000       1715.000       41.41256    
   458.0000       1712.000       41.37632    
   459.0000       1607.000       40.08741    
   460.0000       1972.000       44.40721    
   461.0000       1643.000       40.53394    
   462.0000       1724.000       41.52108    
   463.0000       1860.000       43.12772    
   464.0000       1828.000       42.75512    
   465.0000       1868.000       43.22037    
   466.0000       1755.000       41.89272    
   467.0000       1836.000       42.84857    
   468.0000       1776.000       42.14262    
   469.0000       1820.000       42.66146    
   470.0000       1699.000       41.21893    
   471.0000       1656.000       40.69398    
   472.0000       1703.000       41.26742    
   473.0000       1707.000       41.31586    
   474.0000       1791.000       42.32021    
   475.0000       1711.000       41.36423    
   476.0000       1757.000       41.91658    
   477.0000       1719.000       41.46082    
   478.0000       1700.000       41.23106    
   479.0000       1738.000       41.68933    
   480.0000       1664.000       40.79216    
   481.0000       1738.000       41.68933    
   482.0000       1793.000       42.34383    
   483.0000       1770.000       42.07137    
   484.0000       1728.000       41.56922    
   485.0000       1669.000       40.85340    
   486.0000       1725.000       41.53312    
   487.0000       1695.000       41.17038    
   488.0000       1700.000       41.23106    
   489.0000       1804.000       42.47352    
   490.0000       1654.000       40.66940    
   491.0000       1631.000       40.38564    
   492.0000       1728.000       41.56922    
   493.0000       1674.000       40.91455    
   494.0000       1682.000       41.01219    
   495.0000       1673.000       40.90232    
   496.0000       1731.000       41.60529    
   497.0000       1774.000       42.11888    
   498.0000       1660.000       40.74310    
   499.0000       1676.000       40.93898    
   500.0000       1637.000       40.45986    
   501.0000       1630.000       40.37326    
   502.0000       1691.000       41.12177    
   503.0000       1643.000       40.53394    
   504.0000       1757.000       41.91658    
   505.0000       1753.000       41.86884    
   506.0000       1721.000       41.48494    
   507.0000       1755.000       41.89272    
   508.0000       1723.000       41.50904    
   509.0000       1693.000       41.14608    
   510.0000       1630.000       40.37326    
   511.0000       1729.000       41.58125    
   512.0000       1711.000       41.36423    
   513.0000       1665.000       40.80441    
   514.0000       1672.000       40.89009    
   515.0000       1705.000       41.29165    
   516.0000       1742.000       41.73727    
   517.0000       1771.000       42.08325    
   518.0000       1731.000       41.60529    
   519.0000       1796.000       42.37924    
   520.0000       1891.000       43.48563    
   521.0000       1691.000       41.12177    
   522.0000       1644.000       40.54627    
   523.0000       1761.000       41.96427    
   524.0000       1667.000       40.82891    
   525.0000       1685.000       41.04875    
   526.0000       1735.000       41.65333    
   527.0000       1776.000       42.14262    
   528.0000       1675.000       40.92677    
   529.0000       1799.000       42.41462    
   530.0000       1680.000       40.98780    
   531.0000       1685.000       41.04875    
   532.0000       1786.000       42.26109    
   533.0000       1723.000       41.50904    
   534.0000       1692.000       41.13393    
   535.0000       1700.000       41.23106    
   536.0000       1819.000       42.64973    
   537.0000       1730.000       41.59327    
   538.0000       1698.000       41.20679    
   539.0000       1737.000       41.67733    
   540.0000       1696.000       41.18252    
   541.0000       1730.000       41.59327    
   542.0000       1717.000       41.43670    
   543.0000       1754.000       41.88078    
   544.0000       1715.000       41.41256    
   545.0000       1673.000       40.90232    
   546.0000       1796.000       42.37924    
   547.0000       1752.000       41.85690    
   548.0000       1720.000       41.47288    
   549.0000       1783.000       42.22559    
   550.0000       1724.000       41.52108    
   551.0000       1807.000       42.50882    
   552.0000       1752.000       41.85690    
   553.0000       1668.000       40.84116    
   554.0000       1772.000       42.09513    
   555.0000       1691.000       41.12177    
   556.0000       1718.000       41.44876    
   557.0000       1811.000       42.55585    
   558.0000       1694.000       41.15823    
   559.0000       1514.000       38.91015    
   560.0000       1681.000       41.00000    
   561.0000       1707.000       41.31586    
   562.0000       1708.000       41.32796    
   563.0000       1672.000       40.89009    
   564.0000       1812.000       42.56759    
   565.0000       1795.000       42.36744    
   566.0000       1722.000       41.49699    
   567.0000       1744.000       41.76123    
   568.0000       1685.000       41.04875    
   569.0000       1853.000       43.04649    
   570.0000       1632.000       40.39802    
   571.0000       1659.000       40.73082    
   572.0000       1783.000       42.22559    
   573.0000       1681.000       41.00000    
   574.0000       1746.000       41.78516    
   575.0000       1632.000       40.39802    
   576.0000       1693.000       41.14608    
   577.0000       1724.000       41.52108    
   578.0000       1671.000       40.87787    
   579.0000       1402.000       37.44329    
   580.0000       1648.000       40.59557    
   581.0000       1704.000       41.27953    
   582.0000       1690.000       41.10961    
   583.0000       1735.000       41.65333    
   584.0000       1787.000       42.27292    
   585.0000       1787.000       42.27292    
   586.0000       1636.000       40.44750    
   587.0000       1670.000       40.86563    
   588.0000       1685.000       41.04875    
   589.0000       1682.000       41.01219    
   590.0000       1554.000       39.42081    
   591.0000       1621.000       40.26164    
   592.0000       1662.000       40.76764    
   593.0000       1523.000       39.02563    
   594.0000       1586.000       39.82462    
   595.0000       1586.000       39.82462    
   596.0000       1557.000       39.45884    
   597.0000       1496.000       38.67816    
   598.0000       1488.000       38.57460    
   599.0000       1472.000       38.36665    
   600.0000       1573.000       39.66106    
   601.0000       1577.000       39.71146    
   602.0000       1548.000       39.34463    
   603.0000       1647.000       40.58325    
   604.0000       1525.000       39.05125    
   605.0000       1527.000       39.07685    
   606.0000       1505.000       38.79433    
   607.0000       1539.000       39.23009    
   608.0000       1535.000       39.17908    
   609.0000       1584.000       39.79950    
   610.0000       1492.000       38.62642    
   611.0000       1520.000       38.98718    
   612.0000       1543.000       39.28104    
   613.0000       1522.000       39.01282    
   614.0000       1463.000       38.24918    
   615.0000       1439.000       37.93415    
   616.0000       1515.000       38.92300    
   617.0000       1494.000       38.65230    
   618.0000       1742.000       41.73727    
   619.0000       1809.000       42.53234    
   620.0000       2139.000       46.24932    
   621.0000       1747.000       41.79713    
   622.0000       1816.000       42.61455    
   623.0000       1861.000       43.13931    
   624.0000       1742.000       41.73727    
   625.0000       1814.000       42.59108    
   626.0000       1784.000       42.23742    
   627.0000       1809.000       42.53234    
   628.0000       1767.000       42.03570    
   629.0000       1821.000       42.67318    
   630.0000       1727.000       41.55719    
   631.0000       1651.000       40.63250    
   632.0000       1728.000       41.56922    
   633.0000       1705.000       41.29165    
   634.0000       1682.000       41.01219    
   635.0000       1583.000       39.78693    
   636.0000       1701.000       41.24318    
   637.0000       1776.000       42.14262    
   638.0000       1681.000       41.00000    
   639.0000       1615.000       40.18706    
