sample v-GeO2 1400K                                          25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   268.0000       7594.000       87.14356    
   269.0000       8391.000       91.60240    
   270.0000       7340.000       85.67380    
   271.0000       7421.000       86.14523    
   272.0000       7893.000       88.84256    
   273.0000       7536.000       86.81013    
   274.0000       7573.000       87.02299    
   275.0000       7622.000       87.30407    
   276.0000       7491.000       86.55056    
   277.0000       7360.000       85.79044    
   278.0000       7258.000       85.19389    
   279.0000       6188.000       78.66384    
   280.0000       7843.000       88.56071    
   281.0000       7565.000       86.97701    
   282.0000       7761.000       88.09653    
   283.0000       7868.000       88.70174    
   284.0000       7694.000       87.71545    
   285.0000       7684.000       87.65842    
   286.0000       7623.000       87.30979    
   287.0000       7733.000       87.93748    
   288.0000       7572.000       87.01724    
   289.0000       8068.000       89.82204    
   290.0000       7252.000       85.15868    
   291.0000       7514.000       86.68333    
   292.0000       7621.000       87.29834    
   293.0000       7467.000       86.41180    
   294.0000       7331.000       85.62126    
   295.0000       7468.000       86.41759    
   296.0000       7786.000       88.23831    
   297.0000       7235.000       85.05880    
   298.0000       7000.000       83.66600    
   299.0000       7058.000       84.01190    
   300.0000       7720.000       87.86353    
   301.0000       7482.000       86.49856    
   302.0000       7556.000       86.92525    
   303.0000       7519.000       86.71217    
   304.0000       7337.000       85.65629    
   305.0000       7532.000       86.78709    
   306.0000       7401.000       86.02907    
   307.0000       7364.000       85.81375    
   308.0000       7283.000       85.34049    
   309.0000       7874.000       88.73557    
   310.0000       7041.000       83.91067    
   311.0000       7588.000       87.10912    
   312.0000       7519.000       86.71217    
   313.0000       7341.000       85.67963    
   314.0000       7192.000       84.80566    
   315.0000       7074.000       84.10707    
   316.0000       7282.000       85.33463    
   317.0000       7450.000       86.31339    
   318.0000       6829.000       82.63776    
   319.0000       6521.000       80.75271    
   320.0000       6773.000       82.29824    
   321.0000       7067.000       84.06545    
   322.0000       7226.000       85.00588    
   323.0000       7297.000       85.42248    
   324.0000       7258.000       85.19389    
   325.0000       7245.000       85.11757    
   326.0000       7023.000       83.80334    
   327.0000       7197.000       84.83514    
   328.0000       6982.000       83.55836    
   329.0000       7362.000       85.80210    
   330.0000       6836.000       82.68011    
   331.0000       6984.000       83.57033    
   332.0000       7125.000       84.40971    
   333.0000       6771.000       82.28609    
   334.0000       7000.000       83.66600    
   335.0000       6982.000       83.55836    
   336.0000       6765.000       82.24962    
   337.0000       7010.000       83.72575    
   338.0000       6916.000       83.16249    
   339.0000       6637.000       81.46779    
   340.0000       7377.000       85.88947    
   341.0000       6944.000       83.33067    
   342.0000       7060.000       84.02380    
   343.0000       7226.000       85.00588    
   344.0000       7330.000       85.61542    
   345.0000       7602.000       87.18945    
   346.0000       7004.000       83.68990    
   347.0000       7342.000       85.68547    
   348.0000       7318.000       85.54531    
   349.0000       7733.000       87.93748    
   350.0000       6778.000       82.32861    
   351.0000       7188.000       84.78207    
   352.0000       7320.000       85.55700    
   353.0000       7086.000       84.17838    
   354.0000       7093.000       84.21995    
   355.0000       7095.000       84.23182    
   356.0000       7408.000       86.06974    
   357.0000       7371.000       85.85453    
   358.0000       7143.000       84.51627    
   359.0000       7544.000       86.85620    
   360.0000       7589.000       87.11487    
   361.0000       7010.000       83.72575    
   362.0000       7273.000       85.28188    
   363.0000       7274.000       85.28775    
   364.0000       7246.000       85.12344    
   365.0000       7466.000       86.40602    
   366.0000       7304.000       85.46344    
   367.0000       7476.000       86.46387    
   368.0000       7223.000       84.98824    
   369.0000       7629.000       87.34415    
   370.0000       6831.000       82.64986    
   371.0000       6889.000       83.00000    
   372.0000       7370.000       85.84870    
   373.0000       7219.000       84.96470    
   374.0000       6961.000       83.43261    
   375.0000       7211.000       84.91761    
   376.0000       7255.000       85.17628    
   377.0000       7360.000       85.79044    
   378.0000       6884.000       82.96987    
   379.0000       6561.000       81.00000    
   380.0000       7546.000       86.86771    
   381.0000       6700.000       81.85353    
   382.0000       7141.000       84.50444    
   383.0000       7373.000       85.86617    
   384.0000       7065.000       84.05355    
   385.0000       7300.000       85.44004    
   386.0000       7161.000       84.62269    
   387.0000       7544.000       86.85620    
   388.0000       7181.000       84.74078    
   389.0000       7522.000       86.72946    
   390.0000       7076.000       84.11897    
   391.0000       7355.000       85.76130    
   392.0000       7300.000       85.44004    
   393.0000       7203.000       84.87049    
   394.0000       7349.000       85.72631    
   395.0000       7393.000       85.98256    
   396.0000       7472.000       86.44073    
   397.0000       7364.000       85.81375    
   398.0000       7194.000       84.81745    
   399.0000       7338.000       85.66212    
   400.0000       7262.000       85.21737    
   401.0000       7251.000       85.15280    
   402.0000       7314.000       85.52193    
   403.0000       7374.000       85.87199    
   404.0000       7452.000       86.32497    
   405.0000       7732.000       87.93179    
   406.0000       7427.000       86.18005    
   407.0000       7301.000       85.44589    
   408.0000       7185.000       84.76438    
   409.0000       7581.000       87.06894    
   410.0000       6692.000       81.80464    
   411.0000       7264.000       85.22910    
   412.0000       7430.000       86.19745    
   413.0000       7222.000       84.98235    
   414.0000       7279.000       85.31705    
   415.0000       7162.000       84.62860    
   416.0000       7367.000       85.83123    
   417.0000       7388.000       85.95348    
   418.0000       6930.000       83.24662    
   419.0000       6752.000       82.17056    
   420.0000       7424.000       86.16264    
   421.0000       7401.000       86.02907    
   422.0000       7565.000       86.97701    
   423.0000       7718.000       87.85215    
   424.0000       7230.000       85.02940    
   425.0000       7649.000       87.45856    
   426.0000       7437.000       86.23804    
   427.0000       7798.000       88.30628    
   428.0000       7234.000       85.05293    
   429.0000       7906.000       88.91569    
   430.0000       6950.000       83.36666    
   431.0000       7085.000       84.17244    
   432.0000       7523.000       86.73523    
   433.0000       7126.000       84.41564    
   434.0000       7635.000       87.37849    
   435.0000       7541.000       86.83893    
   436.0000       7047.000       83.94641    
   437.0000       7498.000       86.59100    
   438.0000       7323.000       85.57453    
   439.0000       7091.000       84.20808    
   440.0000       7601.000       87.18372    
   441.0000       7456.000       86.34813    
   442.0000       7324.000       85.58037    
   443.0000       7172.000       84.68766    
   444.0000       7157.000       84.59905    
   445.0000       7282.000       85.33463    
   446.0000       7372.000       85.86035    
   447.0000       7498.000       86.59100    
   448.0000       6966.000       83.46257    
   449.0000       7774.000       88.17029    
   450.0000       7006.000       83.70185    
   451.0000       7269.000       85.25843    
   452.0000       7442.000       86.26703    
   453.0000       7206.000       84.88816    
   454.0000       7156.000       84.59315    
   455.0000       7237.000       85.07056    
   456.0000       7353.000       85.74963    
   457.0000       7220.000       84.97058    
   458.0000       7174.000       84.69947    
   459.0000       6922.000       83.19855    
   460.0000       8249.000       90.82401    
   461.0000       7067.000       84.06545    
   462.0000       7164.000       84.64042    
   463.0000       7346.000       85.70881    
   464.0000       7319.000       85.55116    
   465.0000       7390.000       85.96511    
   466.0000       7416.000       86.11620    
   467.0000       7543.000       86.85045    
   468.0000       6997.000       83.64807    
   469.0000       7705.000       87.77813    
   470.0000       7019.000       83.77947    
   471.0000       7271.000       85.27016    
   472.0000       7122.000       84.39194    
   473.0000       6918.000       83.17451    
   474.0000       7114.000       84.34453    
   475.0000       7117.000       84.36231    
   476.0000       7302.000       85.45174    
   477.0000       7256.000       85.18216    
   478.0000       7156.000       84.59315    
   479.0000       7448.000       86.30180    
   480.0000       6560.000       80.99383    
   481.0000       7185.000       84.76438    
   482.0000       7271.000       85.27016    
   483.0000       7133.000       84.45709    
   484.0000       7083.000       84.16056    
   485.0000       7027.000       83.82720    
   486.0000       7147.000       84.53993    
   487.0000       7342.000       85.68547    
   488.0000       7098.000       84.24963    
   489.0000       7781.000       88.20998    
   490.0000       6785.000       82.37111    
   491.0000       6980.000       83.54639    
   492.0000       7386.000       85.94184    
   493.0000       7230.000       85.02940    
   494.0000       7273.000       85.28188    
   495.0000       7011.000       83.73171    
   496.0000       7533.000       86.79285    
   497.0000       7507.000       86.64294    
   498.0000       7151.000       84.56358    
   499.0000       7246.000       85.12344    
   500.0000       7034.000       83.86894    
   501.0000       7077.000       84.12491    
   502.0000       6946.000       83.34267    
   503.0000       6990.000       83.60622    
   504.0000       7130.000       84.43933    
   505.0000       7376.000       85.88364    
   506.0000       7497.000       86.58522    
   507.0000       7394.000       85.98837    
   508.0000       7030.000       83.84509    
   509.0000       7425.000       86.16844    
   510.0000       6864.000       82.84926    
   511.0000       7182.000       84.74668    
   512.0000       7181.000       84.74078    
   513.0000       6930.000       83.24662    
   514.0000       7224.000       84.99412    
   515.0000       7173.000       84.69357    
   516.0000       7307.000       85.48100    
   517.0000       7294.000       85.40491    
   518.0000       7164.000       84.64042    
   519.0000       7251.000       85.15280    
   520.0000       7861.000       88.66228    
   521.0000       7133.000       84.45709    
   522.0000       7115.000       84.35046    
   523.0000       7296.000       85.41663    
   524.0000       7212.000       84.92349    
   525.0000       7347.000       85.71465    
   526.0000       7307.000       85.48100    
   527.0000       7439.000       86.24964    
   528.0000       6916.000       83.16249    
   529.0000       7574.000       87.02873    
   530.0000       6971.000       83.49252    
   531.0000       7276.000       85.29947    
   532.0000       7247.000       85.12931    
   533.0000       7427.000       86.18005    
   534.0000       6967.000       83.46856    
   535.0000       7152.000       84.56950    
   536.0000       7597.000       87.16077    
   537.0000       7399.000       86.01744    
   538.0000       7087.000       84.18432    
   539.0000       7169.000       84.66994    
   540.0000       7391.000       85.97092    
   541.0000       7117.000       84.36231    
   542.0000       7370.000       85.84870    
   543.0000       7425.000       86.16844    
