   r (Ang),     Ge-Ge
  14.59556 ,         1.013728932314292 , 
  14.66101 ,         0.987459213542115 , 
  14.72646 ,         1.003262289524720 , 
  14.79191 ,         0.981173030628958 , 
  14.85736 ,         1.001398579540942 , 
  14.92281 ,         0.980934205304121 , 
  14.98826 ,         1.000477531843990 , 
  15.05371 ,         0.972124231482980 , 
  15.11917 ,         0.966258590381819 , 
  15.18462 ,         0.987074347302458 , 
  15.25007 ,         1.023679628976029 , 
  15.31552 ,         1.011740199671041 , 
  15.38097 ,         0.991400941493745 , 
  15.44642 ,         0.988355578917999 , 
  15.51187 ,         1.014681467570969 , 
  15.57732 ,         0.991856708766858 , 
  15.64277 ,         1.051006936763585 , 
  15.70822 ,         0.989238372248968 , 
  15.77368 ,         0.993611548277571 , 
  15.83913 ,         0.985878414065974 , 
  15.90458 ,         0.990140485776006 , 
  15.97003 ,         0.998839893379795 , 
  16.03548 ,         1.001510416390662 , 
  16.10093 ,         1.021971223640116 , 
  16.16638 ,         1.021909457805632 , 
  16.23183 ,         1.036977876413578 , 
  16.29728 ,         1.021472008348728 , 
  16.36273 ,         1.006180554407207 , 
  16.42818 ,         1.020275110540296 , 
  16.49364 ,         1.029006908819564 , 
  16.55909 ,         1.001463166235478 , 
  16.62454 ,         0.993593162369030 , 
  16.68999 ,         1.000988353541653 , 
  16.75544 ,         0.991121157901018 , 
  16.82089 ,         1.004704069194811 , 
  16.88634 ,         0.995712523755736 , 
  16.95179 ,         0.969099729612925 , 
  17.01724 ,         0.984051531890921 , 
  17.08269 ,         0.996365373391239 , 
  17.14814 ,         1.018504218770170 , 
  17.21360 ,         0.987326381848495 , 
  17.27905 ,         0.997119393125627 , 
  17.34450 ,         0.978060818352883 , 
  17.40995 ,         1.007395031104755 , 
  17.47540 ,         0.998536056672391 , 
  17.54085 ,         1.005399224579979 , 
  17.60630 ,         0.984303475937312 , 
  17.67175 ,         0.994267482141288 , 
  17.73720 ,         1.007922476698998 , 
  17.80265 ,         0.989746938715443 , 
  17.86811 ,         0.995021910845569 , 
  17.93356 ,         0.999293547910800 , 
  17.99901 ,         1.011697675999958 , 
  18.06446 ,         0.992137779069800 , 
  18.12991 ,         1.009999462145033 , 
  18.19536 ,         1.002396600888615 , 
  18.26081 ,         1.009982051636025 , 
  18.32626 ,         0.993299446205427 , 
  18.39171 ,         1.008493500700087 , 
  18.45716 ,         0.986228077447589 , 
  18.52261 ,         0.997327103498767 , 
  18.58807 ,         0.983780965126265 , 
  18.65352 ,         0.990034351841019 , 
  18.71897 ,         0.984114530122157 , 
  18.78442 ,         0.978581194535228 , 
  18.84987 ,         0.985484582575277 , 
  18.91532 ,         1.004243700461207 , 
  18.98077 ,         1.001990249519982 , 
  19.04622 ,         1.003893642199855 , 
  19.11167 ,         1.001309215609107 , 
  19.17712 ,         1.005348688303176 , 
  19.24257 ,         1.007433795165373 , 
  19.30803 ,         0.999683502217813 , 
  19.37348 ,         1.010525385524131 , 
  19.43893 ,         0.998982201226289 , 
  19.50438 ,         0.999594072464236 , 
  19.56983 ,         0.995488990898236 , 
  19.63528 ,         0.997873610213800 , 
  19.70073 ,         1.006768227414488 , 
  19.76618 ,         1.017153401586854 , 
  19.83163 ,         0.996907267262278 , 
  19.89708 ,         1.023117953548616 , 
  19.96253 ,         1.019180419315109 , 
  20.02799 ,         1.001704661238918 , 
  20.09344 ,         1.012540819242639 , 
  20.15889 ,         1.009680763088490 , 
  20.22434 ,         0.990416802829421 , 
  20.28979 ,         1.013430468800979 , 
  20.35524 ,         0.991972168958924 , 
  20.42069 ,         0.997424949764985 , 
  20.48614 ,         0.998235423852048 , 
  20.55159 ,         0.989831215049751 , 
  20.61704 ,         0.996904918107932 , 
  20.68250 ,         1.008335851324289 , 
  20.74795 ,         1.005481007933513 , 
  20.81340 ,         1.010126473808595 , 
  20.87885 ,         0.984943827939932 , 
  20.94430 ,         0.997143407492277 , 
  21.00975 ,         0.996711552823499 , 
  21.07520 ,         0.996265820212567 , 
  21.14065 ,         1.004226866806075 , 
  21.20610 ,         1.009882121067317 , 
  21.27155 ,         1.000606113866002 , 
  21.33700 ,         0.986592246987367 , 
  21.40246 ,         0.981325640976535 , 
  21.46791 ,         1.010023523467785 , 
  21.53336 ,         0.994403363941512 , 
  21.59881 ,         0.999058989619656 , 
  21.66426 ,         0.976624895304987 , 
  21.72971 ,         0.991963036991532 , 
  21.79516 ,         1.012096704666181 , 
  21.86061 ,         0.994657044445732 , 
  21.92606 ,         0.987162075077071 , 
  21.99151 ,         0.997097093798484 , 
  22.05696 ,         1.013918244992335 , 
  22.12242 ,         0.995032759635632 , 
  22.18787 ,         1.000931467454737 , 
  22.25332 ,         0.988972786945886 , 
  22.31877 ,         1.001893733616746 , 
  22.38422 ,         1.007829402863990 , 
  22.44967 ,         1.013793798016098 , 
  22.51512 ,         0.999114005893015 , 
  22.58057 ,         0.988561362662263 , 
  22.64602 ,         1.031625616203272 , 
  22.71147 ,         1.014014814033847 , 
  22.77693 ,         0.993241103174580 , 
