 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   348  1 are NR and NPAR

   r (Ang)
  21.86061     1.00714
  21.92606     0.97114
  21.99151     1.00727
  22.05696     1.00975
  22.12242     0.99290
  22.18787     1.00622
  22.25332     1.00417
  22.31877     0.99806
  22.38422     0.99766
  22.44967     1.01265
  22.51512     1.00083
  22.58057     0.99594
  22.64602     1.00013
  22.71147     1.02535
  22.77693     1.00440
