Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
112904.097       51821     2376097  0.754E-01
112916.134       51919     2383036  0.753E-01
112928.100       52064     2394221  0.751E-01
112940.093       52178     2403237  0.751E-01
112952.097       52297     2411566  0.750E-01
113004.100       52353     2415389  0.750E-01
113016.121       52453     2421141  0.749E-01
113028.097       52530     2426917  0.747E-01
113040.098       52631     2433014  0.746E-01
113052.103       52761     2442408  0.745E-01
113104.095       52894     2451642  0.743E-01
113116.098       52970     2457388  0.742E-01
113128.105       53070     2465528  0.741E-01
113140.100       53222     2471907  0.743E-01
113152.102       53331     2480772  0.741E-01
113204.093       53447     2487957  0.740E-01
113216.096       53599     2499021  0.738E-01
113228.103       53721     2509538  0.737E-01
113240.143       53830     2517220  0.736E-01
113252.099       53915     2522358  0.736E-01
113304.097       54000     2527869  0.734E-01
113316.097       54086     2534479  0.734E-01
113328.096       54143     2538723  0.733E-01
113340.107       54202     2542774  0.731E-01
113352.095       54262     2547256  0.731E-01
113404.102       54336     2552192  0.730E-01
113416.115       54537     2557561  0.739E-01
113428.130       54641     2562262  0.736E-01
113440.107       54707     2566455  0.735E-01
113452.103       54752     2572215  0.733E-01
113504.133       54870     2579224  0.731E-01
113516.109       54967     2585072  0.730E-01
113528.099       55239     2592451  0.738E-01
113540.101       55362     2598093  0.735E-01
113552.099       55455     2603503  0.734E-01
113604.125       55565     2609844  0.732E-01
113616.104       55699     2618132  0.730E-01
113628.097       55800     2624636  0.729E-01
113640.097       55941     2631301  0.727E-01
113652.099       56030     2637101  0.725E-01
113704.101       56140     2644578  0.724E-01
113716.097       56249     2652483  0.722E-01
113728.096       56339     2659979  0.722E-01
113740.101       56409     2665037  0.721E-01
113752.112       56514     2671322  0.719E-01
113804.104       56633     2679710  0.719E-01
113816.101       56712     2685381  0.717E-01
113828.100       56803     2693666  0.717E-01
113840.140       56876     2698621  0.716E-01
113852.107       56965     2705034  0.715E-01
113904.094       57086     2712705  0.714E-01
113916.097       57172     2719424  0.714E-01
113928.097       57283     2726942  0.713E-01
113940.136       57349     2732826  0.712E-01
113952.137       57431     2739936  0.711E-01
114004.106       57529     2746861  0.710E-01
114016.097       57643     2754272  0.710E-01
114028.100       57750     2762665  0.708E-01
114040.130       57819     2769024  0.896E-01
114052.107       57926     2776083  0.706E-01
114104.100       58030     2785203  0.705E-01
114116.111       58550     2793237  0.728E-01
114128.097       58741     2800737  0.720E-01
114140.097       58926     2808760  0.715E-01
114152.131       59088     2816905  0.711E-01
114204.097       59214     2824297  0.709E-01
114216.095       59340     2832182  0.706E-01
114228.105       59908     2840595  0.734E-01
114240.135       60169     2847938  0.722E-01
114252.097       60322     2854160  0.717E-01
114304.112       60549     2863756  0.712E-01
114316.104       60720     2871962  0.707E-01
114328.098       60869     2879708  0.703E-01
114340.123       61017     2886187  0.700E-01
114352.097       61144     2893601  0.697E-01
114404.096       61296     2901965  0.695E-01
114416.099       61415     2909375  0.693E-01
114428.101       61523     2915730  0.691E-01
114440.097       61635     2923466  0.689E-01
114452.097       61776     2931321  0.687E-01
114504.125       61859     2936773  0.686E-01
114516.124       62001     2945357  0.684E-01
114528.099       62110     2952538  0.682E-01
114540.101       62200     2958609  0.681E-01
114552.140       62320     2966510  0.680E-01
114604.106       62419     2973955  0.679E-01
114616.121       62545     2982294  0.677E-01
114628.093       62627     2987971  0.676E-01
114640.097       62939     2997294  0.683E-01
114652.099       63089     3003380  0.686E-01
114704.101       63361     3009188  0.685E-01
114716.094       63525     3015858  0.682E-01
114728.097       63662     3022331  0.678E-01
114740.100       63793     3029231  0.675E-01
114752.102       63896     3035000  0.673E-01
114804.105       64027     3042712  0.671E-01
114816.095       64129     3049498  0.670E-01
114828.097       64248     3055666  0.668E-01
114840.126       64384     3063231  0.666E-01
114852.100       64510     3070856  0.664E-01
114904.101       64626     3077736  0.663E-01
114916.099       64754     3085608  0.661E-01
114928.094       64862     3092661  0.660E-01
114940.102       64973     3099323  0.659E-01
114952.104       65077     3104973  0.658E-01
115004.121       65162     3111018  0.657E-01
115016.095       65289     3118788  0.656E-01
115028.098       65427     3127058  0.654E-01
115040.100       65546     3135724  0.656E-01
115052.093       66011     3142116  0.673E-01
115104.114       66187     3148604  0.667E-01
115116.101       66332     3155129  0.663E-01
115128.100       66543     3164958  0.659E-01
115140.097       66734     3174543  0.655E-01
115152.095       66905     3184015  0.653E-01
115204.097       67025     3191288  0.651E-01
115216.096       67175     3200711  0.649E-01
115228.093       67359     3209970  0.646E-01
115240.093       67537     3221798  0.644E-01
115252.098       67701     3231735  0.643E-01
115304.095       67863     3242218  0.641E-01
115316.100       67979     3249591  0.639E-01
115328.098       68114     3258519  0.637E-01
115340.098       68248     3268744  0.636E-01
115352.094       68416     3279170  0.635E-01
115404.134       68576     3289312  0.634E-01
115417.030       68729     3298898  0.633E-01
115429.029       68856     3306940  0.632E-01
115441.059       69018     3317819  0.630E-01
115453.022       69121     3324940  0.629E-01
115505.029       69298     3336126  0.628E-01
115517.022       69459     3348022  0.627E-01
115529.026       70180     3360422  0.650E-01
115541.025       70454     3370280  0.642E-01
115553.025       70636     3379765  0.637E-01
115605.026       70799     3387653  0.634E-01
115617.023       71000     3398398  0.632E-01
115629.024       71202     3408962  0.629E-01
115641.028       71361     3417335  0.628E-01
115653.025       71528     3427449  0.625E-01
115705.023       71708     3437418  0.624E-01
115717.026       71902     3448149  0.621E-01
115729.025       72027     3456160  0.620E-01
115741.022       72161     3465971  0.620E-01
115753.029       72291     3473946  0.619E-01
115805.025       72439     3483052  0.618E-01
115817.026       72626     3493313  0.616E-01
115829.029       72750     3502559  0.615E-01
115841.025       72897     3512452  0.614E-01
115853.028       73094     3523386  0.613E-01
115905.022       73275     3534887  0.612E-01
115917.033       73433     3544930  0.611E-01
115929.022       73564     3555242  0.611E-01
115941.028       73728     3566116  0.609E-01
115953.027       73864     3575071  0.608E-01
120005.066       74296     3584084  0.621E-01
120017.049       74503     3593218  0.616E-01
120029.028       74702     3603389  0.613E-01
120041.026       74884     3614373  0.610E-01
120053.028       75057     3624463  0.608E-01
120105.024       75258     3635811  0.606E-01
120117.041       75446     3646638  0.605E-01
120129.021       75631     3657940  0.603E-01
120141.026       75803     3668366  0.602E-01
120153.029       75985     3679884  0.601E-01
120205.029       76121     3689846  0.600E-01
120217.022       76278     3700093  0.599E-01
120229.026       76461     3711250  0.598E-01
120241.023       76815     3722636  0.605E-01
120253.028       77050     3733559  0.602E-01
120305.057       77247     3744129  0.600E-01
120317.021       77434     3754514  0.597E-01
120329.027       77603     3763956  0.597E-01
120341.029       78145     3774727  0.635E-01
120353.024       78530     3785731  0.618E-01
120405.025       78747     3793900  0.613E-01
120417.029       78994     3803874  0.607E-01
120429.029       79192     3812902  0.604E-01
120441.024       79369     3822249  0.603E-01
120453.053       79500     3830835  0.601E-01
120505.025       79727     3842817  0.598E-01
120517.025       79883     3853566  0.596E-01
120529.029       80218     3865028  0.601E-01
120541.042       80387     3872640  0.597E-01
120553.024       80596     3883515  0.595E-01
120605.067       80777     3891853  0.595E-01
120617.025       80997     3903296  0.593E-01
120629.045       81206     3914867  0.591E-01
120641.026       81418     3926416  0.589E-01
120653.022       81596     3937592  0.587E-01
120705.023       81753     3947942  0.586E-01
120717.026       81925     3959404  0.584E-01
120729.025       82116     3970242  0.583E-01
120741.021       82289     3980363  0.582E-01
120753.025       82457     3991061  0.581E-01
120805.028       82626     4002743  0.580E-01
120817.021       83185     4011777  0.599E-01
120829.022       83486     4023617  0.590E-01
120841.021       83732     4035894  0.587E-01
120853.029       83934     4046640  0.584E-01
120905.025       84114     4058440  0.582E-01
120917.028       84313     4069515  0.580E-01
120929.025       84505     4081428  0.580E-01
120941.022       84694     4091777  0.579E-01
120953.026       84880     4103596  0.577E-01
121005.025       85048     4114537  0.576E-01
121017.029       85240     4125581  0.575E-01
121029.022       85399     4136634  0.574E-01
121041.025       85575     4147792  0.574E-01
121053.022       85735     4158117  0.573E-01
