 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   2.62100 ,    -0.511337421866132E+01 ,    -0.339230556583630E+01 ,     0.194361092000153E+01 ,    -0.508626431563328E+01 ,    -0.721830559664911E+00 ,    -0.381898401573727E+00 , 
   2.64100 ,    -0.266363562413443E+01 ,    -0.359707946153574E+01 ,     0.290699250558142E+01 ,    -0.265125094393113E+01 ,    -0.164693069522671E+01 ,     0.106043711603383E+01 , 
   2.66100 ,    -0.212417798209880E+00 ,    -0.386059130577664E+01 ,     0.391884141040983E+01 ,    -0.215177472442763E+00 ,    -0.265819732494248E+01 ,     0.253544517880481E+01 , 
   2.68100 ,     0.204982403620099E+01 ,    -0.420587624133177E+01 ,     0.493413750115524E+01 ,     0.203257146800931E+01 ,    -0.370973385097807E+01 ,     0.395058568659161E+01 , 
   2.70100 ,     0.395426509647692E+01 ,    -0.463609464962270E+01 ,     0.590130076354859E+01 ,     0.392420441837607E+01 ,    -0.475326251311012E+01 ,     0.521608815513864E+01 , 
   2.72100 ,     0.536638514387845E+01 ,    -0.513509047895538E+01 ,     0.676581385311256E+01 ,     0.532611815079310E+01 ,    -0.574015208895688E+01 ,     0.625153665524328E+01 , 
   2.74100 ,     0.619562835865444E+01 ,    -0.566996861064907E+01 ,     0.747433598800766E+01 ,     0.614848523498546E+01 ,    -0.662347483128099E+01 ,     0.699178606560279E+01 , 
   2.76100 ,     0.640129914850238E+01 ,    -0.619535343857678E+01 ,     0.797898850969596E+01 ,     0.635109054497494E+01 ,    -0.736002311022363E+01 ,     0.739174940199655E+01 , 
   2.78100 ,     0.599426615335790E+01 ,    -0.665883842980514E+01 ,     0.824146526115870E+01 ,     0.594499440204819E+01 ,    -0.791221305562950E+01 ,     0.742968448358131E+01 , 
   2.80100 ,     0.503440255805895E+01 ,    -0.700703548362869E+01 ,     0.823662163029670E+01 ,     0.498995453490099E+01 ,    -0.824980025990514E+01 ,     0.710872641163845E+01 , 
   2.82100 ,     0.362404978940726E+01 ,    -0.719159185781391E+01 ,     0.795522545541803E+01 ,     0.358789621356708E+01 ,    -0.835133231599693E+01 ,     0.645655062879820E+01 , 
   2.84100 ,     0.189812300466064E+01 ,    -0.717456390822759E+01 ,     0.740560940998765E+01 ,     0.187304917329112E+01 ,    -0.820526569542214E+01 ,     0.552319844939367E+01 , 
   2.86100 ,     0.117522730695540E-01 ,    -0.693261753320774E+01 ,     0.661404410827293E+01 ,    -0.356736691465076E-03 ,    -0.781068117769228E+01 ,     0.437724098063930E+01 , 
   2.88100 ,    -0.187345020557433E+01 ,    -0.645965608620745E+01 ,     0.562374811312690E+01 ,    -0.187175088835074E+01 ,    -0.717754341789406E+01 ,     0.310058667626142E+01 , 
   2.90100 ,    -0.360330535248308E+01 ,    -0.576764401318688E+01 ,     0.449255780983741E+01 ,    -0.358805055631558E+01 ,    -0.632646657371422E+01 ,     0.178234202920564E+01 , 
   2.92100 ,    -0.504397547738030E+01 ,    -0.488558165925280E+01 ,     0.328938826204265E+01 ,    -0.501647668919629E+01 ,    -0.528796899786765E+01 ,     0.512205874757135E+00 , 
   2.94100 ,    -0.609278024500466E+01 ,    -0.385677497234172E+01 ,     0.208971688995021E+01 ,    -0.605527939418072E+01 ,    -0.410122508470783E+01 ,    -0.626090034552335E+00 , 
   2.96100 ,    -0.668603133696150E+01 ,    -0.273471472528528E+01 ,     0.970406706948994E+00 ,    -0.664149212436576E+01 ,    -0.281235016049585E+01 ,    -0.156079038241061E+01 , 
   2.98100 ,    -0.680326746006809E+01 ,    -0.157801677511756E+01 ,     0.424761721836904E-02 ,    -0.675510354652555E+01 ,    -0.147228309114425E+01 ,    -0.223712060246928E+01 , 
   3.00100 ,    -0.646759220693395E+01 ,    -0.444964626332655E+00 ,    -0.745372660621555E+00 ,    -0.641935557186204E+01 ,    -0.134358989206106E+00 ,    -0.262091566457042E+01 , 
   3.02100 ,    -0.574216002625852E+01 ,     0.611770301064195E+00 ,    -0.122925547256493E+01 ,    -0.569721685161062E+01 ,     0.114831118156240E+01 ,    -0.270061579700981E+01 , 
   3.04100 ,    -0.472319024085892E+01 ,     0.154967976645991E+01 ,    -0.141625519720348E+01 ,    -0.468441336263677E+01 ,     0.232551835295869E+01 ,    -0.248750361390006E+01 , 
   3.06100 ,    -0.353018665075128E+01 ,     0.233977055780557E+01 ,    -0.129590245516940E+01 ,    -0.349969272764085E+01 ,     0.335254313442554E+01 ,    -0.201419731514128E+01 , 
   3.08100 ,    -0.229427524716032E+01 ,     0.296837446529921E+01 ,    -0.879558171145518E+00 ,    -0.227323133013008E+01 ,     0.419250361972724E+01 ,    -0.133155161817176E+01 , 
   3.10100 ,    -0.114572509213861E+01 ,     0.343723653591662E+01 ,    -0.199979486532254E+00 ,    -0.113424348293243E+01 ,     0.481832026054529E+01 ,    -0.504240867680074E+00 , 
   3.12100 ,    -0.201775006616063E+00 ,     0.376188310653662E+01 ,     0.690700569006200E+00 ,    -0.198907630663549E+00 ,     0.521417180862422E+01 ,     0.394602347766211E+00 , 
   3.14100 ,     0.444152724957409E+00 ,     0.396845292315163E+01 ,     0.172445479369269E+01 ,     0.440318086146243E+00 ,     0.537634257750402E+01 ,     0.128925238720196E+01 , 
   3.16100 ,     0.730906277682591E+00 ,     0.408933875352127E+01 ,     0.282206489566904E+01 ,     0.723054869199641E+00 ,     0.531339543542800E+01 ,     0.210728799019596E+01 , 
   3.18100 ,     0.634997933445581E+00 ,     0.415811677570714E+01 ,     0.389870786522401E+01 ,     0.626317916841011E+00 ,     0.504564494980346E+01 ,     0.278505788019400E+01 , 
   3.20100 ,     0.172488758337345E+00 ,     0.420432342304923E+01 ,     0.487001471456708E+01 ,     0.166345688328793E+00 ,     0.460394835449782E+01 ,     0.327229508493109E+01 , 
   3.22100 ,    -0.602768488486239E+00 ,     0.424866559082231E+01 ,     0.565814918964200E+01 ,    -0.603183300929162E+00 ,     0.402787554631317E+01 ,     0.353553799544377E+01 , 
   3.24100 ,    -0.160433649545106E+01 ,     0.429921688384303E+01 ,     0.619744767106420E+01 ,    -0.159635125923527E+01 ,     0.336336005248176E+01 ,     0.356011963764865E+01 , 
   3.26100 ,    -0.272135430154183E+01 ,     0.434906240118115E+01 ,     0.643919109942814E+01 ,    -0.270312291554576E+01 ,     0.265996787924272E+01 ,     0.335060717138969E+01 , 
   3.28100 ,    -0.382889763069238E+01 ,     0.437571548223930E+01 ,     0.635514340337426E+01 ,    -0.379963673783589E+01 ,     0.196794773756769E+01 ,     0.292970112526760E+01 , 
   3.30100 ,    -0.479959507325830E+01 ,     0.434245479418520E+01 ,     0.593958382396495E+01 ,    -0.475972755864733E+01 ,     0.133524229541677E+01 ,     0.233572779269068E+01 , 
   3.32100 ,    -0.551545210964092E+01 ,     0.420153569643106E+01 ,     0.520967554918291E+01 ,    -0.546664057184077E+01 ,     0.804644508946234E+00 ,     0.161896850768515E+01 , 
   3.34100 ,    -0.587882384882481E+01 ,     0.389903465460546E+01 ,     0.420414117833801E+01 ,    -0.582388727365189E+01 ,     0.411275264148101E+00 ,     0.837157441809402E+00 , 
