 Q (1/Ang),S-S  ,S-F  ,F-F  
   1.95000 ,    -0.535504649686770E+01 ,     0.228530036651115E+00 ,    -0.117663183911095E+01 , 
   1.97000 ,    -0.568355844659824E+01 ,     0.209334370459703E+00 ,    -0.120165046218002E+01 , 
   1.99000 ,    -0.591574922174583E+01 ,     0.206849358721892E+00 ,    -0.121909303087699E+01 , 
   2.01000 ,    -0.605143838761672E+01 ,     0.218166820144525E+00 ,    -0.122898039881871E+01 , 
   2.03000 ,    -0.609203387261908E+01 ,     0.240122069862827E+00 ,    -0.123142410869177E+01 , 
   2.05000 ,    -0.604046521708051E+01 ,     0.269375623369012E+00 ,    -0.122661867272351E+01 , 
   2.07000 ,    -0.590109113757216E+01 ,     0.302496951635956E+00 ,    -0.121483296120288E+01 , 
   2.09000 ,    -0.567958357536448E+01 ,     0.336048379460961E+00 ,    -0.119640093721133E+01 , 
   2.11000 ,    -0.538279081277528E+01 ,     0.366667251895539E+00 ,    -0.117171197590976E+01 , 
   2.13000 ,    -0.501858260199485E+01 ,     0.391144568176475E+00 ,    -0.114120100124909E+01 , 
   2.15000 ,    -0.459568055070933E+01 ,     0.406498396506790E+00 ,    -0.110533866218677E+01 , 
   2.17000 ,    -0.412347724197029E+01 ,     0.410040533148201E+00 ,    -0.106462175488204E+01 , 
   2.19000 ,    -0.361184772810923E+01 ,     0.399435051578367E+00 ,    -0.101956407749277E+01 , 
   2.21000 ,    -0.307095712736034E+01 ,     0.372747597242726E+00 ,    -0.970687880780941E+00 , 
   2.23000 ,    -0.251106806601889E+01 ,     0.328484515423266E+00 ,    -0.918516051493595E+00 , 
   2.25000 ,    -0.194235164874912E+01 ,     0.265621148242325E+00 ,    -0.863565137211655E+00 , 
   2.27000 ,    -0.137470550690217E+01 ,     0.183618895802164E+00 ,    -0.806339291866241E+00 , 
   2.29000 ,    -0.817582272736548E+00 ,     0.824308997568994E-01 ,    -0.747325191232473E+00 , 
   2.31000 ,    -0.279831560982687E+00 ,    -0.375035309602377E-01 ,    -0.686987938227941E+00 , 
   2.33000 ,     0.230417083425222E+00 ,    -0.175268065282022E+00 ,    -0.625771025592907E+00 , 
   2.35000 ,     0.705978005454911E+00 ,    -0.329524551853269E+00 ,    -0.564081878279379E+00 , 
   2.37000 ,     0.114059954178510E+01 ,    -0.498525319439677E+00 ,    -0.502302801790051E+00 , 
   2.39000 ,     0.152897854605946E+01 ,    -0.680115354815345E+00 ,    -0.440803007431767E+00 , 
   2.41000 ,     0.186705290260394E+01 ,    -0.871879345076003E+00 ,    -0.379904777168194E+00 , 
   2.43000 ,     0.215185647460942E+01 ,    -0.107113298421581E+01 ,    -0.319909048154469E+00 , 
   2.45000 ,     0.238157453263899E+01 ,    -0.127500124830408E+01 ,    -0.261090554400187E+00 , 
   2.47000 ,     0.255553029019265E+01 ,    -0.148048339649676E+01 ,    -0.203699503420434E+00 , 
   2.49000 ,     0.267414906128421E+01 ,    -0.168451935309525E+01 ,    -0.147963482472965E+00 , 
   2.51000 ,     0.273890139585789E+01 ,    -0.188405593708246E+01 ,    -0.940894712172217E-01 , 
   2.53000 ,     0.275222695658565E+01 ,    -0.207611144712245E+01 ,    -0.422658443520741E-01 , 
   2.55000 ,     0.271744126412648E+01 ,    -0.225783718560647E+01 ,     0.733574206192482E-02 , 
   2.57000 ,     0.263862775007770E+01 ,    -0.242657461243108E+01 ,     0.545586737463619E-01 , 
   2.59000 ,     0.252051781156659E+01 ,    -0.257990695455137E+01 ,     0.992599883337638E-01 , 
   2.61000 ,     0.236836175398384E+01 ,    -0.271570425709416E+01 ,     0.141309332445395E+00 , 
   2.63000 ,     0.218779363541261E+01 ,    -0.283216104155225E+01 ,     0.180588306809622E+00 , 
   2.65000 ,     0.198469308599289E+01 ,    -0.292782593152370E+01 ,     0.216990220950636E+00 , 
   2.67000 ,     0.176504716741039E+01 ,    -0.300162281154689E+01 ,     0.250420259359196E+00 , 
   2.69000 ,     0.153481526304350E+01 ,    -0.305286329460628E+01 ,     0.280796042001580E+00 , 
   2.71000 ,     0.129979985063290E+01 ,    -0.308125048362631E+01 ,     0.308048544118298E+00 , 
   2.73000 ,     0.106552581064450E+01 ,    -0.308687421663053E+01 ,     0.332123324050969E+00 , 
   2.75000 ,     0.837130670061024E+00 ,    -0.307019817936143E+01 ,     0.352981993792932E+00 , 
   2.77000 ,     0.619267879611342E+00 ,    -0.303203944853488E+01 ,     0.370603855490695E+00 , 
   2.79000 ,     0.416034616208736E+00 ,    -0.297354460008103E+01 ,     0.384986980070512E+00 , 
   2.81000 ,     0.230866094105130E+00 ,    -0.289614368594073E+01 ,     0.396152628101212E+00 , 
   2.83000 ,     0.665481849266150E-01 ,    -0.280152959887116E+01 ,     0.404142539765787E+00 , 
   2.85000 ,    -0.748550799774734E-01 ,    -0.269160507520963E+01 ,     0.409023381663042E+00 , 
   2.87000 ,    -0.192003973938011E+00 ,    -0.256844005396331E+01 ,     0.410887072497500E+00 , 
   2.89000 ,    -0.284278488665025E+00 ,    -0.243422492774345E+01 ,     0.409851545695165E+00 , 
   2.91000 ,    -0.351756797554597E+00 ,    -0.229122325852301E+01 ,     0.406061078635472E+00 , 
   2.93000 ,    -0.395177803173846E+00 ,    -0.214172507449940E+01 ,     0.399686130810817E+00 , 
   2.95000 ,    -0.415889147100970E+00 ,    -0.198800180802836E+01 ,     0.390922647817309E+00 , 
   2.97000 ,    -0.415782365011168E+00 ,    -0.183226385364191E+01 ,     0.379990804250121E+00 , 
   2.99000 ,    -0.397217129285302E+00 ,    -0.167662162234162E+01 ,     0.367133175817205E+00 , 
   3.01000 ,    -0.362936730178726E+00 ,    -0.152305084692743E+01 ,     0.352612348761451E+00 , 
   3.03000 ,    -0.315977100675232E+00 ,    -0.137336275674369E+01 ,     0.336707992447163E+00 , 
   3.05000 ,    -0.259571786851117E+00 ,    -0.122917959285302E+01 ,     0.319713438179596E+00 , 
   3.07000 ,    -0.197055303556200E+00 ,    -0.109191578042764E+01 ,     0.301931823464036E+00 , 
   3.09000 ,    -0.131767294553273E+00 ,    -0.962764918293073E+00 ,     0.283671875485862E+00 , 
   3.11000 ,    -0.669598384015048E-01 ,    -0.842692590248083E+00 ,     0.265243420166907E+00 , 
   3.13000 ,    -0.571010911613370E-02 ,    -0.732434853048724E+00 ,     0.246952713348530E+00 , 
   3.15000 ,     0.491595819633373E-01 ,    -0.632502115562542E+00 ,     0.229097698162361E+00 , 
   3.17000 ,     0.951525644146517E-01 ,    -0.543187996007824E+00 ,     0.211963297249595E+00 , 
   3.19000 ,     0.130157875095685E+00 ,    -0.464582632398091E+00 ,     0.195816850038665E+00 , 
   3.21000 ,     0.152499157452471E+00 ,    -0.396586689774664E+00 ,     0.180903092699462E+00 , 
   3.23000 ,     0.160966097980507E+00 ,    -0.338944709377793E+00 ,     0.167443128710717E+00 , 
   3.25000 ,     0.154843056553208E+00 ,    -0.291247420007022E+00 ,     0.155626441353662E+00 , 
   3.27000 ,     0.133912061414427E+00 ,    -0.252970173257662E+00 ,     0.145610995171598E+00 , 
   3.29000 ,     0.984489030283981E-01 ,    -0.223494444385644E+00 ,     0.137520114967384E+00 , 
   3.31000 ,     0.492047025360168E-01 ,    -0.202133080624190E+00 ,     0.131440815884341E+00 , 
   3.33000 ,    -0.126248265913797E-01 ,    -0.188154905431952E+00 ,     0.127422848382146E+00 , 
   3.35000 ,    -0.854413578200142E-01 ,    -0.180808005829568E+00 ,     0.125478482684853E+00 , 
   3.37000 ,    -0.167295844736823E+00 ,    -0.179341102358567E+00 ,     0.125583038902024E+00 , 
   3.39000 ,    -0.255948777805146E+00 ,    -0.183022488138635E+00 ,     0.127676150446395E+00 , 
   3.41000 ,    -0.348937073719325E+00 ,    -0.191156122118604E+00 ,     0.131663730106695E+00 , 
   3.43000 ,    -0.443645732253878E+00 ,    -0.203094568769445E+00 ,     0.137420590684875E+00 , 
   3.45000 ,    -0.537382310465243E+00 ,    -0.218248588847221E+00 ,     0.144793655950617E+00 , 
   3.47000 ,    -0.627452229501025E+00 ,    -0.236093300084419E+00 ,     0.153605683241252E+00 , 
   3.49000 ,    -0.711232945173447E+00 ,    -0.256170939400109E+00 ,     0.163659406730022E+00 , 
   3.51000 ,    -0.786245078672862E+00 ,    -0.278090366222320E+00 ,     0.174742000526565E+00 , 
   3.53000 ,    -0.850218715932967E+00 ,    -0.301523546766145E+00 ,     0.186629753616797E+00 , 
   3.55000 ,    -0.901153239670734E+00 ,    -0.326199348871355E+00 ,     0.199092844374717E+00 , 
   3.57000 ,    -0.937369252433017E+00 ,    -0.351895053895497E+00 ,     0.211900101084222E+00 , 
   3.59000 ,    -0.957551376598453E+00 ,    -0.378426054221965E+00 ,     0.224823636609672E+00 , 
   3.61000 ,    -0.960780971955642E+00 ,    -0.405634250683139E+00 ,     0.237643249981460E+00 , 
   3.63000 ,    -0.946558086358226E+00 ,    -0.433375692620831E+00 ,     0.250150495068311E+00 , 
   3.65000 ,    -0.914812242778183E+00 ,    -0.461508013933848E+00 ,     0.262152326467045E+00 , 
   3.67000 ,    -0.865901959346301E+00 ,    -0.489878211341484E+00 ,     0.273474244959856E+00 , 
   3.69000 ,    -0.800603190151549E+00 ,    -0.518311286782183E+00 ,     0.283962879015561E+00 , 
   3.71000 ,    -0.720087156291838E+00 ,    -0.546600235416157E+00 ,     0.293487954442334E+00 , 
   3.73000 ,    -0.625888301889727E+00 ,    -0.574497805608488E+00 ,     0.301943620994594E+00 , 
   3.75000 ,    -0.519863351984196E+00 ,    -0.601710389435317E+00 ,     0.309249122030768E+00 , 
   3.77000 ,    -0.404142662534063E+00 ,    -0.627894323921407E+00 ,     0.315348810734249E+00 , 
   3.79000 ,    -0.281081527928285E+00 ,    -0.652653601664371E+00 ,     0.320211321482255E+00 , 
   3.81000 ,    -0.153175359994261E+00 ,    -0.675546369799019E+00 ,     0.323829267190967E+00 , 
   3.83000 ,    -0.230337675885945E-01 ,    -0.696081796186981E+00 ,     0.326216023075837E+00 , 
   3.85000 ,     0.106708409484934E+00 ,    -0.713732074513490E+00 ,     0.327404526346691E+00 , 
   3.87000 ,     0.233449553964557E+00 ,    -0.727940558631399E+00 ,     0.327444363571747E+00 , 
   3.89000 ,     0.354683928128585E+00 ,    -0.738133367633690E+00 ,     0.326398815432996E+00 , 
   3.91000 ,     0.468060964992692E+00 ,    -0.743732848105056E+00 ,     0.324341676931154E+00 , 
   3.93000 ,     0.571439726624929E+00 ,    -0.744172491607528E+00 ,     0.321353949307888E+00 , 
   3.95000 ,     0.662937210945939E+00 ,    -0.738912852434825E+00 ,     0.317520501236866E+00 , 
   3.97000 ,     0.740969368721594E+00 ,    -0.727457971640759E+00 ,     0.312926795420358E+00 , 
   3.99000 ,     0.804283899554513E+00 ,    -0.709371789392457E+00 ,     0.307655772694216E+00 , 
   4.01000 ,     0.851984123782708E+00 ,    -0.684294019457598E+00 ,     0.301784979243026E+00 , 
   4.03000 ,     0.883544640411901E+00 ,    -0.651953165565480E+00 ,     0.295383681512182E+00 , 
   4.05000 ,     0.898810727758169E+00 ,    -0.612186621066692E+00 ,     0.288512006298297E+00 , 
   4.07000 ,     0.898003166516588E+00 ,    -0.564942237581616E+00 ,     0.281217289067547E+00 , 
   4.09000 ,     0.881697185135854E+00 ,    -0.510293259948147E+00 ,     0.273534084616360E+00 , 
   4.11000 ,     0.850801798880577E+00 ,    -0.448442980880188E+00 ,     0.265483118498160E+00 , 
   4.13000 ,     0.806529180299188E+00 ,    -0.379727807341065E+00 ,     0.257071062067082E+00 , 
   4.15000 ,     0.750356987832975E+00 ,    -0.304617120951690E+00 ,     0.248290819478627E+00 , 
   4.17000 ,     0.683984763250753E+00 ,    -0.223709836764130E+00 ,     0.239122307726122E+00 , 
   4.19000 ,     0.609285645106412E+00 ,    -0.137727656426399E+00 ,     0.229533696988390E+00 , 
   4.21000 ,     0.528254747063734E+00 ,    -0.475051041344765E-01 ,     0.219483065927181E+00 , 
   4.23000 ,     0.442955614534534E+00 ,     0.460234757976246E-01 ,     0.208920415437581E+00 , 
   4.25000 ,     0.355466199455528E+00 ,     0.141839694960666E+00 ,     0.197789975007689E+00 , 
   4.27000 ,     0.267825781028617E+00 ,     0.238859326599468E+00 ,     0.186032728517542E+00 , 
   4.29000 ,     0.181988426935820E+00 ,     0.335947689909157E+00 ,     0.173589721487483E+00 , 
   4.31000 ,     0.997587677304228E-01 ,     0.431960846886287E+00 ,     0.160402265306096E+00 , 
   4.33000 ,     0.227755414784482E-01 ,     0.525739175382147E+00 ,     0.146418371190670E+00 , 
   4.35000 ,    -0.475423012994873E-01 ,     0.616150111440088E+00 ,     0.131592903056340E+00 , 
   4.37000 ,    -0.110021096242213E+00 ,     0.702106450448938E+00 ,     0.115890608612236E+00 , 
   4.39000 ,    -0.163754979775034E+00 ,     0.782588841805073E+00 ,     0.992882989802110E-01 , 
   4.41000 ,    -0.208120612074033E+00 ,     0.856667055775223E+00 ,     0.817767196294844E-01 , 
   4.43000 ,    -0.242783869874581E+00 ,     0.923519491346901E+00 ,     0.633620604461746E-01 , 
   4.45000 ,    -0.267698490128997E+00 ,     0.982450435687763E+00 ,     0.440670636113267E-01 , 
   4.47000 ,    -0.283096862249572E+00 ,     0.103290464062108E+01 ,     0.239316997843079E-01 , 
   4.49000 ,    -0.289473374895239E+00 ,     0.107447884775405E+01 ,     0.301339552820107E-02 , 
   4.51000 ,    -0.287560917530675E+00 ,     0.110692996976133E+01 ,    -0.186131923935112E-01 , 
   4.53000 ,    -0.278301312302253E+00 ,     0.113017971877171E+01 ,    -0.408568476381743E-01 , 
   4.55000 ,    -0.262810603701264E+00 ,     0.114431556158230E+01 ,    -0.636108894957858E-01 , 
   4.57000 ,    -0.242340258265187E+00 ,     0.114958797315734E+01 ,    -0.867546610467982E-01 , 
   4.59000 ,    -0.218235421218345E+00 ,     0.114640405211886E+01 ,    -0.110155368407644E+00 , 
   4.61000 ,    -0.191891439331454E+00 ,     0.113531765226956E+01 ,    -0.133670220363147E+00 , 
   4.63000 ,    -0.164709888132317E+00 ,     0.111701627024083E+01 ,    -0.157148810435759E+00 , 
   4.65000 ,    -0.138055336586223E+00 ,     0.109230500889885E+01 ,    -0.180435677958229E+00 , 
   4.67000 ,    -0.113214044054628E+00 ,     0.106208800713115E+01 ,    -0.203372981116640E+00 , 
   4.69000 ,    -0.913557141891770E-01 ,     0.102734778727954E+01 ,    -0.225803213276259E+00 , 
   4.71000 ,    -0.734993307160701E-01 ,     0.989123020281165E+00 ,    -0.247571894196966E+00 , 
   4.73000 ,    -0.604839738683564E-01 ,     0.948485244350327E+00 ,    -0.268530169935873E+00 , 
   4.75000 ,    -0.529453672611246E-01 ,     0.906515094963104E+00 ,    -0.288537259215384E+00 , 
   4.77000 ,    -0.512987375724488E-01 ,     0.864278611546567E+00 ,    -0.307462689649716E+00 , 
   4.79000 ,    -0.557283882325295E-01 ,     0.822804179563851E+00 ,    -0.325188274271402E+00 , 
   4.81000 ,    -0.661841984881000E-01 ,     0.783060645939385E+00 ,    -0.341609787044220E+00 , 
   4.83000 ,    -0.823850659256098E-01 ,     0.745937111667681E+00 ,    -0.356638305223157E+00 , 
   4.85000 ,    -0.103829119063031E+00 ,     0.712224859018938E+00 ,    -0.370201196237466E+00 , 
   4.87000 ,    -0.129810342103805E+00 ,     0.682601813332513E+00 ,    -0.382242736928964E+00 , 
   4.89000 ,    -0.159441081287856E+00 ,     0.657619872583295E+00 ,    -0.392724363171446E+00 , 
   4.91000 ,    -0.191679745997744E+00 ,     0.637695363551446E+00 ,    -0.401624557830953E+00 , 
   4.93000 ,    -0.225362881913906E+00 ,     0.623102803530637E+00 ,    -0.408938394418390E+00 , 
   4.95000 ,    -0.259240681495989E+00 ,     0.613972063200569E+00 ,    -0.414676762376010E+00 , 
   4.97000 ,    -0.292014911651075E+00 ,     0.610288941752100E+00 ,    -0.418865307498473E+00 , 
   4.99000 ,    -0.322378181639365E+00 ,     0.611899081775035E+00 ,    -0.421543127324753E+00 , 
   5.01000 ,    -0.349053447276043E+00 ,     0.618515070929061E+00 ,    -0.422761266297915E+00 , 
   5.03000 ,    -0.370832650710503E+00 ,     0.629726502034637E+00 ,    -0.422581058969832E+00 , 
   5.05000 ,    -0.386613428078648E+00 ,     0.645012694794635E+00 ,    -0.421072371468717E+00 , 
   5.07000 ,    -0.395432878911479E+00 ,     0.663757722530753E+00 ,    -0.418311791838741E+00 , 
   5.09000 ,    -0.396497479369527E+00 ,     0.685267337479915E+00 ,    -0.414380818740308E+00 , 
   5.11000 ,    -0.389208333490299E+00 ,     0.708787349451423E+00 ,    -0.409364095449405E+00 , 
   5.13000 ,    -0.373181089403992E+00 ,     0.733522985791605E+00 ,    -0.403347732239514E+00 , 
   5.15000 ,    -0.348259997092606E+00 ,     0.758658746112100E+00 ,    -0.396417755231408E+00 , 
   5.17000 ,    -0.314525746530618E+00 ,     0.783378263251379E+00 ,    -0.388658713847947E+00 , 
   5.19000 ,    -0.272296895451568E+00 ,     0.806883692268855E+00 ,    -0.380152472330351E+00 , 
   5.21000 ,    -0.222124869867333E+00 ,     0.828414171410520E+00 ,    -0.370977203594516E+00 , 
   5.23000 ,    -0.164782693118515E+00 ,     0.847262932129601E+00 ,    -0.361206596275465E+00 , 
   5.25000 ,    -0.101247766037102E+00 ,     0.862792678318133E+00 ,    -0.350909278371495E+00 , 
   5.27000 ,    -0.326791773477889E-01 ,     0.874448906591024E+00 ,    -0.340148453697464E+00 , 
   5.29000 ,     0.396098343578202E-01 ,     0.881770898249488E+00 ,    -0.328981740615744E+00 , 
   5.31000 ,     0.114183521517835E+00 ,     0.884400177768428E+00 ,    -0.317461196440165E+00 , 
   5.33000 ,     0.189514763026975E+00 ,     0.882086542582974E+00 ,    -0.305634104031178E+00 , 
   5.35000 ,     0.264037404368767E+00 ,     0.874690400013978E+00 ,    -0.293540916740672E+00 , 
   5.37000 ,     0.336162102555342E+00 ,     0.862183764170232E+00 ,    -0.281219244442265E+00 , 
   5.39000 ,     0.404330344909534E+00 ,     0.844647699277447E+00 ,    -0.268702012840554E+00 , 
   5.41000 ,     0.467048912161042E+00 ,     0.822267425334457E+00 ,    -0.256018605223995E+00 , 
   5.43000 ,     0.522926443201232E+00 ,     0.795325094999094E+00 ,    -0.243195434343755E+00 , 
   5.45000 ,     0.570707409437909E+00 ,     0.764190478553743E+00 ,    -0.230256498710074E+00 , 
   5.47000 ,     0.609302643511960E+00 ,     0.729309848378323E+00 ,    -0.217223896207492E+00 , 
   5.49000 ,     0.637815664972435E+00 ,     0.691193390748176E+00 ,    -0.204118271555351E+00 , 
   5.51000 ,     0.655564162170005E+00 ,     0.650401499778804E+00 ,    -0.190959178555509E+00 , 
   5.53000 ,     0.662096121782873E+00 ,     0.607530325509489E+00 ,    -0.177765343098817E+00 , 
   5.55000 ,     0.657200241326891E+00 ,     0.563196955275441E+00 ,    -0.164554818350538E+00 , 
   5.57000 ,     0.640910411748594E+00 ,     0.518024604755136E+00 ,    -0.151345029196138E+00 , 
   5.59000 ,     0.613504212627103E+00 ,     0.472628182748048E+00 ,    -0.138152708691045E+00 , 
   5.61000 ,     0.575495517447196E+00 ,     0.427600572434965E+00 ,    -0.124993734712342E+00 , 
   5.63000 ,     0.527621456750421E+00 ,     0.383499942417033E+00 ,    -0.111882880056802E+00 , 
   5.65000 ,     0.470824128803712E+00 ,     0.340838364234019E+00 ,    -0.988334936845220E-01 , 
   5.67000 ,     0.406227577108503E+00 ,     0.300071970502059E+00 ,    -0.858571345085798E-01 , 
   5.69000 ,     0.335110668347240E+00 ,     0.261592840587016E+00 ,    -0.729631819436801E-01 , 
   5.71000 ,     0.258876600428719E+00 ,     0.225722750230119E+00 ,    -0.601584492476161E-01 , 
   5.73000 ,     0.179019845875859E+00 ,     0.192708869202653E+00 ,    -0.474468264498639E-01 , 
   5.75000 ,     0.970913892099025E-01 ,     0.162721438328985E+00 ,    -0.348289793305746E-01 , 
   5.77000 ,     0.146631471513181E-01 ,     0.135853405491666E+00 ,    -0.223021294970246E-01 , 
   5.79000 ,    -0.667075330522964E-01 ,     0.112121950859094E+00 ,    -0.985993814767669E-02 , 
   5.81000 ,    -0.145512418840685E+00 ,     0.914717857904151E-01 ,     0.250748730330764E-02 , 
   5.83000 ,    -0.220325142383096E+00 ,     0.737800687746609E-01 ,     0.148134488318448E-01 , 
   5.85000 ,    -0.289831377561120E+00 ,     0.588627462899323E-01 ,     0.270743656969940E-01 , 
   5.87000 ,    -0.352855746073012E+00 ,     0.464820973805688E-01 ,     0.393093301783707E-01 , 
   5.89000 ,    -0.408384851695217E+00 ,     0.363552386039426E-01 ,     0.515395125606935E-01 , 
   5.91000 ,    -0.455585952514767E+00 ,     0.281633311453606E-01 ,     0.637874227579242E-01 , 
   5.93000 ,    -0.493820902459470E+00 ,     0.215612244800793E-01 ,     0.760760418948817E-01 , 
   5.95000 ,    -0.522655122278608E+00 ,     0.161872709083563E-01 ,     0.884278428169882E-01 , 
   5.97000 ,    -0.541861492706572E+00 ,     0.116730523354028E-01 ,     0.100863723677731E+00 , 
   5.99000 ,    -0.551419195277199E+00 ,     0.765277435987937E-02 ,     0.113401883270511E+00 , 
