 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   1.61100 ,     0.114562779366509E+02 ,    -0.211435099009977E+02 ,    -0.564128292848804E+01 ,     0.114098389089979E+02 ,     0.720595012778560E+01 ,     0.378138514586489E-01 , 
   1.63100 ,     0.105253941021537E+02 ,    -0.198411579794741E+02 ,    -0.582168042070732E+01 ,     0.104695547971660E+02 ,     0.655404879450356E+01 ,    -0.387565561617231E+00 , 
   1.65100 ,     0.934283038608305E+01 ,    -0.178147427611411E+02 ,    -0.585138325120595E+01 ,     0.927972960594589E+01 ,     0.567290615220498E+01 ,    -0.797868726040940E+00 , 
   1.67100 ,     0.799562018363811E+01 ,    -0.152156377406128E+02 ,    -0.571849704569828E+01 ,     0.792821475500047E+01 ,     0.463071707129512E+01 ,    -0.115638309617528E+01 , 
   1.69100 ,     0.656216510408043E+01 ,    -0.122306122427978E+02 ,    -0.541855777681625E+01 ,     0.649404275204571E+01 ,     0.350391898962192E+01 ,    -0.143398890523544E+01 , 
   1.71100 ,     0.510627673599232E+01 ,    -0.906727939589248E+01 ,    -0.495545965925102E+01 ,     0.504141737124459E+01 ,     0.237124501083957E+01 ,    -0.161176946960970E+01 , 
   1.73100 ,     0.367353865821616E+01 ,    -0.593810470039564E+01 ,    -0.434191880537516E+01 ,     0.361604352997160E+01 ,     0.130778844803129E+01 ,    -0.168256302686212E+01 , 
   1.75100 ,     0.229024350924332E+01 ,    -0.304424132091407E+01 ,    -0.359939945810545E+01 ,     0.224405332086658E+01 ,     0.379530680098151E+00 ,    -0.165131929549124E+01 , 
   1.77100 ,     0.964879484798404E+00 ,    -0.560462789034450E+00 ,    -0.275746453822744E+01 ,     0.933502385056912E+00 ,    -0.361265991026663E+00 ,    -0.153423862552732E+01 , 
   1.79100 ,    -0.308131356379634E+00 ,     0.137763379030423E+01 ,    -0.185255286983933E+01 ,    -0.321862844741800E+00 ,    -0.879478357419961E+00 ,    -0.135678777509009E+01 , 
   1.81100 ,    -0.154297735347429E+01 ,     0.268317216466347E+01 ,    -0.926228815998674E+00 ,    -0.153710462423546E+01 ,    -0.115913473048834E+01 ,    -0.115079324334928E+01 , 
   1.83100 ,    -0.275599687320129E+01 ,     0.332357583750563E+01 ,    -0.229927796977329E-01 ,    -0.272957708755124E+01 ,    -0.120391431002326E+01 ,    -0.950900845374176E+00 , 
   1.85100 ,    -0.395902897136676E+01 ,     0.332179207629726E+01 ,     0.812220440669508E+00 ,    -0.391221351100674E+01 ,    -0.103614691446747E+01 ,    -0.790750738471442E+00 , 
   1.87100 ,    -0.515340826275267E+01 ,     0.275312372274160E+01 ,     0.153669751151786E+01 ,    -0.508745559020680E+01 ,    -0.694439865129466E+00 ,    -0.699244820201947E+00 , 
   1.89100 ,    -0.632536790213565E+01 ,     0.173798294353903E+01 ,     0.211257832865202E+01 ,    -0.624259305064585E+01 ,    -0.230158117416620E+00 ,    -0.697275741807538E+00 , 
