Flight time (us) , Calculated , Experiment
   2639.8750000000000       ,   0.63048455821790506       ,   0.65674999999999994     
   2641.9839999999999       ,   0.68827942919761764       ,   0.74917999999999996     
   2644.0940000000001       ,   0.71562188214859435       ,   0.78932000000000002     
   2646.2190000000001       ,   0.70690606613924301       ,   0.80079999999999996     
   2648.3439999999996       ,   0.66410465398608931       ,   0.77105999999999997     
   2650.4530000000000       ,   0.59642439586924523       ,   0.72272000000000003     
   2652.5629999999996       ,   0.51518671823561546       ,   0.62653999999999999     
   2654.6869999999999       ,   0.43135487088902957       ,   0.52705999999999997     
   2656.8119999999999       ,   0.35455765712391396       ,   0.44155000000000000     
   2658.9369999999999       ,   0.29030952899358475       ,   0.35675000000000001     
   2661.0619999999999       ,   0.24049825787605525       ,   0.28781000000000001     
   2663.1880000000001       ,   0.20428135716035983       ,   0.23666000000000001     
   2665.3280000000000       ,   0.17918061203492475       ,   0.20233999999999999     
   2667.4690000000001       ,   0.16254041961955507       ,   0.17840000000000000     
   2669.5940000000001       ,   0.15173292335584218       ,   0.16306000000000001     
   2671.7339999999999       ,   0.14450988339796317       ,   0.15003000000000000     
   2673.8750000000000       ,   0.13957390575393580       ,   0.14568999999999999     
   2676.0160000000001       ,   0.13617382565800146       ,   0.13602000000000000     
   2678.1559999999999       ,   0.13403222227425804       ,   0.13392999999999999     
   2680.2970000000000       ,   0.13317517932876757       ,   0.12856000000000001     
   2682.4370000000004       ,   0.13377014767959103       ,   0.12833000000000000     
   2684.5780000000000       ,   0.13597222502547554       ,   0.12581999999999999     
   2686.7339999999999       ,   0.13981806285666049       ,   0.13621000000000000     
   2688.8910000000001       ,   0.14503598409438936       ,   0.13779000000000000     
   2691.0309999999999       ,   0.15097846376611579       ,   0.14645000000000000     
   2693.1720000000000       ,   0.15681659904295456       ,   0.14488000000000001     
   2695.3280000000000       ,   0.16156509573143604       ,   0.15606000000000000     
   2697.4840000000004       ,   0.16431542144221428       ,   0.16292000000000001     
   2699.6410000000001       ,   0.16463080682088302       ,   0.16569999999999999     
   2701.8130000000001       ,   0.16263999976484597       ,   0.15995000000000001     
   2703.9840000000004       ,   0.15904215132942753       ,   0.16667999999999999     
   2706.1410000000001       ,   0.15494240049271049       ,   0.16481999999999999     
   2708.2970000000000       ,   0.15150746515611091       ,   0.15467000000000000     
   2710.4689999999996       ,   0.14979563629028192       ,   0.15099000000000001     
   2712.6410000000001       ,   0.15057766049965210       ,   0.14946999999999999     
   2714.8130000000001       ,   0.15407216269867591       ,   0.14519000000000001     
   2716.9839999999999       ,   0.15988371313829153       ,   0.15160999999999999     
   2719.1559999999999       ,   0.16696860850563910       ,   0.15629999999999999     
   2721.3280000000000       ,   0.17386330299814645       ,   0.16802000000000000     
   2723.5000000000000       ,   0.17891831782836892       ,   0.17316999999999999     
   2725.6880000000001       ,   0.18082615603788765       ,   0.17902000000000001     
   2727.8750000000000       ,   0.17895409498776171       ,   0.17691000000000001     
   2730.0470000000000       ,   0.17363977004374734       ,   0.16950999999999999     
   2732.2190000000001       ,   0.16583077587047759       ,   0.16087000000000001     
   2734.4059999999999       ,   0.15671602195171716       ,   0.15195000000000000     
   2736.5940000000001       ,   0.14757392513558776       ,   0.14394999999999999     
   2738.7809999999999       ,   0.13934530456451610       ,   0.13558999999999999     
   2740.9839999999999       ,   0.13251453102444924       ,   0.12565999999999999     
   2743.1869999999999       ,   0.12730101431972302       ,   0.12375000000000000     
   2745.3750000000000       ,   0.12360811133024831       ,   0.12250999999999999     
   2747.5619999999999       ,   0.12113839327768226       ,   0.11858000000000000     
   2749.7660000000001       ,   0.11958993725954116       ,   0.11439000000000001     
   2751.9690000000001       ,   0.11872137813552414       ,   0.11620999999999999     
   2754.1720000000000       ,   0.11831839253559631       ,   0.11421000000000001     
   2756.3750000000000       ,   0.11823304495497192       ,   0.11771000000000000     
   2758.5780000000000       ,   0.11837425039458936       ,   0.11709000000000000     
   2760.7809999999999       ,   0.11869860674871835       ,   0.11706999999999999     
   2762.9839999999999       ,   0.11920035269613596       ,   0.11525000000000001     
   2765.2030000000000       ,   0.11989784530406830       ,   0.11164000000000000     
   2767.4220000000000       ,   0.12078893646168319       ,   0.11155000000000000     
   2769.6410000000001       ,   0.12183300348526485       ,   0.11312999999999999     
   2771.8440000000001       ,   0.12291849746352874       ,   0.11456000000000000     
   2774.0619999999999       ,   0.12390417750211097       ,   0.10942000000000000     
   2776.2970000000000       ,   0.12461151639049846       ,   0.10700000000000000     
   2778.5160000000001       ,   0.12489264931981023       ,   0.10700000000000000     
   2780.7339999999999       ,   0.12470120311406246       ,   0.10546000000000000     
   2782.9530000000000       ,   0.12408207238086025       ,   0.10272000000000001     
   2785.1720000000000       ,   0.12316771939723165       ,   0.10392999999999999     
   2787.4059999999999       ,   0.12215339645701540       ,   0.10644000000000001     
   2789.6410000000001       ,   0.12130183787381861       ,   0.11002000000000001     
   2791.8589999999999       ,   0.12091820561362374       ,   0.11506000000000000     
   2794.0940000000001       ,   0.12134614057422401       ,   0.11716000000000000     
   2796.3440000000001       ,   0.12300551348372160       ,   0.11799999999999999     
   2798.5780000000000       ,   0.12628748173628063       ,   0.12192000000000000     
