Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
011508.958    10345628   136658511  0.177E-01
011520.958    10392150   137261239  0.176E-01
011532.958    10438443   137862784  0.177E-01
011544.958    10484610   138463152  0.176E-01
011556.958    10531353   139066244  0.176E-01
011608.958    10577490   139670879  0.176E-01
011620.958    10623911   140275946  0.177E-01
011632.958    10670190   140878189  0.177E-01
011644.958    10716653   141483217  0.177E-01
011656.958    10763155   142087416  0.177E-01
011708.958    10809255   142691215  0.176E-01
011720.958    10855615   143294639  0.176E-01
011732.958    10902759   143898111  0.176E-01
011744.958    10948892   144500763  0.176E-01
011756.958    10995063   145104598  0.176E-01
011808.958    11041452   145706226  0.176E-01
011820.958    11088051   146308749  0.176E-01
011832.958    11134975   146911440  0.176E-01
011844.958    11182025   147513739  0.176E-01
011856.958    11228912   148116852  0.177E-01
011908.958    11275598   148719624  0.176E-01
011920.958    11326333   149376974  0.177E-01
011932.958    11383731   150114603  0.177E-01
011944.958    11440708   150851993  0.177E-01
011956.958    11497668   151591092  0.176E-01
012008.958    11554770   152329629  0.177E-01
012020.958    11611528   153067632  0.176E-01
012032.958    11668618   153806751  0.176E-01
012044.958    11725607   154546815  0.177E-01
012056.958    11782450   155287891  0.177E-01
012108.958    11836151   155983944  0.176E-01
012120.958    11882568   156584767  0.176E-01
012132.958    11929160   157190645  0.177E-01
012144.958    11976178   157796806  0.177E-01
012156.958    12023047   158401235  0.176E-01
012208.958    12070005   159005481  0.176E-01
012220.958    12116884   159607164  0.176E-01
012232.958    12163308   160209779  0.176E-01
012244.958    12210054   160814794  0.177E-01
012256.958    12256469   161419664  0.176E-01
012308.958    12303132   162022713  0.176E-01
012320.958    12350119   162627351  0.176E-01
012332.958    12397045   163230675  0.176E-01
012344.958    12443887   163834027  0.176E-01
012356.958    12490143   164438070  0.176E-01
012408.958    12536752   165040830  0.176E-01
012420.958    12583302   165643944  0.176E-01
012432.958    12629762   166246786  0.176E-01
012444.958    12675731   166846876  0.176E-01
012456.958    12722642   167451549  0.176E-01
012508.958    12769444   168054869  0.176E-01
012520.958    12815953   168658516  0.176E-01
012532.958    12862579   169261107  0.176E-01
012544.958    12909301   169865992  0.176E-01
012556.958    12956229   170469190  0.176E-01
012608.958    13003414   171073009  0.176E-01
012620.958    13050191   171675906  0.176E-01
012632.958    13097203   172279784  0.176E-01
012644.958    13143707   172881031  0.176E-01
012656.958    13190964   173484585  0.176E-01
012708.958    13237276   174087602  0.176E-01
012720.958    13283859   174692418  0.176E-01
012732.958    13330564   175293262  0.176E-01
012744.958    13376883   175894887  0.176E-01
012756.958    13423367   176497682  0.176E-01
012808.958    13470371   177102247  0.176E-01
012820.959    13516929   177703046  0.167E-01
012832.958    13563609   178308092  0.176E-01
012844.958    13610435   178911134  0.176E-01
012856.958    13657175   179514483  0.176E-01
012908.959    13703880   180116776  0.189E-01
012920.958    13750952   180721837  0.176E-01
012932.958    13797407   181326662  0.176E-01
012944.958    13844395   181931959  0.176E-01
012956.958    13891363   182534883  0.176E-01
013008.958    13938349   183136869  0.176E-01
013020.958    13984951   183738215  0.176E-01
013032.958    14031556   184342400  0.175E-01
013044.958    14078064   184945165  0.176E-01
013056.958    14124543   185550357  0.176E-01
013108.958    14171190   186153275  0.176E-01
013120.958    14217640   186755835  0.176E-01
013132.958    14264003   187358340  0.176E-01
013144.958    14310994   187959957  0.176E-01
013156.959    14358191   188562813  0.210E-01
013208.960    14405325   189166045  0.176E-01
013220.958    14451840   189764360  0.176E-01
013232.958    14497956   190357600  0.176E-01
013244.958    14544476   190960177  0.176E-01
013256.958    14590375   191564354  0.176E-01
013308.958    14637133   192169936  0.176E-01
013320.958    14683761   192772039  0.176E-01
013332.958    14730300   193374709  0.176E-01
013344.958    14776792   193977467  0.176E-01
013356.959    14823113   194576944  0.196E-01
013408.958    14869258   195173265  0.176E-01
013420.958    14915328   195769708  0.176E-01
013432.958    14961676   196365960  0.176E-01
013444.958    15007798   196962259  0.176E-01
013456.958    15053910   197557208  0.176E-01
013508.958    15099757   198148891  0.176E-01
013520.958    15145670   198741883  0.176E-01
013532.958    15191729   199335035  0.176E-01
013544.958    15237640   199925714  0.176E-01
013556.958    15283217   200515431  0.176E-01
013608.958    15329019   201107729  0.175E-01
013620.958    15374728   201699178  0.176E-01
